date,TOTLFS,PTECONSA,PNS,TOTCES
2016-04-01,38.8,23.19,33.6,34.4
2016-07-01,38.73,23.17,33.57,34.4
2016-10-01,38.63,23.17,33.57,34.4
2017-01-01,38.7,23.11,33.57,34.33
2017-04-01,38.83,23.3,33.67,34.4
2017-07-01,38.67,22.85,33.63,34.4
2017-10-01,38.83,23.02,33.73,34.47
2018-01-01,38.77,23.12,33.7,34.47
2018-04-01,38.9,23.35,33.73,34.53
2018-07-01,38.93,23.2,33.73,34.47
2018-10-01,39.0,23.17,33.7,34.47
2019-01-01,38.83,23.13,33.7,34.47
2019-04-01,38.9,23.04,33.63,34.4
2019-07-01,39.0,23.25,33.57,34.4
2019-10-01,39.1,23.38,33.57,34.3
2020-01-01,38.7,22.97,33.57,34.23
2020-04-01,37.83,21.41,33.87,34.5
2020-07-01,38.57,22.19,34.07,34.67
2020-10-01,38.57,22.17,34.23,34.8
2021-01-01,38.77,22.1,34.27,34.83
2021-04-01,38.73,22.4,34.33,34.9
2021-07-01,38.7,22.57,34.23,34.77
2021-10-01,38.77,22.87,34.2,34.77
2022-01-01,38.8,22.94,34.07,34.6
2022-04-01,38.73,22.66,34.07,34.63
2022-07-01,38.63,23.02,34.03,34.53
2022-10-01,38.57,22.85,33.9,34.5
2023-01-01,38.6,23.26,33.97,34.47
2023-04-01,38.53,23.04,33.83,34.4
2023-07-01,38.47,23.14,33.8,34.37
2023-10-01,38.4,23.07,33.77,34.37
2024-01-01,38.27,22.95,33.67,34.3
2024-04-01,38.27,22.88,33.7,34.27
2024-07-01,38.27,22.72,33.7,34.23
2024-10-01,38.27,22.74,33.67,34.27
2025-01-01,38.3,22.57,33.67,34.2
2025-04-01,38.27,22.92,33.67,34.27
2025-07-01,38.2,22.72,33.67,34.23
2025-10-01,38.3,22.54,33.7,34.23
