date,W995RC,W996RC,AD03RC
2009-01-01,5.935393451422959,3.7942354142857013,-3.021519190565705
2009-04-01,6.351567807090578,5.103132827278206,-3.0645411886837803
2009-07-01,6.569420966758556,4.425327274472286,-3.110452811284527
2009-10-01,6.193947903137411,4.2583272200662,-2.906866212456217
2010-01-01,6.015392610052746,4.460419730527431,-2.7640060184697735
2010-04-01,5.44459777766433,4.725260413002782,-2.706822640451644
2010-07-01,4.089929672689843,4.855059878645221,-2.3838194865396143
2010-10-01,4.014850097202628,4.927667058836574,-2.200055469372659
2011-01-01,2.9316697793537907,5.3513162649743276,-2.2151956701331454
2011-04-01,3.282574831786061,4.996725323884473,-2.016069886602441
2011-07-01,2.999175851486514,5.023695071463617,-2.2069991694378794
2011-10-01,2.844776614507301,4.99377708676501,-2.08622058359911
2012-01-01,1.0305960926500888,5.6780196055396095,-2.0417724162874373
2012-04-01,0.3662212655482141,6.19688629273296,-2.0136752405561653
2012-07-01,0.9868764828474559,5.50232940568738,-2.00645857321495
2012-10-01,-0.9332311175905073,7.5190311209281475,-1.8707718256458288
2013-01-01,0.8589349006864443,3.5492547764154225,-1.748178334637228
2013-04-01,-1.0906467548900025,3.9791137429028116,-1.686989111503441
2013-07-01,0.20250762845999004,3.963279645466832,-1.8271209231688907
2013-10-01,-0.2586878510662298,3.674600279796386,-1.7934293918031565
2014-01-01,-1.327687273945449,4.451042427002632,-1.6264381037682654
2014-04-01,-1.3757944815750487,4.574279599578016,-1.4628596982867288
2014-07-01,-1.4904023929590784,4.797440781073688,-1.4926708038644467
2014-10-01,-1.6562882774996315,4.537226850193996,-1.589184305222345
2015-01-01,-2.338944821386888,4.665584382005116,-1.478521842922151
2015-04-01,-2.400226571614166,4.534522395215431,-1.5801778378602374
2015-07-01,-1.6517020462516911,4.44671442938355,-1.6644904719959368
2015-10-01,-2.178092810541216,4.3084057528748705,-1.1531579642877092
2016-01-01,-1.2482982377116112,4.177720240185194,-1.6920929840254844
2016-04-01,-0.5512507664085475,3.672359869772654,-1.643648878941548
2016-07-01,-0.38073578184165113,3.5052746772793144,-1.556058909296522
2016-10-01,-0.4254659740690273,3.533967642913554,-1.539778862369782
2017-01-01,-0.8587300618730241,3.9641683920491415,-1.6310733198227803
2017-04-01,-0.95475203378436,3.8438213143194364,-1.6656085461899939
2017-07-01,-1.208757790755969,4.450765726425404,-1.567258000630644
2017-10-01,-5.392795087683011,3.619841647961661,-1.3224719625722492
2018-01-01,-0.4652148009148765,4.5493218597343805,-1.3605011000508402
2018-04-01,0.14243173035513051,4.340264835354663,-1.4474911649957969
2018-07-01,-0.41461700361527215,4.374211315875004,-1.4888708067450638
2018-10-01,-0.657829884900825,4.785048228033912,-1.48395017964567
2019-01-01,-0.8165430239320888,5.137465698922504,-1.3046602069394664
2019-04-01,-0.21204045853784304,4.843322719439265,-1.2333257123727646
