date,PCE,CORE
1998-09-01,0.6319389704605216,1.207349757756937
1998-10-01,0.7218530675419554,1.2505467925790548
1998-11-01,0.7218145430286871,1.2360128617363353
1998-12-01,0.8447433741692656,1.3535748258220348
1999-01-01,0.9790452308225728,1.3912775624406404
1999-02-01,1.0075802060534933,1.30674531931263
1999-03-01,1.0701323654995543,1.2336190000384217
1999-04-01,1.411303756813309,1.2824938944084208
1999-05-01,1.3228639872238546,1.2633649706832895
1999-06-01,1.4305503756193882,1.4350762304307763
1999-07-01,1.4482740293906726,1.3277214463363274
1999-08-01,1.4860812568001647,1.1736551337864887
1999-09-01,1.901170972624211,1.448850977146865
1999-10-01,1.8400519294713202,1.4117258380136777
1999-11-01,1.9234080883813842,1.4902618439608162
1999-12-01,2.0657165164688296,1.452179537585474
2000-01-01,2.1702661647183152,1.5164940884579314
2000-02-01,2.523550940055741,1.6734389042899256
2000-03-01,2.880680167929661,1.843697011110268
2000-04-01,2.3062973086627414,1.6563565206413555
2000-05-01,2.327475241022414,1.6714602886264807
2000-06-01,2.6408404464871804,1.690918719895107
2000-07-01,2.6155176026823046,1.7332527754701177
2000-08-01,2.423973014669345,1.8130347257171664
2000-09-01,2.5041040206373655,1.7983760651581804
2000-10-01,2.485821322649473,1.7855129120775803
2000-11-01,2.527845288070396,1.8564418406689764
2000-12-01,2.4154652007053246,1.7914291429142803
2001-01-01,2.585716502042712,1.872911367150465
2001-02-01,2.3982885936312037,1.8749766561671377
2001-03-01,1.9684837285699697,1.7718027409515003
2001-04-01,2.2530217980501366,1.890166662526993
2001-05-01,2.4542397247965475,1.8238892266461582
2001-06-01,2.304218216245957,1.9913945962031887
2001-07-01,2.024275995864655,2.031599915865545
2001-08-01,2.0283380137860574,1.9648793267507791
2001-09-01,1.2545121765214162,1.1502046451994818
2001-10-01,1.47867033901532,1.7271093384543468
2001-11-01,1.2866342155968047,1.7734462374181081
2001-12-01,1.0482206833690055,1.724286152901433
2002-01-01,0.6692040127035392,1.4247594800362418
2002-02-01,0.695965163986001,1.4542877045473857
2002-03-01,0.9702751000478127,1.4784700094006675
2002-04-01,1.2247974373468917,1.6113305055823757
2002-05-01,1.0260843418777643,1.7034861759294362
2002-06-01,0.9667091868637456,1.6303356716472317
2002-07-01,1.2034778257334233,1.5521736494270355
2002-08-01,1.3999924933378427,1.6834119087152155
2002-09-01,1.9180799116277347,2.4180672524954483
2002-10-01,1.7385431258755357,1.7812844125512761
2002-11-01,1.9023065466878597,1.6676729863543072
2002-12-01,2.0984978513887587,1.7276557727366137
