date,HQMCB10YRP,Spread
2007-03-01,5.5,0.935455
2007-04-01,5.63,0.93619
2007-05-01,5.68,0.933636
2007-06-01,6.05,0.947143
2007-07-01,6.06,1.05571
2007-08-01,6.02,1.34522
2007-09-01,5.94,1.41842
2007-10-01,5.84,1.31227
2007-11-01,5.81,1.6615
2007-12-01,5.89,1.7925
2008-01-01,5.69,1.94571
2008-02-01,5.79,2.0525
2008-03-01,6.01,2.5
2008-04-01,5.94,2.265
2008-05-01,6.05,2.17
2008-06-01,6.36,2.26048
2008-07-01,6.63,2.62227
2008-08-01,6.66,2.77429
2008-09-01,7.23,3.54381
2008-10-01,8.64,4.82591
2008-11-01,8.12,4.59333
2008-12-01,7.12,4.70364
2009-01-01,6.65,4.1325
2009-02-01,6.87,4
2009-03-01,7.33,4.51045
2009-04-01,6.94,4.01286
2009-05-01,6.7,3.407
2009-06-01,6.32,2.59818
2009-07-01,5.93,2.36773
2009-08-01,5.58,1.99286
2009-09-01,5.26,1.8581
2009-10-01,5.21,1.82238
2009-11-01,5.13,1.72737
2009-12-01,5.19,1.6
2010-01-01,5.17,1.43684
2010-02-01,5.27,1.57895
2010-03-01,5.17,1.44261
2010-04-01,5.14,1.29318
2010-05-01,4.99,1.57
2010-06-01,4.93,1.72591
2010-07-01,4.65,1.63857
2010-08-01,4.35,1.65136
2010-09-01,4.27,1.62238
2010-10-01,4.18,1.64
2010-11-01,4.32,1.557
2010-12-01,4.73,1.43909
2011-01-01,4.74,1.346
2011-02-01,4.84,1.26368
2011-03-01,4.72,1.30565
2011-04-01,4.72,1.265
2011-05-01,4.49,1.32143
2011-06-01,4.47,1.46773
2011-07-01,4.45,1.447
2011-08-01,4.15,1.84696
2011-09-01,4.05,2.07476
2011-10-01,4.18,2.028
2011-11-01,4.1,2.0865
2011-12-01,4.1,2.1219
2012-01-01,3.97,2.0035
2012-02-01,3.86,1.8925
2012-03-01,3.94,1.76727
2012-04-01,3.87,1.81714
2012-05-01,3.71,1.90682
2012-06-01,3.57,1.94762
2012-07-01,3.27,1.74333
2012-08-01,3.3,1.62174
2012-09-01,3.27,1.54684
2012-10-01,3.12,1.37381
2012-11-01,3.04,1.386
2012-12-01,3.1,1.381
2013-01-01,3.25,1.33524
2013-02-01,3.32,1.33579
2013-03-01,3.3,1.3425
2013-04-01,3.12,1.36091
2013-05-01,3.27,1.34182
2013-06-01,3.74,1.44
2013-07-01,3.98,1.39773
2013-08-01,4.11,1.37273
2013-09-01,4.18,1.3705
2013-10-01,3.97,1.35409
2013-11-01,4.01,1.29158
2013-12-01,4.08,1.1781
2014-01-01,3.95,1.0919
2014-02-01,3.81,1.10053
2014-03-01,3.78,1.05667
2014-04-01,3.71,1.00476
2014-05-01,3.57,1.01095
2014-06-01,3.6,1.00143
2014-07-01,3.53,0.987727
2014-08-01,3.46,1.04
2014-09-01,3.59,1.05571
2014-10-01,3.43,1.12591
2014-11-01,3.49,1.16444
2014-12-01,3.42,1.21273
2015-01-01,3.14,1.2585
2015-02-01,3.18,1.20474
2015-03-01,3.25,1.20727
2015-04-01,3.16,1.225
2015-05-01,3.46,1.2625
2015-06-01,3.72,1.35636
2015-07-01,3.75,1.42545
2015-08-01,3.68,1.51286
2015-09-01,3.72,1.54714
2015-10-01,3.62,1.55
2015-11-01,3.74,1.47684
2015-12-01,3.72,1.47727
2016-01-01,3.67,1.58474
2016-02-01,3.54,1.7605
2016-03-01,3.46,1.57091
2016-04-01,3.25,1.44476
2016-05-01,3.21,1.40381
2016-06-01,3.08,1.43591
2016-07-01,2.91,1.406
2016-08-01,2.92,1.36348
2016-09-01,2.99,1.35952
2016-10-01,3.09,1.3255
2016-11-01,3.44,1.298
2016-12-01,3.7,1.2081
2017-01-01,3.6,1.1675
2017-02-01,3.59,1.17105
2017-03-01,3.64,1.15826
2017-04-01,3.46,1.16263
2017-05-01,3.45,1.14636
2017-06-01,3.31,1.12318
2017-07-01,3.38,1.062
2017-08-01,3.28,1.07087
2017-09-01,3.29,1.088
2017-10-01,3.35,0.99
2017-11-01,3.33,0.976667
2017-12-01,3.34,0.9375
2018-01-01,3.46,0.87619
2018-02-01,3.76,0.901053
2018-03-01,3.82,0.977619
2018-04-01,3.88,1.01095
2018-05-01,4.02,1.04227
2018-06-01,4.03,1.11762
2018-07-01,4.04,1.15095
2018-08-01,3.99,1.10087
2018-09-01,4.09,1.08579
2018-10-01,4.21,1.05773
2018-11-01,4.27,1.153
2018-12-01,4.14,1.30737
2019-01-01,4.06,1.34619
2019-02-01,3.91,1.23368
2019-03-01,3.77,1.19905
2019-04-01,3.66,1.12762
2019-05-01,3.53,1.135
2019-06-01,3.27,1.196
2019-07-01,3.14,1.08091
2019-08-01,2.79,1.16364
2019-09-01,2.87,1.1705
2019-10-01,2.84,1.13318
2019-11-01,2.87,1.05789
2019-12-01,2.86,0.997143
2020-01-01,2.73,0.972381
2020-02-01,2.51,1.00579
2020-03-01,2.87,2
2020-04-01,2.69,2.03238
2020-05-01,2.51,1.836
2020-06-01,2.27,1.54136
2020-07-01,1.98,1.35636
2020-08-01,1.93,1.28
2020-09-01,2,1.32048
2020-10-01,2.06,1.27286
2020-11-01,2.03,1.16
2020-12-01,1.98,1.04636
2021-01-01,2.09,1.00895
2021-02-01,2.22,0.962105
2021-03-01,2.62,1.00913
2021-04-01,2.58,0.945
2021-05-01,2.56,0.939
2021-06-01,2.44,0.920909
2021-07-01,2.27,0.951429
2021-08-01,2.26,0.976818
2021-09-01,2.34,0.965238
2021-10-01,2.53,0.9475
2021-11-01,2.54,0.9805
2021-12-01,2.53,1.065
2022-01-01,2.84,1.076
2022-02-01,3.15,1.21579
2022-03-01,3.52,1.39217
2022-04-01,4.1,1.3525
2022-05-01,4.43,1.5319
2022-06-01,4.68,1.53667
2022-07-01,4.52,1.624
2022-08-01,4.49,1.59217
2022-09-01,5.18,1.66095
2022-10-01,5.73,1.7465
2022-11-01,5.52,1.629
2022-12-01,5.11,1.49381
2023-01-01,4.93,1.3985
2023-02-01,5.09,1.34316
2023-03-01,5.14,1.47696
2023-04-01,4.88,1.42
2023-05-01,5.04,1.46636
2023-06-01,5.19,1.4419
2023-07-01,5.26,1.3605
2023-08-01,5.46,1.29217
2023-09-01,5.61,1.231
2023-10-01,6.05,1.2519
2023-11-01,5.67,1.16714
2023-12-01,5.06,1.04
2024-01-01,5.05,0.991905
2024-02-01,5.1,0.8925
2024-03-01,5.08,0.8715
2024-04-01,5.36,0.820909
2024-05-01,5.29,0.807727
2024-06-01,5.15,0.844737
2024-07-01,5.09,0.841364
2024-08-01,4.76,0.889091
2024-09-01,4.56,0.8365
2024-10-01,4.84,0.744545
2024-11-01,5.09,0.734211
2024-12-01,5.1,0.708571
2025-01-01,5.36,0.730952
2025-02-01,5.2,0.748947
2025-03-01,5.12,0.839524
2025-04-01,5.23,0.950952
2025-05-01,5.27,0.84619
2025-06-01,5.17,0.7865
2025-07-01,5.11,0.718182
2025-08-01,4.97,0.705238
2025-09-01,4.81,0.689524
2025-10-01,4.75,0.688182
2025-11-01,4.85,0.756111
2025-12-01,4.84,0.696818
2026-01-01,4.89,0.6765
2026-02-01,4.83,0.704211
