date,average_life_expectancy_All Races_Both Sexes,average_life_expectancy_All Races_Female,average_life_expectancy_All Races_Male,average_life_expectancy_Black_Both Sexes,average_life_expectancy_Black_Female,average_life_expectancy_Black_Male,average_life_expectancy_White_Both Sexes,average_life_expectancy_White_Female,average_life_expectancy_White_Male
2002-07-01,77,79.6,74.4,72.2,75.4,68.7,77.5,80.1,
2003-07-01,77.6,79.7,74.5,72.4,75.7,68.9,77.7,80.2,
2004-07-01,77.5,80.1,75,72.9,76.1,69.4,78.1,80.5,
2005-07-01,77.6,80.1,75,73,76.2,69.5,78,80.5,
2006-07-01,77.8,80.3,75.2,73.4,76.7,69.9,78.3,80.7,
2007-07-01,78.1,80.6,75.5,73.8,77,70.3,78.5,80.9,
2008-07-01,78.2,80.6,75.6,74.3,77.3,70.9,78.5,80.9,
2009-07-01,78.5,80.9,76,74.7,77.7,71.4,78.8,81.2,
2010-07-01,78.7,81,76.2,75.1,78,71.8,78.9,81.3,
2011-07-01,78.7,81.1,76.3,75.3,78.2,72.2,79,81.3,
2012-07-01,78.8,81.2,76.4,75.5,78.4,72.3,79.1,81.4,
2013-07-01,78.8,81.2,76.4,75.5,78.4,72.3,79.1,81.4,
2014-07-01,78.9,81.3,76.5,75.6,78.5,72.5,79.1,81.4,
2015-07-01,78.7,81.1,76.3,75.5,78.5,72.2,78.9,81.3,
2016-07-01,78.7,81.1,76.2,75.3,78.3,72,78.9,81.3,
2017-07-01,78.6,81.1,76.1,75.3,78.5,71.9,78.8,81.2,
2018-07-01,78.7,81.2,76.2,,,,,,
