date,Hours,Employment,Total
1997-08-01,39.4,130010.0,5122394.0
1997-09-01,39.5,130019.0,5135750.5
1997-10-01,39.4,130179.0,5129052.6
1997-11-01,39.4,130653.0,5147728.2
1997-12-01,39.5,130679.0,5161820.5
1998-01-01,39.6,130726.0,5176749.600000001
1998-02-01,39.5,130807.0,5166876.5
1998-03-01,39.4,130814.0,5154071.6
1998-04-01,39.5,131209.0,5182755.5
1998-05-01,39.5,131325.0,5187337.5
1998-06-01,39.4,131244.0,5171013.6
1998-07-01,39.6,131329.0,5200628.4
1998-08-01,39.5,131390.0,5189905.0
1998-09-01,39.1,131986.0,5160652.600000001
1998-10-01,39.5,131999.0,5213960.5
1998-11-01,39.5,132280.0,5225060.0
1998-12-01,39.8,132602.0,5277559.6
1999-01-01,39.4,133027.0,5241263.8
1999-02-01,39.6,132856.0,5261097.600000001
1999-03-01,39.5,132947.0,5251406.5
1999-04-01,39.6,132955.0,5265018.0
1999-05-01,39.5,133311.0,5265784.5
1999-06-01,39.6,133378.0,5281768.8
1999-07-01,39.5,133414.0,5269853.0
1999-08-01,39.6,133591.0,5290203.600000001
1999-09-01,39.1,133707.0,5227943.7
1999-10-01,39.6,133993.0,5306122.8
1999-11-01,39.7,134309.0,5332067.300000001
1999-12-01,39.7,134523.0,5340563.100000001
2000-01-01,39.7,136559.0,5421392.300000001
2000-02-01,39.9,136598.0,5450260.2
2000-03-01,39.7,136701.0,5427029.7
2000-04-01,39.8,137270.0,5463346.0
2000-05-01,39.7,136630.0,5424211.0
2000-06-01,39.5,136940.0,5409130.0
2000-07-01,39.7,136531.0,5420280.7
2000-08-01,39.6,136662.0,5411815.2
2000-09-01,39.7,136893.0,5434652.100000001
2000-10-01,39.6,137088.0,5428684.8
2000-11-01,39.6,137322.0,5437951.2
2000-12-01,39.5,137614.0,5435753.0
2001-01-01,39.5,137778.0,5442231.0
2001-02-01,39.4,137612.0,5421912.8
2001-03-01,39.4,137783.0,5428650.2
2001-04-01,39.4,137299.0,5409580.6
2001-05-01,39.4,137092.0,5401424.8
2001-06-01,39.4,136873.0,5392796.2
2001-07-01,39.4,137071.0,5400597.399999999
2001-08-01,39.3,136241.0,5354271.3
2001-09-01,38.6,136846.0,5282255.600000001
2001-10-01,39.2,136392.0,5346566.4
2001-11-01,39.2,136238.0,5340529.600000001
2001-12-01,39.2,136047.0,5333042.4
2002-01-01,39.3,135701.0,5333049.3
2002-02-01,39.1,136438.0,5334725.8
2002-03-01,39.1,136177.0,5324520.7
2002-04-01,39.0,136126.0,5308914.0
2002-05-01,39.1,136539.0,5338674.9
2002-06-01,39.1,136415.0,5333826.5
2002-07-01,39.0,136413.0,5320107.0
2002-08-01,39.1,136705.0,5345165.5
2002-09-01,39.1,137302.0,5368508.2
2002-10-01,39.0,137008.0,5343312.0
2002-11-01,39.1,136521.0,5337971.100000001
2002-12-01,38.7,136426.0,5279686.2
2003-01-01,39.0,137417.0,5359263.0
2003-02-01,39.0,137482.0,5361798.0
2003-03-01,39.0,137434.0,5359926.0
2003-04-01,39.1,137633.0,5381450.3
2003-05-01,39.0,137544.0,5364216.0
2003-06-01,39.0,137790.0,5373810.0
2003-07-01,39.0,137474.0,5361486.0
2003-08-01,39.0,137549.0,5364411.0
2003-09-01,39.0,137609.0,5366751.0
2003-10-01,39.1,137984.0,5395174.4
2003-11-01,39.0,138424.0,5398536.0
2003-12-01,39.0,138411.0,5398029.0
2004-01-01,39.1,138472.0,5414255.2
2004-02-01,39.1,138542.0,5416992.2
2004-03-01,39.1,138453.0,5413512.3
2004-04-01,39.0,138680.0,5408520.0
2004-05-01,39.0,138852.0,5415228.0
2004-06-01,38.9,139174.0,5413868.6
2004-07-01,39.0,139556.0,5442684.0
2004-08-01,38.9,139573.0,5429389.7
2004-09-01,38.8,139487.0,5412095.6
2004-10-01,39.0,139732.0,5449548.0
2004-11-01,39.0,140231.0,5469009.0
2004-12-01,39.2,140125.0,5492900.0
2005-01-01,39.0,140245.0,5469555.0
2005-02-01,39.1,140385.0,5489053.5
2005-03-01,39.0,140654.0,5485506.0
2005-04-01,38.9,141254.0,5494780.6
2005-05-01,39.0,141609.0,5522751.0
2005-06-01,39.2,141714.0,5555188.800000001
2005-07-01,39.1,142026.0,5553216.600000001
2005-08-01,39.1,142434.0,5569169.4
2005-09-01,39.2,142401.0,5582119.2
2005-10-01,39.1,142548.0,5573626.8
2005-11-01,39.2,142499.0,5585960.800000001
2005-12-01,39.1,142752.0,5581603.2
2006-01-01,39.2,143150.0,5611480.0
2006-02-01,39.2,143457.0,5623514.4
2006-03-01,39.1,143741.0,5620273.100000001
2006-04-01,39.5,143761.0,5678559.5
2006-05-01,39.2,144089.0,5648288.800000001
2006-06-01,39.2,144353.0,5658637.600000001
2006-07-01,39.3,144202.0,5667138.6
2006-08-01,39.3,144625.0,5683762.5
2006-09-01,39.3,144815.0,5691229.5
2006-10-01,39.2,145314.0,5696308.800000001
2006-11-01,39.0,145534.0,5675826.0
2006-12-01,39.3,145970.0,5736621.0
2007-01-01,39.1,146028.0,5709694.8
2007-02-01,38.8,146057.0,5667011.6
2007-03-01,39.2,146320.0,5735744.0
2007-04-01,39.1,145586.0,5692412.600000001
2007-05-01,39.2,145903.0,5719397.600000001
2007-06-01,39.1,146063.0,5711063.3
2007-07-01,39.1,145905.0,5704885.5
2007-08-01,39.1,145682.0,5696166.2
2007-09-01,39.0,146244.0,5703516.0
2007-10-01,39.1,145946.0,5706488.600000001
2007-11-01,39.5,146595.0,5790502.5
2007-12-01,39.1,146273.0,5719274.3
2008-01-01,39.1,146378.0,5723379.8
2008-02-01,39.0,146156.0,5700084.0
2008-03-01,39.0,146086.0,5697354.0
2008-04-01,38.8,146132.0,5669921.6
2008-05-01,38.9,145908.0,5675821.2
2008-06-01,39.0,145737.0,5683743.0
2008-07-01,38.8,145532.0,5646641.6
2008-08-01,38.8,145203.0,5633876.399999999
2008-09-01,38.7,145076.0,5614441.2
2008-10-01,38.7,144802.0,5603837.4
2008-11-01,38.6,144100.0,5562260.0
2008-12-01,38.4,143369.0,5505369.6
2009-01-01,38.3,142152.0,5444421.6
2009-02-01,38.3,141640.0,5424812.0
2009-03-01,38.2,140707.0,5375007.4
2009-04-01,38.1,140656.0,5358993.600000001
2009-05-01,38.0,140248.0,5329424.0
2009-06-01,37.9,140009.0,5306341.1
2009-07-01,38.0,139901.0,5316238.0
2009-08-01,38.0,139492.0,5300696.0
2009-09-01,38.5,138818.0,5344493.0
2009-10-01,37.8,138432.0,5232729.6
2009-11-01,38.0,138659.0,5269042.0
2009-12-01,38.0,138013.0,5244494.0
2010-01-01,38.2,138438.0,5288331.600000001
2010-02-01,37.4,138581.0,5182929.399999999
2010-03-01,38.1,138751.0,5286413.100000001
2010-04-01,38.4,139297.0,5349004.8
2010-05-01,38.2,139241.0,5319006.2
2010-06-01,38.2,139141.0,5315186.2
2010-07-01,38.2,139179.0,5316637.800000001
2010-08-01,38.1,139438.0,5312587.8
2010-09-01,38.2,139396.0,5324927.2
2010-10-01,38.2,139119.0,5314345.800000001
2010-11-01,38.1,139044.0,5297576.4
2010-12-01,38.2,139301.0,5321298.2
2011-01-01,37.7,139250.0,5249725.0
2011-02-01,38.2,139394.0,5324850.800000001
2011-03-01,38.3,139639.0,5348173.699999999
2011-04-01,38.3,139586.0,5346143.8
2011-05-01,38.3,139624.0,5347599.199999999
2011-06-01,38.3,139384.0,5338407.199999999
2011-07-01,38.3,139524.0,5343769.199999999
2011-08-01,38.2,139942.0,5345784.4
2011-09-01,38.3,140183.0,5369008.899999999
2011-10-01,38.3,140368.0,5376094.399999999
2011-11-01,38.3,140826.0,5393635.8
2011-12-01,38.4,140902.0,5410636.8
2012-01-01,38.3,141584.0,5422667.199999999
2012-02-01,38.4,141858.0,5447347.2
2012-03-01,38.3,142036.0,5439978.8
2012-04-01,38.4,141899.0,5448921.6
2012-05-01,38.3,142206.0,5446489.8
2012-06-01,38.4,142391.0,5467814.399999999
2012-07-01,38.4,142292.0,5464012.8
2012-08-01,38.5,142291.0,5478203.5
2012-09-01,38.4,143044.0,5492889.6
2012-10-01,38.5,143431.0,5522093.5
2012-11-01,38.7,143333.0,5546987.100000001
2012-12-01,38.5,143330.0,5518205.0
2013-01-01,38.5,143292.0,5516742.0
2013-02-01,38.6,143362.0,5533773.2
2013-03-01,38.6,143316.0,5531997.600000001
2013-04-01,38.6,143635.0,5544311.0
2013-05-01,38.6,143882.0,5553845.2
2013-06-01,38.6,143999.0,5558361.4
2013-07-01,38.4,144264.0,5539737.6
2013-08-01,38.6,144326.0,5570983.600000001
2013-09-01,38.6,144418.0,5574534.8
2013-10-01,38.9,143537.0,5583589.3
2013-11-01,39.0,144479.0,5634681.0
2013-12-01,38.3,144778.0,5544997.399999999
2014-01-01,38.6,145150.0,5602790.0
2014-02-01,38.0,145134.0,5515092.0
2014-03-01,38.6,145648.0,5622012.8
2014-04-01,38.7,145667.0,5637312.9
2014-05-01,38.7,145825.0,5643427.5
2014-06-01,38.6,146247.0,5645134.2
2014-07-01,38.4,146399.0,5621721.6
2014-08-01,38.7,146530.0,5670711.0
2014-09-01,38.8,146778.0,5694986.399999999
2014-10-01,38.7,147427.0,5705424.9
2014-11-01,38.7,147404.0,5704534.800000001
2014-12-01,38.8,147615.0,5727462.0
2015-01-01,38.8,148145.0,5748026.0
2015-02-01,38.7,148045.0,5729341.5
2015-03-01,38.8,148128.0,5747366.399999999
2015-04-01,38.7,148511.0,5747375.7
2015-05-01,38.7,148817.0,5759217.9
2015-06-01,38.7,148816.0,5759179.2
2015-07-01,38.8,148830.0,5774604.0
2015-08-01,38.8,149181.0,5788222.8
2015-09-01,38.8,148826.0,5774448.8
2015-10-01,38.8,149246.0,5790744.8
2015-11-01,38.6,149463.0,5769271.8
2015-12-01,38.8,150128.0,5824966.399999999
2016-01-01,38.8,150653.0,5845336.399999999
2016-02-01,38.7,150939.0,5841339.300000001
2016-03-01,38.9,151218.0,5882380.2
2016-04-01,38.9,151074.0,5876778.6
2016-05-01,38.7,151132.0,5848808.4
2016-06-01,38.8,151223.0,5867452.399999999
2016-07-01,38.7,151554.0,5865139.800000001
2016-08-01,38.7,151779.0,5873847.300000001
2016-09-01,38.8,151761.0,5888326.8
2016-10-01,38.6,151793.0,5859209.8
2016-11-01,38.6,151954.0,5865424.4
2016-12-01,38.7,152157.0,5888475.9
2017-01-01,38.6,152150.0,5872990.0
2017-02-01,38.8,152414.0,5913663.199999999
2017-03-01,38.6,153050.0,5907730.0
2017-04-01,38.8,153274.0,5947031.199999999
2017-05-01,38.8,153017.0,5937059.6
2017-06-01,38.9,153356.0,5965548.399999999
2017-07-01,38.8,153612.0,5960145.6
2017-08-01,38.7,153592.0,5944010.4
2017-09-01,38.5,154266.0,5939241.0
2017-10-01,38.8,153633.0,5960960.399999999
2017-11-01,38.9,153749.0,5980836.1
2017-12-01,38.8,153911.0,5971746.8
2018-01-01,38.7,154495.0,5978956.5
2018-02-01,38.9,155174.0,6036268.6
2018-03-01,38.7,155266.0,6008794.2
2018-04-01,38.9,155363.0,6043620.7
2018-05-01,38.9,155688.0,6056263.2
2018-06-01,38.9,155768.0,6059375.2
2018-07-01,39.0,156186.0,6091254.0
2018-08-01,39.0,155567.0,6067113.0
2018-09-01,38.8,155948.0,6050782.399999999
2018-10-01,38.9,156306.0,6080303.399999999
2018-11-01,39.2,156598.0,6138641.600000001
2018-12-01,38.9,156745.0,6097380.5
2019-01-01,39.0,156625.0,6108375.0
2019-02-01,38.8,156904.0,6087875.199999999
2019-03-01,38.8,156809.0,6084189.199999999
2019-04-01,38.8,156741.0,6081550.8
2019-05-01,38.9,156883.0,6102748.7
2019-06-01,38.9,157131.0,6112395.899999999
2019-07-01,38.9,157617.0,6131301.3
2019-08-01,39.0,157861.0,6156579.0
2019-09-01,39.0,158230.0,6170970.0
2019-10-01,39.1,158356.0,6191719.600000001
2019-11-01,39.3,158540.0,6230622.0
2019-12-01,38.9,158735.0,6174791.5
2020-01-01,38.9,158659.0,6171835.1
2020-02-01,38.9,158732.0,6174674.8
2020-03-01,38.4,155536.0,5972582.399999999
2020-04-01,37.6,133370.0,5014712.0
2020-05-01,37.8,137224.0,5187067.199999999
2020-06-01,38.1,142100.0,5414010.0
2020-07-01,38.2,143777.0,5492281.4
2020-08-01,38.5,147276.0,5670126.0
2020-09-01,39.1,147543.0,5768931.3
2020-10-01,38.5,149669.0,5762256.5
2020-11-01,38.5,149809.0,5767646.5
2020-12-01,38.7,149830.0,5798421.0
2021-01-01,38.9,150031.0,5836205.899999999
