date,Return10,Return15,Return20
1999-09-01,13.4337,14.1072,12.162
1999-10-01,13.2948,14.0525,12.3131
1999-11-01,14.2843,14.4651,12.7542
1999-12-01,14.3114,14.7265,12.7287
2000-01-01,14.6322,14.3695,12.6069
2000-02-01,14.6262,13.7588,12.2808
2000-03-01,14.7313,14.0496,13.0337
2000-04-01,14.8812,14.1112,13.2354
2000-05-01,14.1492,13.7184,12.8566
2000-06-01,14.1521,13.7489,12.6963
2000-07-01,14.2467,13.6453,12.4659
2000-08-01,15.3785,13.8679,12.3696
2000-09-01,15.7964,13.9124,12.1763
2000-10-01,15.5061,13.4223,11.7504
2000-11-01,15.1074,12.924,11.5061
2000-12-01,14.2322,12.3236,11.4457
2001-01-01,14.3587,12.2772,11.4803
2001-02-01,12.8683,11.6675,11.5675
2001-03-01,11.4839,10.4959,10.8589
2001-04-01,11.263,10.2926,10.8297
2001-05-01,11.9955,10.7245,11.2959
2001-06-01,11.7074,10.3563,11.1588
2001-07-01,11.3755,10.3144,11.1987
2001-08-01,10.895,10.0179,11.086
2001-09-01,9.63661,9.34397,10.939
2001-10-01,10.008,9.60522,11.0467
2001-11-01,10.591,9.72868,11.1787
2001-12-01,10.7001,9.74707,11.2339
2002-01-01,9.89118,9.29416,11.4911
2002-02-01,9.586,8.60528,11.4081
2002-03-01,10.2115,8.63616,11.787
2002-04-01,9.75296,8.44262,11.2973
2002-05-01,9.24154,8.25377,11.1641
2002-06-01,8.76456,7.53624,11.1926
2002-07-01,7.36686,6.53842,10.5876
2002-08-01,7.38274,6.19681,10.6004
2002-09-01,6.84292,6.09722,9.72869
2002-10-01,6.84351,6.8843,9.2097
2002-11-01,7.24753,8.26162,9.30693
2002-12-01,6.816,8.29915,9.17065
2003-01-01,6.78339,7.97777,8.94225
2003-02-01,5.86896,7.2473,8.44466
2003-03-01,5.75714,7.10428,8.28188
2003-04-01,6.48704,7.57864,8.38642
2003-05-01,6.98629,8.13435,8.47245
2003-06-01,7.48378,8.13736,8.68493
2003-07-01,7.52928,8.22366,8.69514
2003-08-01,7.3169,8.33783,8.81197
2003-09-01,7.49163,8.44795,8.81396
2003-10-01,7.62917,8.35777,8.9085
2003-11-01,7.79247,8.61321,9.05916
2003-12-01,8.03125,8.68423,9.23852
2004-01-01,8.33869,8.78244,9.41839
2004-02-01,8.44169,8.62029,9.75516
2004-03-01,8.39484,8.51555,9.62392
2004-04-01,8.8427,8.35976,9.65813
2004-05-01,8.39812,7.89072,9.51775
2004-06-01,8.58432,7.84916,9.76794
2004-07-01,8.44451,7.52415,9.72552
2004-08-01,8.01031,7.11264,9.19831
2004-09-01,8.2225,7.28085,9.28519
2004-10-01,8.23248,7.26507,9.30058
2004-11-01,8.77952,7.73455,9.47946
2004-12-01,9.2191,7.77123,9.68201
2005-01-01,8.83451,7.89105,9.36322
2005-02-01,8.59361,8.18262,9.14701
2005-03-01,8.24943,7.95983,9.13816
2005-04-01,7.61805,7.73821,8.94376
2005-05-01,7.44207,7.58963,8.89672
2005-06-01,7.3551,7.55663,8.8923
2005-07-01,7.12767,7.66574,8.85527
2005-08-01,7.08044,8.29496,8.95426
2005-09-01,6.61871,8.60316,9.02128
2005-10-01,6.25803,8.60978,8.81012
2005-11-01,6.49885,8.75095,8.74391
2005-12-01,6.40777,8.61242,8.61915
2006-01-01,6.52532,8.75403,8.63145
2006-02-01,5.9361,7.97099,8.3117
2006-03-01,6.10744,7.83543,8.01918
2006-04-01,6.12185,7.68518,7.86426
2006-05-01,5.76502,7.6286,7.78552
2006-06-01,5.33396,7.4185,7.49742
2006-07-01,5.76579,7.40427,7.61576
2006-08-01,5.68578,7.38494,7.61591
2006-09-01,5.82187,7.64813,7.9292
2006-10-01,5.86116,7.93523,8.15579
2006-11-01,5.58956,8.10599,8.09002
2006-12-01,5.67148,8.18581,8.11017
2007-01-01,5.41108,7.72179,7.82281
2007-02-01,5.10988,7.86437,7.56725
2007-03-01,4.84772,7.73134,7.18651
2007-04-01,5.57741,7.96687,7.44109
2007-05-01,4.93932,8.02554,7.5944
2007-06-01,4.43157,8.15678,7.38953
2007-07-01,3.9334,8.08063,7.27351
2007-08-01,3.49733,7.74444,6.75825
2007-09-01,3.68279,7.93276,7.09107
2007-10-01,3.82082,8.23616,7.91324
2007-11-01,3.36973,7.66387,8.32125
2007-12-01,3.22463,7.52384,8.46192
2008-01-01,2.47382,7.0312,7.86561
2008-02-01,1.68115,6.80543,7.60826
2008-03-01,0.832252,6.4351,7.27821
2008-04-01,0.870761,6.79727,7.53911
2008-05-01,1.07938,6.87513,7.76323
2008-06-01,0.549958,6.45139,7.1977
2008-07-01,-0.536764,5.97434,6.8798
2008-08-01,0.430818,6.0452,7.12334
2008-09-01,0.461952,5.63127,6.80537
2008-10-01,-1.74499,4.09463,5.50827
2008-11-01,-3.41869,3.61798,5.25307
2008-12-01,-3.73982,3.60454,5.17837
2009-01-01,-4.32558,3.40197,4.94697
2009-02-01,-5.00348,2.92752,4.42017
2009-03-01,-5.8086,2.6361,4.14591
2009-04-01,-5.07135,3.64274,4.58099
2009-05-01,-4.48579,3.99416,4.71865
2009-06-01,-4.24257,4.0762,4.66071
2009-07-01,-4.49527,4.22718,4.60447
2009-08-01,-3.39465,4.56549,4.76619
2009-09-01,-2.9574,4.76934,4.93987
2009-10-01,-2.60069,4.96075,5.06682
2009-11-01,-3.05889,5.13299,5.27633
2009-12-01,-3.09622,5.36788,5.26768
2010-01-01,-2.96065,5.29788,5.48806
2010-02-01,-2.94771,4.86304,5.49133
2010-03-01,-2.72641,5.08102,5.65885
2010-04-01,-2.48938,5.14983,5.85551
2010-05-01,-2.78936,4.5154,5.35424
2010-06-01,-3.36912,4.07515,5.04026
2010-07-01,-3.44392,3.82544,5.04213
2010-08-01,-3.46357,3.85758,5.54938
2010-09-01,-3.00154,3.84421,5.9918
2010-10-01,-2.05662,4.10102,6.37183
2010-11-01,-1.74339,4.10258,6.35657
2010-12-01,-1.08607,4.10786,6.30417
2011-01-01,-0.783984,4.33678,6.52439
2011-02-01,-0.279264,4.14535,6.096
2011-03-01,0.473046,4.05173,5.83956
2011-04-01,0.621697,4.17076,5.8123
2011-05-01,0.030035,4.03797,5.84697
2011-06-01,-0.0714025,3.7092,5.65657
2011-07-01,0.457748,4.16538,5.77792
2011-08-01,-0.443524,3.2075,5.07436
2011-09-01,0.679946,3.02978,5.06412
2011-10-01,0.651595,2.99347,5.22664
2011-11-01,0.330395,2.79784,5.33598
2011-12-01,0.324773,2.83829,5.38444
2012-01-01,0.794195,2.92884,5.24395
2012-02-01,1.53301,2.90762,5.4821
2012-03-01,1.3164,3.10767,5.6692
2012-04-01,1.69441,3.32758,5.64558
2012-05-01,1.67845,2.52492,5.39072
2012-06-01,2.19312,2.11696,5.42627
2012-07-01,3.66098,1.95595,5.49699
2012-08-01,3.86249,2.13099,5.60723
2012-09-01,4.63721,2.23787,5.73386
2012-10-01,4.77749,2.13343,5.80499
2012-11-01,3.87504,2.04622,5.54683
2012-12-01,4.20605,2.02618,5.50216
2013-01-01,4.67217,2.2828,5.72183
2013-02-01,5.589,1.97985,5.72879
2013-03-01,5.76788,1.80864,5.76249
2013-04-01,5.37225,1.70097,5.92775
2013-05-01,5.26448,2.0147,6.12117
2013-06-01,4.5645,1.92413,6.01272
2013-07-01,4.83953,1.85183,6.17455
2013-08-01,4.90931,2.35211,6.10501
2013-09-01,4.73259,2.7696,6.10159
2013-10-01,4.7568,2.85817,6.18157
2013-11-01,5.01564,2.42656,6.39327
2013-12-01,4.85,2.25474,6.42665
2014-01-01,4.46626,1.9814,6.38215
2014-02-01,4.35957,1.96074,6.37805
2014-03-01,4.79683,1.92517,6.57793
2014-04-01,4.71753,1.68766,6.7569
2014-05-01,5.16547,1.77241,6.76692
2014-06-01,5.21282,2.01092,6.88241
2014-07-01,5.58798,1.83759,7.00422
2014-08-01,5.71118,2.09308,6.85249
2014-09-01,5.6234,2.27808,6.91264
2014-10-01,5.4156,2.21313,6.81204
2014-11-01,5.56861,2.16536,7.15886
2014-12-01,5.37646,2.06053,7.27662
2015-01-01,5.47189,2.04536,7.13645
2015-02-01,5.6025,2.41043,7.08436
2015-03-01,5.65389,2.17071,6.94088
2015-04-01,6.04617,2.12502,6.82737
2015-05-01,5.94584,2.35675,6.68952
2015-06-01,5.64571,2.13087,6.49488
2015-07-01,5.49899,2.08412,6.30817
2015-08-01,5.28069,1.86754,6.17446
2015-09-01,4.9178,1.67784,5.76261
2015-10-01,5.65382,2.33186,5.95454
2015-11-01,5.48912,2.59569,5.99132
2015-12-01,5.14888,2.7672,5.77466
2016-01-01,4.37885,2.32291,5.44367
2016-02-01,4.33621,2.45189,5.13081
2016-03-01,4.82969,3.49502,5.46471
2016-04-01,5.07345,3.64871,5.5947
2016-05-01,5.13266,3.18125,5.44723
2016-06-01,5.51173,3.40555,5.4227
2016-07-01,5.82067,3.80002,5.79296
2016-08-01,5.72005,4.01527,5.70261
2016-09-01,5.34019,4.81451,5.57977
2016-10-01,4.85311,4.5335,5.35422
2016-11-01,4.77275,4.27744,5.1789
2016-12-01,4.96383,4.413,5.31573
2017-01-01,5.01113,4.50662,5.20999
2017-02-01,5.13252,4.91991,5.12085
2017-03-01,5.65551,4.7407,5.25154
2017-04-01,5.25259,4.99339,5.41404
2017-05-01,5.13566,5.29962,5.03732
2017-06-01,5.29224,5.84021,4.8618
2017-07-01,5.33896,6.71252,4.63534
2017-08-01,5.75849,6.65318,4.62444
2017-09-01,5.58841,7.08343,4.63344
2017-10-01,5.59114,7.38535,4.70423
2017-11-01,6.32756,7.04575,4.84172
2017-12-01,6.49477,7.30666,4.85083
2018-01-01,7.70904,7.64906,5.06498
2018-02-01,7.54925,7.93237,4.58086
2018-03-01,7.90461,7.87159,4.3165
2018-04-01,7.31117,7.34758,4.04839
2018-05-01,7.29399,7.08024,4.14725
2018-06-01,8.06201,6.83487,4.24641
2018-07-01,8.95148,6.91008,4.10895
2018-08-01,8.93871,7.11393,4.60686
2018-09-01,9.623,7.02716,4.95141
2018-10-01,11.5158,6.59262,4.6868
2018-11-01,12.0989,6.36706,4.06269
2018-12-01,11.432,5.77514,3.57906
2019-01-01,11.7693,5.58152,3.41894
2019-02-01,13.1709,5.90654,3.69513
2019-03-01,14.0058,6.15517,3.63346
2019-04-01,13.0884,6.32766,3.61769
2019-05-01,12.2142,6.42671,3.53342
2019-06-01,12.1497,6.34828,3.63456
2019-07-01,12.3893,6.74508,3.6074
2019-08-01,11.2084,6.62432,3.65356
2019-09-01,11.1479,6.654,3.85922
2019-10-01,10.8764,6.6682,3.92249
2019-11-01,11.1376,6.65287,3.79942
2019-12-01,11.1549,6.61603,3.7872
2020-01-01,11.3627,6.9283,3.95649
2020-02-01,11.6714,6.84127,4.10706
2020-03-01,8.84397,5.4723,2.89813
2020-04-01,8.95772,6.02582,3.07716
2020-05-01,10.2337,6.32342,3.51895
2020-06-01,11.2418,6.57761,3.68001
2020-07-01,11.5803,6.68783,3.79694
2020-08-01,12.0955,7.08001,4.02517
2020-09-01,11.6532,7.09159,4.06785
2020-10-01,11.3595,7.40923,4.43605
2020-11-01,11.526,7.35626,4.68088
2020-12-01,11.5921,7.4651,5.06156
2021-01-01,11.5268,7.58009,5.19097
2021-02-01,11.4507,7.73027,5.42218
2021-03-01,11.6919,7.67311,5.93358
2021-04-01,12.0739,8.03159,6.19277
2021-05-01,12.0488,8.11957,5.86783
2021-06-01,12.5449,8.38948,6.04761
2021-07-01,12.4984,8.54007,6.30603
2021-08-01,13.9693,8.53211,6.5162
2021-09-01,14.036,8.29482,7.14703
2021-10-01,13.6385,7.9785,6.94486
2021-11-01,13.8973,8.12104,6.89489
2021-12-01,13.693,7.97843,6.79566
