date,p50uwe,nuwe,p10uwe,p25uwe,p75uwe,p90uwe
2003-01-01,620.0,98988.0,300.0,414.0,945.0,1413.0
2003-04-01,616.0,100442.0,301.0,411.0,940.0,1413.0
2003-07-01,618.0,101372.0,300.0,411.0,950.0,1405.0
2003-10-01,625.0,100407.0,303.0,416.0,956.0,1440.0
2004-01-01,634.0,99720.0,307.0,421.0,973.0,1458.0
2004-04-01,639.0,101300.0,304.0,419.0,969.0,1445.0
2004-07-01,632.0,102325.0,303.0,419.0,970.0,1461.0
2004-10-01,647.0,101551.0,308.0,424.0,978.0,1477.0
2005-01-01,653.0,100884.0,312.0,433.0,999.0,1509.0
2005-04-01,643.0,103332.0,307.0,424.0,981.0,1490.0
2005-07-01,649.0,105428.0,306.0,422.0,994.0,1484.0
2005-10-01,659.0,104599.0,316.0,437.0,1012.0,1535.0
2006-01-01,668.0,103469.0,318.0,445.0,1030.0,1535.0
2006-04-01,659.0,105881.0,316.0,441.0,1017.0,1542.0
2006-07-01,675.0,108169.0,317.0,441.0,1023.0,1536.0
2006-10-01,682.0,106903.0,323.0,452.0,1041.0,1567.0
2007-01-01,693.0,105888.0,327.0,462.0,1055.0,1585.0
2007-04-01,690.0,106879.0,328.0,463.0,1067.0,1605.0
2007-07-01,695.0,108272.0,329.0,462.0,1082.0,1603.0
2007-10-01,700.0,108318.0,336.0,470.0,1076.0,1616.0
2008-01-01,719.0,106507.0,344.0,481.0,1112.0,1653.0
2008-04-01,719.0,107119.0,346.0,484.0,1122.0,1695.0
2008-07-01,720.0,107194.0,345.0,484.0,1131.0,1708.0
2008-10-01,728.0,105774.0,349.0,490.0,1129.0,1732.0
2009-01-01,738.0,100370.0,349.0,489.0,1151.0,1748.0
2009-04-01,734.0,100130.0,351.0,491.0,1140.0,1736.0
2009-07-01,738.0,100060.0,346.0,488.0,1147.0,1755.0
2009-10-01,748.0,98720.0,355.0,499.0,1146.0,1738.0
2010-01-01,754.0,96821.0,356.0,499.0,1161.0,1774.0
2010-04-01,740.0,99798.0,353.0,492.0,1150.0,1743.0
2010-07-01,740.0,101385.0,351.0,488.0,1155.0,1767.0
2010-10-01,752.0,100120.0,354.0,495.0,1161.0,1820.0
2011-01-01,755.0,98329.0,358.0,500.0,1171.0,1767.0
2011-04-01,753.0,100593.0,361.0,498.0,1160.0,1774.0
2011-07-01,753.0,101447.0,357.0,497.0,1175.0,1814.0
2011-10-01,764.0,101458.0,357.0,502.0,1194.0,1839.0
2012-01-01,769.0,100830.0,360.0,507.0,1208.0,1858.0
2012-04-01,771.0,102769.0,360.0,505.0,1203.0,1875.0
2012-07-01,758.0,103577.0,355.0,499.0,1198.0,1862.0
2012-10-01,775.0,103819.0,362.0,505.0,1227.0,1887.0
2013-01-01,773.0,102606.0,368.0,510.0,1245.0,1884.0
2013-04-01,776.0,104194.0,374.0,510.0,1235.0,1895.0
2013-07-01,771.0,105459.0,370.0,509.0,1221.0,1886.0
2013-10-01,786.0,104791.0,376.0,514.0,1250.0,1899.0
2014-01-01,796.0,104327.0,378.0,518.0,1254.0,1893.0
2014-04-01,780.0,106555.0,377.0,515.0,1244.0,1895.0
2014-07-01,790.0,107855.0,381.0,521.0,1241.0,1896.0
2014-10-01,799.0,107368.0,378.0,519.0,1260.0,1907.0
2015-01-01,808.0,107194.0,381.0,522.0,1278.0,1923.0
2015-04-01,801.0,108769.0,384.0,524.0,1270.0,1920.0
2015-07-01,803.0,110446.0,384.0,523.0,1279.0,1929.0
2015-10-01,825.0,109913.0,392.0,539.0,1330.0,1994.0
2016-01-01,830.0,109147.0,393.0,544.0,1328.0,1999.0
2016-04-01,824.0,111166.0,395.0,545.0,1313.0,1997.0
2016-07-01,827.0,112784.0,395.0,546.0,1338.0,1985.0
2016-10-01,849.0,111268.0,404.0,558.0,1351.0,2067.0
2017-01-01,865.0,110706.0,407.0,575.0,1367.0,2081.0
2017-04-01,859.0,113372.0,410.0,574.0,1360.0,2087.0
2017-07-01,859.0,114859.0,413.0,575.0,1357.0,2024.0
2017-10-01,857.0,114151.0,417.0,580.0,1372.0,2097.0
2018-01-01,881.0,113396.0,423.0,589.0,1399.0,2155.0
2018-04-01,876.0,115758.0,426.0,585.0,1384.0,2112.0
2018-07-01,887.0,117184.0,431.0,592.0,1408.0,2107.0
2018-10-01,900.0,115928.0,444.0,601.0,1437.0,2213.0
2019-01-01,905.0,116123.0,442.0,605.0,1451.0,2265.0
2019-04-01,908.0,117567.0,454.0,611.0,1432.0,2270.0
2019-07-01,919.0,118358.0,461.0,611.0,1462.0,2275.0
2019-10-01,936.0,118286.0,467.0,623.0,1488.0,2280.0
2020-01-01,957.0,115930.0,468.0,630.0,1513.0,2320.0
2020-04-01,1002.0,104487.0,496.0,670.0,1551.0,2383.0
2020-07-01,994.0,109652.0,490.0,667.0,1575.0,2383.0
2020-10-01,984.0,111480.0,488.0,654.0,1539.0,2321.0
2021-01-01,989.0,112070.0,486.0,657.0,1563.0,2424.0
2021-04-01,990.0,113593.0,502.0,665.0,1557.0,2405.0
2021-07-01,1001.0,115332.0,510.0,683.0,1577.0,2412.0
2021-10-01,1010.0,116271.0,520.0,697.0,1578.0,2444.0
