date,A067RC,A071RC,DPCERC,OTHER,SAVING
1994-07-01,1.9499999999999995,-0.6024999999999991,2.3749999999999996,-0.1825,0.6024999999999991
1994-10-01,2.7949999999999995,-0.002499999999999142,2.5974999999999997,-0.20500000000000002,0.002499999999999142
1995-01-01,3.0049999999999994,1.072500000000001,1.6949999999999996,-0.245,-1.072500000000001
1995-04-01,2.2099999999999995,0.04750000000000093,1.8024999999999995,-0.3625,-0.04750000000000093
1995-07-01,2.5874999999999995,0.2675000000000009,1.9474999999999998,-0.37250000000000005,-0.2675000000000009
1995-10-01,1.6299999999999994,-0.4149999999999991,1.555,-0.4900000000000001,0.4149999999999991
1996-01-01,1.7599999999999998,-0.9174999999999991,2.25,-0.4250000000000001,0.9174999999999991
1996-04-01,2.4699999999999998,-0.2824999999999992,2.4524999999999997,-0.3000000000000001,0.2824999999999992
1996-07-01,2.3425,-0.0774999999999992,2.145,-0.27500000000000013,0.0774999999999992
1996-10-01,2.2724999999999995,-0.12249999999999922,2.235,-0.16000000000000011,0.12249999999999922
1997-01-01,2.2624999999999993,-0.2924999999999992,2.3549999999999995,-0.20250000000000012,0.2924999999999992
1997-04-01,2.2199999999999993,0.26250000000000073,1.7224999999999997,-0.24000000000000016,-0.26250000000000073
1997-07-01,2.6399999999999992,-0.4349999999999992,2.8374999999999995,-0.24000000000000016,0.4349999999999992
1997-10-01,3.702499999999999,0.19250000000000078,3.2499999999999996,-0.2625000000000002,-0.19250000000000078
1998-01-01,5.004999999999999,1.5975000000000008,3.2125,-0.19500000000000017,-1.5975000000000008
1998-04-01,5.6,0.7750000000000009,4.5625,-0.2600000000000001,-0.7750000000000009
1998-07-01,5.425,1.0275000000000007,4.17,-0.2300000000000001,-1.0275000000000007
1998-10-01,4.677499999999999,0.04750000000000082,4.435,-0.19500000000000012,-0.04750000000000082
1999-01-01,3.327499999999999,-1.1899999999999993,4.395,-0.1250000000000001,1.1899999999999993
1999-04-01,2.009999999999999,-2.122499999999999,4.08,-0.05250000000000013,2.122499999999999
1999-07-01,1.6274999999999986,-2.3249999999999993,3.895,-0.05500000000000013,2.3249999999999993
1999-10-01,2.4024999999999985,-1.5824999999999996,3.920000000000001,-0.06750000000000014,1.5824999999999996
2000-01-01,3.5224999999999986,-1.2499999999999996,4.505000000000001,-0.2675000000000001,1.2499999999999996
2000-04-01,4.527499999999998,0.19750000000000045,4.03,-0.3025000000000001,-0.19750000000000045
2000-07-01,5.1099999999999985,0.7250000000000005,3.9300000000000006,-0.45750000000000013,-0.7250000000000005
2000-10-01,3.884999999999999,0.04750000000000053,3.3500000000000005,-0.49000000000000016,-0.04750000000000053
