date,p10,p25,p50,p75,p90,p10_3M,p25_3M,p50_3M,p75_3M,p90_3M,p10_gr,p25_gr,p50_gr,p75_gr,p90_gr,p10_3M_gr,p25_3M_gr,p50_3M_gr,p75_3M_gr,p90_3M_gr
1993-01-01,211.296,298.984,444.97,670.259,946.914,213.221,297.498,443.213,665.071,941.202,0.397546,1.08292,2.59816,3.91066,2.52284,1.6633,1.76871,2.88902,3.36274,3.53597
1993-02-01,216.678,299.96,447.401,668.291,972.337,213.585,298.159,444.523,663.859,946.583,3.34137,2.21913,2.64133,3.98275,5.65212,1.71021,1.50311,2.46878,3.72132,3.52072
1993-03-01,216.346,302.979,457.493,673.89,976.185,214.773,300.641,449.955,670.813,965.145,2.42017,2.59325,2.05487,1.58346,3.33373,2.05187,1.96411,2.42763,3.14315,3.83029
1993-04-01,215.444,301.867,456.712,672.907,966.774,216.156,301.602,453.869,671.696,971.765,0.817658,1.88975,3.58365,2.66637,4.07077,2.1849,2.23371,2.75648,2.73144,4.34245
1993-05-01,219.566,300.754,446.541,669.422,979.833,217.119,301.866,453.582,672.073,974.264,4.30834,2.85788,4.00101,3.85625,6.60722,2.50673,2.445,3.1998,2.69111,4.65621
1993-06-01,212.105,296.716,447,680.792,976.638,215.705,299.779,450.084,674.374,974.415,3.67173,3.65663,5.97596,6.44417,6.93876,2.91487,2.79137,4.50331,4.30753,5.86357
1993-07-01,207.893,292.046,441.647,668.967,950.343,213.188,296.505,445.062,673.06,968.938,2.242,2.64089,3.92635,3.37255,3.07719,3.41833,3.05124,4.62893,4.5512,5.53553
1993-08-01,209.416,295.213,453.104,672.392,961.082,209.805,294.659,447.25,674.05,962.688,2.09823,2.49074,6.65538,5.26109,3.30857,2.67105,2.92908,5.51798,5.01934,4.43023
1993-09-01,217.606,301.883,456.031,679.724,971.338,211.638,296.381,450.26,673.694,960.921,1.3015,1.35878,3.56131,2.63952,3.0427,1.87053,2.15249,4.7004,3.7426,3.14257
1993-10-01,217.51,299.872,458.665,682.878,982.512,214.844,298.99,455.933,678.331,971.644,2.80974,1.48664,5.47851,4.10114,3.4607,2.06559,1.77159,5.21369,3.98515,3.27096
1993-11-01,221.015,303.865,461.969,691.597,993.3,218.71,301.874,458.888,684.733,982.384,2.51905,1.97538,4.17134,2.92747,3.88058,2.20744,1.60731,4.39868,3.2185,3.46332
1993-12-01,217.74,304.586,463.053,685.022,981.268,218.755,302.774,461.229,686.499,985.693,2.33002,3.06343,4.95392,4.89942,6.60197,2.5523,2.17464,4.86378,3.96619,4.62582
1994-01-01,224.62,309.62,478.015,708.45,1009.44,221.125,306.024,467.679,695.023,994.671,6.30553,3.55731,7.42613,5.69795,6.60356,3.70694,2.86561,5.52025,4.50358,5.68093
1994-02-01,216.102,304.225,467.91,703.644,997.821,219.487,306.143,469.659,699.039,996.178,-0.265714,1.42191,4.58411,5.28997,2.62097,2.76321,2.67803,5.65475,5.29921,5.2394
1994-03-01,222.629,310.459,470.929,708.42,980.312,221.117,308.101,472.284,706.838,995.859,2.90429,2.46905,2.93679,5.12393,0.422801,2.95364,2.48155,4.96265,5.37025,3.18232
1994-04-01,219.447,306.721,465.525,694.118,987.371,219.393,307.135,468.121,702.06,988.501,1.85786,1.60807,1.92963,3.15206,2.13041,1.49741,1.83465,3.14025,4.52052,1.72223
1994-05-01,218.118,302.129,463.114,689.233,995.498,220.065,306.436,466.523,697.257,987.727,-0.659621,0.457096,3.71151,2.95937,1.59874,1.35681,1.51387,2.85298,3.74715,1.38185
1994-06-01,212.499,299.029,451.895,690.482,997.326,216.688,302.626,460.178,691.278,993.398,0.185662,0.779658,1.09492,1.42343,2.11836,0.455583,0.949847,2.24258,2.50661,1.94817
1994-07-01,209.996,292.946,448.371,677.43,975.18,213.538,298.035,454.46,685.715,989.335,1.01176,0.307921,1.5225,1.26508,2.61351,0.163996,0.515716,2.11145,1.88018,2.10509
1994-08-01,215.388,297.027,446.239,674.247,978.5,212.628,296.334,448.835,680.72,983.669,2.85166,0.614247,-1.51507,0.275934,1.81224,1.34554,0.568566,0.35428,0.989487,2.17943
1994-09-01,223.349,306.803,466.507,700.466,1000.3,216.244,298.925,453.705,684.048,984.661,2.63886,1.62946,2.29712,3.05156,2.98185,2.17628,0.858319,0.765103,1.53683,2.47049
1994-10-01,219.286,303.135,464.319,702.501,1003.02,219.341,302.321,459.022,692.405,993.942,0.816529,1.08792,1.23271,2.87358,2.08755,2.09302,1.11428,0.677352,2.07473,2.29478
1994-11-01,219.74,304.669,457.634,693.019,979.253,220.792,304.869,462.82,698.662,994.193,-0.576654,0.264398,-0.938454,0.205473,-1.41416,0.95162,0.992121,0.856727,2.03419,1.20209
1994-12-01,220.364,307.751,473.268,727.332,1038.1,219.797,305.185,465.074,707.617,1006.79,1.20549,1.03939,2.20593,6.17648,5.79162,0.476387,0.796151,0.83352,3.0762,2.14045
1995-01-01,226.919,313.161,479.32,707.579,1003.18,222.341,308.527,470.074,709.31,1006.84,1.02344,1.14355,0.273156,-0.122959,-0.620747,0.550093,0.818012,0.512104,2.05558,1.2238
1995-02-01,226.088,312.081,475.529,721.462,1032.98,224.457,310.998,476.039,718.791,1024.75,4.62095,2.58237,1.62827,2.53227,3.52315,2.26431,1.58561,1.35837,2.82566,2.8683
1995-03-01,223.319,311.912,480.797,730.687,1030.72,225.442,312.385,478.549,719.909,1022.29,0.30991,0.467968,2.09559,3.14325,5.14154,1.95594,1.39021,1.32641,1.84929,2.65405
1995-04-01,221.134,306,463.749,706.279,1028.74,223.514,309.998,473.358,719.476,1030.81,0.768885,-0.235167,-0.381528,1.75203,4.18998,1.8784,0.93203,1.11876,2.48064,4.28017
1995-05-01,224.575,313.729,480.47,722.796,1021.63,223.01,310.547,475.005,719.921,1027.03,2.96058,3.83954,3.7477,4.86957,2.62494,1.33821,1.34143,1.81833,3.25042,3.979
1995-06-01,220.464,303.544,466.308,717.056,1034.94,222.058,307.758,470.176,715.377,1028.44,3.7485,1.50993,3.18944,3.84855,3.77142,2.47827,1.69562,2.17256,3.48617,3.52713
1995-07-01,214.61,299.709,457.323,697.774,998.201,219.883,305.661,468.033,712.542,1018.26,2.19722,2.30869,1.99658,3.00313,2.36061,2.97171,2.55884,2.98677,3.91223,2.92334
1995-08-01,219.128,301.399,461.928,700.728,1001.54,218.067,301.551,461.853,705.186,1011.56,1.73617,1.47205,3.51584,3.9274,2.35442,2.55832,1.76048,2.9004,3.59414,2.83536
1995-09-01,232.933,321.974,488.787,731.404,1056.13,222.224,307.694,469.346,709.968,1018.62,4.29119,4.94491,4.77604,4.4167,5.58061,2.76507,2.93348,3.44729,3.78931,3.44894
1995-10-01,230.999,317.814,484.023,728.25,1060.34,227.687,313.729,478.246,720.127,1039.33,5.34139,4.84258,4.24359,3.66524,5.71458,3.80485,3.77336,4.18814,4.00374,4.56699
1995-11-01,227.169,312.801,475.638,713.645,1016.53,230.367,317.53,482.816,724.433,1044.33,3.38087,2.66924,3.93421,2.97629,3.80621,4.33688,4.15293,4.32051,3.68858,5.04309
1995-12-01,227.422,310.542,486.87,733.48,1051.52,228.53,313.719,482.177,725.125,1042.79,3.20251,0.906682,2.874,0.845221,1.2926,3.97325,2.79636,3.67754,2.47413,3.57603
1996-01-01,230.7,317.387,495.778,745.881,1061.57,228.431,313.577,486.095,731.002,1043.2,1.66664,1.34949,3.43355,5.4132,5.8207,2.73877,1.63667,3.40824,3.05821,3.61138
1996-02-01,235.047,320.344,488.314,740.595,1064.28,231.056,316.091,490.321,739.985,1059.12,3.9624,2.64759,2.68859,2.65198,3.03043,2.94008,1.63763,3.00007,2.94862,3.35412
1996-03-01,228.884,316.794,485.893,735.154,1061.19,231.544,318.175,489.995,740.543,1062.35,2.49203,1.56509,1.05986,0.611299,2.95663,2.70663,1.85353,2.39185,2.86621,3.91833
1996-04-01,230.521,316.751,490.693,733.783,1063.25,231.484,317.963,488.3,736.511,1062.91,4.24488,3.51352,5.80998,3.89428,3.35437,3.56586,2.56945,3.15649,2.36766,3.1136
1996-05-01,229.67,316.259,486.117,732.946,1066.8,229.692,316.601,487.568,733.961,1063.75,2.26833,0.806549,1.17535,1.40432,4.42129,2.99631,1.94962,2.64465,1.95028,3.57509
1996-06-01,227.081,311.6,475.436,731.064,1065.98,229.09,314.87,484.082,732.598,1065.34,3.00125,2.65379,1.95761,1.95363,2.99959,3.16699,2.31104,2.95772,2.40728,3.58865
1996-07-01,222.652,306.552,470.027,705.378,1008.02,226.468,311.471,477.193,723.129,1046.93,3.74751,2.28332,2.778,1.0898,0.983541,2.99452,1.90071,1.95713,1.48591,2.81628
1996-08-01,224.571,313.072,478.878,729.793,1023.07,224.768,310.408,474.78,722.078,1032.36,2.48419,3.87299,3.66946,4.14787,2.15041,3.07287,2.93725,2.7991,2.3955,2.05619
1996-09-01,230.611,324.868,497.627,742.683,1094.43,225.945,314.831,482.178,725.951,1041.84,-0.996886,0.898838,1.80864,1.54207,3.62714,1.67459,2.31946,2.73395,2.2512,2.27962
1996-10-01,240.455,326.06,505.792,748.341,1091.18,231.879,321.333,494.099,740.272,1069.56,4.09363,2.59452,4.49746,2.7589,2.90857,1.84138,2.42384,3.31485,2.79745,2.90843
1996-11-01,235.962,322.825,501.382,758.379,1115.53,235.676,324.584,501.6,749.801,1100.38,3.87025,3.2045,5.41249,6.26835,9.73976,2.30447,2.22168,3.89057,3.50178,5.36724
1996-12-01,234.987,322.853,490.865,737.808,1071.68,237.135,323.912,499.346,748.176,1092.8,3.32671,3.9643,0.820549,0.589997,1.91777,3.76521,3.24922,3.56077,3.1789,4.79524
1997-01-01,241.775,330.468,506.978,770.908,1103.65,237.575,325.382,499.741,755.698,1096.96,4.80051,4.12149,2.25903,3.35535,3.9642,4.00304,3.76469,2.80731,3.37838,5.15257
1997-02-01,241.93,332.695,506.202,770.789,1130.21,239.564,328.672,501.348,759.835,1101.85,2.92845,3.85564,3.66319,4.07695,6.19498,3.68217,3.9802,2.24905,2.6824,4.03417
1997-03-01,239.847,323.965,500.513,762.078,1094.7,241.184,329.043,504.564,767.925,1109.52,4.78964,2.26367,3.00892,3.66243,3.15747,4.16347,3.41568,2.97335,3.69751,4.44053
1997-04-01,241.464,324.605,505.626,753.182,1087.12,241.08,327.088,504.114,762.016,1104.01,4.74724,2.47963,3.04339,2.64365,2.24482,4.14562,2.87001,3.23856,3.46303,3.86697
1997-05-01,237.52,327.694,493.639,744.492,1069.12,239.61,325.421,499.926,753.251,1083.65,3.41813,3.61568,1.54725,1.57537,0.217769,4.31833,2.78587,2.53471,2.62819,1.87068
1997-06-01,233.668,322.198,490.708,751.573,1118.72,237.551,324.832,496.658,749.749,1091.65,2.90093,3.40113,3.2121,2.80532,4.94743,3.69305,3.16396,2.59781,2.34116,2.46962
1997-07-01,230.234,312.784,484.749,741.766,1073.15,233.807,320.892,489.699,745.944,1087,3.40502,2.03297,3.1322,5.15859,6.46093,3.24096,3.02489,2.62054,3.15494,3.82671
