date,JRXWTFB_N.B,RXI$US_N.B.AL,RXI$US_N.B.EU,RXI$US_N.B.NZ,RXI$US_N.B.UK,RXI_N.B.BZ,RXI_N.B.CA,RXI_N.B.CH,RXI_N.B.DN,RXI_N.B.HK,RXI_N.B.IN,RXI_N.B.JA,RXI_N.B.KO,RXI_N.B.MA,RXI_N.B.MX,RXI_N.B.NO,RXI_N.B.SD,RXI_N.B.SF,RXI_N.B.SI,RXI_N.B.SZ,RXI_N.B.TA,V0.JRXWTFB_N.B,V0.JRXWTFN_N.B
1989-01-17,,0.8579,,0.6255,1.768,,1.198,3.7314,7.178,7.806,15.09,127.75,686.0,2.7305,,6.727,6.312,2.39,1.945,1.5765,27.78,,91.0742
1989-01-18,,0.8622,,0.6252,1.7545,,1.194,3.7314,7.25,7.805,15.09,128.5,685.3,2.733,,6.775,6.3525,2.39,1.947,1.5903,27.8,,91.5017
1989-01-19,,0.8667,,0.6278,1.75,,1.1895,3.7314,7.247,7.803,15.11,129.7,685.4,2.732,,6.7705,6.347,2.4,1.9465,1.591,27.79,,91.6322
1989-01-20,,0.872,,0.63,1.7685,,1.1879,3.7314,7.159,7.801,15.1,128.27,685.5,2.725,,6.7025,6.294,2.38,1.943,1.5685,27.77,,90.8218
1989-01-23,,0.8782,,0.6225,1.774,,1.1885,3.7314,7.1345,7.799,15.11,127.8,684.6,2.718,,6.683,6.2775,2.38,1.9425,1.5575,27.73,,90.5807
1989-01-24,,0.8808,,0.6117,1.7677,,1.187,3.7314,7.155,7.802,15.12,127.65,683.9,2.707,,6.6875,6.285,2.38,1.937,1.561,27.69,,90.6042
1989-01-25,,0.876,,0.6065,1.771,,1.1857,3.7314,7.16,7.8015,15.13,127.73,683.0,2.714,,6.688,6.2915,2.39,1.9385,1.568,27.69,,90.6245
1989-01-26,,0.8781,,0.6109,1.7735,,1.1823,3.7314,7.165,7.802,15.09,128.15,683.1,2.72,,6.69,6.291,2.4,1.9335,1.5677,27.7,,90.6252
1989-01-27,,0.8745,,0.608,1.758,,1.1877,3.7314,7.23,7.803,15.12,129.24,683.2,2.728,,6.73,6.334,2.4,1.936,1.5865,27.69,,91.3386
1989-01-30,,0.8817,,0.6068,1.7618,,1.181,3.7314,7.231,7.801,15.17,129.35,683.3,2.734,,6.724,6.331,2.41,1.935,1.5792,27.7,,91.137
1989-01-31,,0.8874,,0.6015,1.75,,1.1835,3.7314,7.29,7.7985,15.18,130.5,683.4,2.73,,6.7645,6.36,2.4,1.933,1.5997,27.7,,91.745
1989-02-01,,0.8885,,0.6083,1.7535,,1.1894,3.7314,7.26,7.801,15.2,129.6,683.5,2.732,,6.75,6.34,2.41,1.935,1.584,27.7,,91.5045
1989-02-02,,0.8905,,0.6055,1.7508,,1.1881,3.7314,7.276,7.802,15.18,129.15,683.6,2.728,,6.77,6.353,2.42,1.931,1.5855,27.69,,91.454
1989-02-03,,0.8767,,0.614,1.7415,,1.1858,3.7314,7.32,7.801,15.18,129.65,682.9,2.7285,,6.795,6.383,2.44,1.9325,1.5975,27.68,,91.7479
1989-02-06,,0.8815,,0.6123,1.7327,,1.1832,3.7314,7.31,7.801,15.23,129.65,683.0,2.732,,6.791,6.382,2.43,1.932,1.5965,,,91.7002
1989-02-07,,0.8874,,0.6132,1.7425,,1.1822,3.7314,7.266,7.801,15.2,129.29,683.0,2.73,,6.755,6.347,2.43,1.931,1.5865,,,91.3592
1989-02-08,,0.8915,,0.615,1.7433,,1.185,3.7314,7.299,7.801,15.2,129.6,683.1,2.729,,6.78,6.37,2.44,1.926,1.591,,,91.5502
1989-02-09,,0.888,,0.6124,1.7548,,1.184,3.7314,7.235,7.7985,15.19,128.58,682.4,2.729,,6.733,6.33,2.44,1.927,1.5795,27.67,,91.0588
1989-02-10,,0.8855,,0.6175,1.7543,,1.186,3.7314,7.25,7.799,15.19,128.49,681.5,2.729,,6.731,6.3325,2.45,1.929,1.5825,27.67,,91.1172
1989-02-13,,0.8874,,0.6175,1.7495,,1.1865,3.7314,7.278,7.798,15.24,128.4,680.6,2.733,,6.753,6.353,2.45,1.93,1.5895,27.66,,91.2623
1989-02-14,,0.8838,,0.6207,1.7685,,1.184,3.7314,7.2065,7.803,15.22,126.73,680.7,2.733,,6.705,6.305,2.45,1.93,1.57,27.66,,90.4587
1989-02-15,,0.8731,,0.617,1.7733,,1.1805,3.7314,7.175,7.802,15.2,126.4,679.8,2.7295,,6.69,6.293,2.45,1.9235,1.5635,27.66,,90.2504
1989-02-16,,0.8375,,0.6142,1.7708,,1.186,3.7314,7.176,7.8015,15.23,126.32,678.9,2.732,,6.696,6.307,2.48,1.924,1.5642,27.67,,90.4422
1989-02-17,,0.823,,0.616,1.776,,1.1895,3.7314,7.153,7.802,15.19,125.9,679.0,2.7275,,6.681,6.295,2.48,1.922,1.56,27.77,,90.3584
1989-02-20,,,,,,,,,,,,,,,,,,,,,,,
1989-02-21,,0.8103,,0.6138,1.7502,,1.1899,3.7314,7.176,7.8035,15.29,126.75,678.2,2.7335,,6.705,6.321,2.48,1.927,1.569,27.72,,90.8116
1989-02-22,,0.8203,,0.614,1.7505,,1.1958,3.7314,7.158,7.801,15.35,126.58,678.3,2.731,,6.69,6.3005,2.49,1.927,1.5685,27.76,,90.7948
1989-02-23,,0.8275,,0.6265,1.76,,1.1958,3.7314,7.099,7.801,15.3,126.2,677.3,2.729,,6.675,6.28,2.48,1.927,1.554,27.76,,90.4248
1989-02-24,,0.8237,,0.6248,1.753,,1.1987,3.7314,7.1185,7.8,15.3,126.32,677.3,2.731,,6.685,6.285,2.49,1.929,1.557,27.78,,90.602
1989-02-27,,0.7965,,0.6245,1.7448,,1.2035,3.7314,7.107,7.8,15.33,126.53,676.5,2.732,,6.689,6.288,2.48,1.927,1.5525,27.8,,90.7579
1989-02-28,,0.7988,,0.6223,1.744,,1.199,3.7314,7.115,7.8015,15.35,126.87,675.8,2.735,,6.709,6.287,2.48,1.931,1.5549,27.81,,90.8016
1989-03-01,,0.8036,,0.619,1.724,,1.1997,3.7314,7.1565,7.801,15.35,128.1,675.8,2.743,,6.739,6.325,2.49,1.933,1.5685,27.83,,91.3899
1989-03-02,,0.804,,0.6188,1.7238,,1.1935,3.7314,7.1883,7.801,15.34,127.88,675.9,2.743,,6.742,6.336,2.5,1.934,1.5747,27.84,,91.3151
1989-03-03,,0.8128,,0.6175,1.723,,1.196,3.7314,7.178,7.802,15.31,127.7,676.0,2.745,,6.736,6.331,2.5,1.932,1.5747,27.85,,91.2736
1989-03-06,,0.8138,,0.6133,1.722,,1.1935,3.7314,7.2235,7.802,15.32,128.85,675.3,2.748,,6.7625,6.359,2.51,1.9315,1.584,27.88,,91.6347
1989-03-07,,0.8087,,0.6135,1.7217,,1.1987,3.7314,7.224,7.8025,15.34,128.74,675.4,2.7615,,6.763,6.351,2.53,1.935,1.5835,27.86,,91.724
1989-03-08,,0.8133,,0.6128,1.7197,,1.2014,3.7314,7.2435,7.802,15.32,128.7,675.4,2.754,,6.77,6.361,2.52,1.935,1.586,27.85,,91.829
1989-03-09,,0.8181,,0.6145,1.7175,,1.201,3.7314,7.267,7.802,15.34,129.05,675.6,2.754,,6.79,6.375,2.53,1.936,1.59,27.86,,91.9525
1989-03-10,,0.8216,,0.6167,1.7155,,1.1988,3.7314,7.275,7.802,15.35,129.5,,2.75,,6.794,6.383,2.53,1.922,1.592,27.88,,92.0282
1989-03-13,,0.8219,,0.615,1.7115,,1.1982,3.7314,7.288,7.802,15.38,129.88,675.7,2.754,,6.803,6.398,2.54,1.939,1.5975,,,92.1725
1989-03-14,,0.8113,,0.6132,1.7272,,1.1945,3.7314,7.255,7.801,15.47,129.68,675.8,2.755,,6.785,6.382,2.54,1.938,1.5902,27.67,,91.8773
1989-03-15,,0.8053,,0.6117,1.719,,1.1949,3.7314,7.305,7.801,15.43,130.6,675.7,2.755,,6.815,6.406,2.55,1.937,1.609,27.49,,92.3359
1989-03-16,,0.8185,,0.6144,1.7179,,1.1965,3.7314,7.3075,7.7995,15.49,131.22,675.8,2.7545,,6.82,6.414,2.55,1.938,1.6115,27.34,,92.4833
1989-03-17,,0.8213,,0.6147,1.713,,1.197,3.7314,7.321,7.7985,15.52,131.6,675.9,2.755,,6.815,6.4035,2.55,1.941,1.618,27.38,,92.6449
1989-03-20,,0.8239,,0.6142,1.7103,,1.1946,3.7314,7.3285,7.7955,15.53,131.7,676.0,2.755,,6.823,6.414,2.55,1.9405,1.6155,27.43,,92.6049
1989-03-21,,0.822,,0.615,1.72,,1.1922,3.7314,7.316,7.7945,15.53,131.28,676.1,2.754,,6.81,6.392,2.55,1.941,1.622,27.48,,92.3843
1989-03-22,,0.8208,,0.6148,1.7228,,1.1898,3.7314,7.3,7.793,15.52,131.15,676.0,2.7525,,6.797,6.384,2.55,1.941,1.623,27.56,,92.2717
1989-03-23,,0.8276,,0.619,1.7218,,1.1895,3.7314,7.306,7.7885,15.54,131.2,675.95,2.749,,6.802,6.387,2.55,1.942,1.6255,27.38,,92.2848
1989-03-24,,0.827,,0.6185,1.719,,1.192,3.7314,7.319,7.7885,15.5,131.5,675.4,2.749,,6.8105,6.395,2.55,1.942,1.6285,27.22,,92.4482
1989-03-27,,0.8235,,0.617,1.71,,1.1935,3.7314,7.3485,7.8,15.6,132.7,675.5,2.756,,6.84,6.428,2.58,1.9475,1.6415,27.22,,92.9271
1989-03-28,,0.816,,0.6175,1.688,,1.1949,3.7314,7.41,7.7875,15.66,133.08,675.6,2.761,,6.89,6.47,2.55,1.9525,1.653,27.35,,93.3483
1989-03-29,,0.8173,,0.6157,1.6886,,1.1953,3.7314,7.373,7.79,15.64,132.83,675.7,2.767,,6.868,6.4455,2.56,1.957,1.6445,,,93.2451
1989-03-30,,0.8173,,0.615,1.6875,,1.1945,3.7314,7.3855,7.7875,15.64,132.95,675.8,2.762,,6.8705,6.462,2.56,1.96,1.6585,,,93.3626
1989-03-31,,0.819,,0.6141,1.6852,,1.1936,3.7314,7.38,7.788,15.63,132.77,674.6,2.754,,6.89,6.443,2.56,1.962,1.6625,27.46,,93.296
1989-04-03,,0.825,,0.6142,1.686,,1.1899,3.7314,7.33,7.788,15.62,132.05,673.7,2.747,,6.83,6.4,2.56,1.9615,1.6495,27.33,,92.8326
1989-04-04,,0.8221,,0.616,1.7068,,1.1875,3.7314,7.2875,7.786,15.58,130.9,672.5,2.749,,6.795,6.375,2.55,1.9505,1.6322,,,92.2403
1989-04-05,,0.7982,,0.6112,1.6997,,1.1899,3.7314,7.286,7.786,15.64,131.8,,2.754,,6.805,6.365,2.55,1.952,1.642,,,92.6131
1989-04-06,,0.8068,,0.606,1.704,,1.1941,3.7314,7.265,7.785,15.64,131.93,671.3,2.751,,6.795,6.369,2.55,1.949,1.6395,27.145,,92.6295
1989-04-07,,0.8057,,0.6095,1.697,,1.193,3.7314,7.2915,7.782,15.67,132.45,670.4,2.749,,6.8295,6.405,2.55,1.949,1.649,27.13,,92.879
1989-04-10,,0.8068,,0.6077,1.6975,,1.1902,3.7314,7.315,7.787,15.71,132.63,670.1,2.7495,,6.83,6.406,2.56,1.957,1.6563,27.1415,,92.9183
1989-04-11,,0.807,,0.6077,1.689,,1.1895,3.7314,7.341,7.7835,15.69,132.75,670.2,2.746,,6.85,6.42,2.56,1.958,1.665,27.1245,,93.0838
1989-04-12,,0.8071,,0.6095,1.6905,,1.189,3.7314,7.339,7.782,15.74,132.98,670.2,2.744,,6.8415,6.4165,2.56,1.9595,1.6675,27.1125,,93.1169
1989-04-13,,0.8065,,0.6095,1.6975,,1.1883,3.7314,7.3,7.781,15.71,132.2,670.3,2.73,,6.8125,6.385,2.55,1.951,1.647,27.107,,92.7121
1989-04-14,,0.8094,,0.6105,1.6988,,1.1876,3.7314,7.282,7.781,15.69,132.15,670.0,2.73,,6.805,6.378,2.55,1.9555,1.65,27.0875,,92.6299
1989-04-17,,0.8128,,0.6125,1.716,,1.1853,3.7314,7.235,7.781,15.71,131.95,670.1,2.723,,6.758,6.332,2.56,1.9435,1.6363,27.11,,92.2161
1989-04-18,,0.8001,,0.6123,1.718,,1.1847,3.7314,7.218,7.7815,15.7,131.52,669.6,2.711,,6.745,6.326,2.53,1.946,1.6285,27.15,,92.0779
1989-04-19,,0.8001,,0.611,1.71,,1.187,3.7314,7.252,7.782,15.72,132.34,669.3,2.711,,6.767,6.345,2.54,1.947,1.636,27.1125,,92.4629
1989-04-20,,0.802,,0.6122,1.717,,1.1845,3.7314,7.197,7.7825,15.72,131.35,669.4,2.701,,6.725,6.3105,2.52,1.941,1.6277,27.1025,,91.9456
1989-04-21,,0.795,,0.613,1.714,,1.1865,3.7314,7.215,7.782,15.7,131.45,668.9,2.687,,6.733,6.31,2.54,1.9395,1.633,27.08,,92.1
1989-04-24,,0.7913,,0.6133,1.7049,,1.189,3.7314,7.2515,7.783,15.76,131.6,668.6,2.677,,6.763,6.3365,2.54,1.9395,1.643,,,92.4134
1989-04-25,,0.7921,,0.6125,1.701,,1.189,3.7314,7.2645,7.781,15.8,131.39,668.7,2.687,,6.781,6.356,2.54,1.945,1.6442,26.94,,92.4448
1989-04-26,,0.7936,,0.615,1.6885,,1.1902,3.7314,7.311,7.7795,15.86,132.25,668.8,2.6875,,6.818,6.383,2.55,1.947,1.6582,26.79,,92.9162
1989-04-27,,0.7945,,0.6147,1.6905,,1.1935,3.7314,7.303,7.782,15.84,132.19,668.9,2.692,,6.814,6.372,2.56,1.9515,1.6588,26.55,,92.9271
1989-04-28,,0.794,,0.6152,1.689,,1.1865,3.7314,7.3215,7.78,15.86,132.85,668.9,2.6955,,6.831,6.388,2.56,1.9515,1.6735,25.95,,92.9974
1989-05-01,,0.792,,0.615,1.68,,1.1867,3.7314,7.365,7.78,15.86,134.07,669.0,2.6955,,6.863,6.42,2.57,1.9515,1.6895,,,93.4713
1989-05-02,,0.7935,,0.6163,1.685,,1.1839,3.7314,7.35,7.782,15.92,133.81,669.1,2.7,,6.851,6.411,2.57,1.955,1.678,25.82,,93.2528
1989-05-03,,0.7962,,0.6195,1.683,,1.1836,3.7314,7.357,7.783,15.94,134.2,669.1,2.6955,,6.86,6.42,2.58,1.953,1.6835,25.8,,93.3818
1989-05-04,,0.8003,,0.6205,1.6833,,1.1842,3.7314,7.3635,7.781,15.93,133.95,669.1,2.696,,6.865,6.423,2.58,1.952,1.6865,25.4,,93.354
1989-05-05,,0.799,,0.6265,1.6732,,1.1838,3.7314,7.396,7.781,16.02,134.33,669.1,2.6975,,6.8865,6.446,2.57,1.951,1.6988,25.405,,93.612
1989-05-08,,0.7995,,0.6255,1.6692,,1.1858,3.7314,7.426,7.781,16.02,134.8,669.1,2.699,,6.88,6.455,2.59,1.951,1.705,25.88,,93.8811
1989-05-09,,0.7952,,0.621,1.6605,,1.1877,3.7314,7.46,7.7815,16.05,134.83,669.1,2.703,,6.9225,6.4895,2.62,1.9575,1.7042,25.875,,94.1177
1989-05-10,,0.7927,,0.6203,1.6715,,1.185,3.7314,7.4175,7.78,16.05,134.43,669.1,2.6965,,6.89,6.451,2.61,1.9545,1.693,25.75,,93.7563
1989-05-11,,0.7921,,0.6203,1.667,,1.1867,3.7314,7.452,7.779,16.09,135.3,669.1,2.6845,,6.9285,6.48,2.61,1.958,1.7055,25.65,,94.1487
1989-05-12,,0.7825,,0.619,1.6593,,1.187,3.7314,7.462,7.777,16.04,135.95,,2.693,,6.935,6.49,2.62,1.953,1.72,25.67,,94.4577
1989-05-15,,0.7781,,0.6085,1.6394,,1.191,3.7314,7.563,7.776,16.06,137.24,669.2,2.693,,7.0145,6.55,2.67,1.962,1.738,25.825,,95.2795
1989-05-16,,0.7714,,0.6072,1.6393,,1.1893,3.7314,7.5725,7.7755,16.05,137.3,669.3,2.6925,,7.028,6.57,2.66,1.964,1.736,25.75,,95.306
1989-05-17,,0.7586,,0.601,1.6125,,1.1925,3.7314,7.6875,7.775,16.09,139.25,669.2,2.69,,7.11,6.654,2.7,1.97,1.7645,25.73,,96.4552
1989-05-18,,0.7595,,0.5995,1.6175,,1.1928,3.7314,7.67,7.782,16.12,138.65,669.3,2.688,,7.125,6.653,2.7,1.965,1.756,25.765,,96.2072
1989-05-19,,0.7628,,0.6025,1.619,,1.1911,3.7314,7.677,7.788,16.12,138.8,669.4,2.688,,7.11,6.6475,2.71,1.964,1.7583,,,96.2254
1989-05-22,,0.7435,,0.593,1.5806,,1.1958,3.7314,7.835,7.78,16.28,142.05,669.4,2.7035,,7.225,6.762,2.78,1.968,1.7923,25.9,,97.8806
1989-05-23,,0.7475,,0.5948,1.5678,,1.198,3.7314,7.831,7.776,16.24,142.0,669.5,2.689,,7.2325,6.751,2.77,1.9545,1.7883,25.985,,97.9568
1989-05-24,,0.747,,0.593,1.5695,,1.2005,3.7314,7.846,7.785,16.31,142.8,669.5,2.697,,7.241,6.7595,2.79,1.956,1.786,25.925,,98.2134
1989-05-25,,0.7565,,0.5935,1.5803,,1.208,3.7314,7.776,7.782,16.26,142.0,669.5,2.696,,7.1935,6.712,2.78,1.956,1.7562,25.92,,97.8019
1989-05-26,,0.752,,0.593,1.588,,1.2055,3.7314,7.757,7.781,16.18,141.43,669.4,2.691,,7.177,6.697,2.74,1.9535,1.737,25.9315,,97.5118
1989-05-29,,,,,,,,,,,,,,,,,,,,,,,
1989-05-30,,0.747,,0.5835,1.558,,1.2102,3.7314,7.839,7.777,16.33,143.48,669.3,2.716,,7.249,6.7585,2.79,1.96,1.7555,,,98.5723
1989-05-31,,0.7522,,0.5845,1.5715,,1.2062,3.7314,7.701,7.776,16.28,142.33,669.4,2.724,,7.154,6.664,2.74,1.955,1.706,26.0,,97.583
1989-06-01,,0.753,,0.5847,1.573,,1.207,3.7314,7.734,7.775,16.32,142.73,669.3,2.722,,7.177,6.685,2.77,1.9535,1.705,25.99,,97.7844
1989-06-02,,0.7585,,0.5825,1.592,,1.2066,3.7314,7.636,7.775,16.28,141.75,669.3,2.703,,7.109,6.624,2.73,1.9525,1.685,25.98,,97.0452
1989-06-05,,0.756,,0.5838,1.5807,,1.2005,3.7314,7.66,7.8025,16.29,141.82,669.2,2.697,,7.125,6.6405,2.74,1.949,1.695,25.97,,97.1046
1989-06-06,,0.7528,,0.5775,1.571,,1.2018,3.7314,7.7105,7.801,16.35,142.95,,2.706,,7.169,6.671,2.77,1.953,1.7135,26.051,,97.7326
1989-06-07,,0.7574,,0.5715,1.5815,,1.1973,3.7314,7.6575,7.806,16.29,142.5,669.3,2.702,,7.1305,6.639,2.75,1.943,1.699,26.08,,97.2111
1989-06-08,,0.7518,,0.5707,1.573,,1.1976,3.7314,7.7085,7.797,16.34,143.4,669.2,2.701,,7.1735,6.6735,2.77,1.948,1.713,,,97.7139
1989-06-09,,0.745,,0.5675,1.554,,1.2,3.7314,7.8175,7.798,16.42,146.15,669.2,2.708,,7.2465,6.752,2.79,1.953,1.74,,,98.8312
1989-06-12,,0.7395,,0.557,1.5251,,1.2027,3.7314,7.886,7.791,16.49,148.8,669.3,2.7225,,7.326,6.8125,2.83,1.964,1.7555,,,99.9322
1989-06-13,,0.7423,,0.5607,1.5155,,1.201,3.7314,7.9015,7.789,16.5,149.2,669.6,2.717,,7.326,6.8145,2.84,1.965,1.7527,26.1575,,100.0393
1989-06-14,,0.7422,,0.562,1.5145,,1.1992,3.7314,7.89,7.782,16.49,149.05,669.5,2.723,,7.325,6.815,2.84,1.969,1.7525,26.18,,100.0139
1989-06-15,,0.748,,0.559,1.5195,,1.1993,3.7314,7.878,7.792,16.51,149.62,669.8,2.725,,7.3145,6.8165,2.85,1.97,1.7492,26.2075,,100.0196
1989-06-16,,0.7527,,0.5689,1.534,,1.1975,3.7314,7.762,7.7895,16.43,145.55,669.7,2.713,,7.23,6.722,2.8,1.963,1.721,26.09,,98.567
1989-06-19,,0.754,,0.569,1.548,,1.199,3.7314,7.695,7.789,16.42,144.45,669.6,2.7135,,7.1725,6.68,2.79,1.963,1.7055,26.015,,97.987
1989-06-20,,0.7573,,0.572,1.5495,,1.1994,3.7314,7.7155,7.8,16.42,144.07,669.5,2.7085,,7.1915,6.6905,2.78,1.96,1.74,26.0,,97.9989
1989-06-21,,0.769,,0.5757,1.547,,1.197,3.7314,7.652,7.7985,16.47,143.85,669.4,2.715,,7.145,6.652,2.78,1.961,1.703,26.05,,97.6901
1989-06-22,,0.776,,0.5865,1.553,,1.1923,3.7314,7.635,7.796,16.43,141.07,669.3,2.702,,7.143,6.638,2.75,1.955,1.6852,25.9325,,96.8191
1989-06-23,,0.772,,0.5867,1.567,,1.1913,3.7318,7.5495,7.796,16.46,138.5,669.2,2.701,,7.073,6.575,2.75,1.954,1.665,25.95,,95.9026
1989-06-26,,0.772,,0.5835,1.5448,,1.194,3.7314,7.628,7.794,16.49,140.82,669.1,2.701,,7.154,6.6405,2.77,1.954,1.6845,26.05,,96.8385
1989-06-27,,0.7651,,0.5795,1.566,,1.1942,3.7314,7.6065,7.795,16.44,141.1,669.4,2.703,,7.12,6.622,2.77,1.9555,1.6855,25.95,,96.7512
1989-06-28,,0.7573,,0.5748,1.5555,,1.1967,3.7314,7.647,7.7955,16.47,142.8,669.5,2.704,,7.15,6.652,2.79,1.959,1.689,25.95,,97.3646
1989-06-29,,0.7558,,0.576,1.552,,1.1953,3.7314,7.6115,7.795,16.43,143.4,669.8,2.7,,7.136,6.645,2.77,1.9595,1.677,25.93,,97.3426
1989-06-30,,0.7557,,0.5733,1.549,,1.1985,3.7314,7.609,7.798,16.49,144.0,669.9,2.702,,7.1375,6.657,2.78,1.955,1.679,25.9,,97.5504
1989-07-03,,0.7655,,0.572,1.5774,,1.1948,3.7314,7.529,7.799,16.36,141.25,669.9,2.699,,7.0725,6.575,2.75,1.962,1.654,25.93,,96.3068
1989-07-04,,,,,,,,,,,,,,,,,,,,,,,
1989-07-05,,0.7696,,0.5785,1.619,,1.1915,3.7314,7.367,7.7975,16.29,138.9,669.8,2.691,,6.951,6.472,2.7,1.963,1.6205,25.95,,94.8721
1989-07-06,,0.765,,0.5775,1.6215,,1.1919,3.7314,7.348,7.7985,16.3,139.4,669.7,2.6855,,6.9395,6.46,2.69,1.962,1.6225,25.84,,94.9649
1989-07-07,,0.7663,,0.573,1.6235,,1.191,3.7314,7.327,7.7975,16.24,139.8,669.6,2.685,,6.9345,6.454,2.69,1.956,1.62,25.7,,94.9374
1989-07-10,,0.7643,,0.5755,1.6405,,1.1886,3.7314,7.23,7.7985,16.32,139.0,669.7,2.682,,6.869,6.398,2.66,1.958,1.596,25.78,,94.2212
1989-07-11,,0.7584,,0.5748,1.6265,,1.1903,3.7314,7.308,7.802,16.33,140.3,669.6,2.685,,6.933,6.459,2.69,1.961,1.617,25.88,,94.955
1989-07-12,,0.7611,,0.5747,1.625,,1.1901,3.7314,7.294,7.8065,16.39,139.85,669.9,2.6865,,6.925,6.445,2.68,1.957,1.6145,25.8775,,94.7911
1989-07-13,,0.7552,,0.567,1.6235,,1.193,3.7314,7.325,7.805,16.38,139.45,669.8,2.683,,6.94,6.448,2.68,1.9545,1.6195,25.84,,94.8983
1989-07-14,,0.7557,,0.5704,1.6125,,1.1918,3.7314,7.4095,7.8055,16.38,140.5,669.7,2.6855,,6.9945,6.502,2.7,1.9575,1.6465,25.84,,95.5097
1989-07-17,,0.757,,0.5695,1.6138,,1.191,3.7314,7.4125,7.806,16.5,141.55,670.0,2.687,,6.9975,6.5065,2.72,1.963,1.6475,,,95.7404
1989-07-18,,0.756,,0.5702,1.625,,1.1911,3.7314,7.347,7.8045,16.44,141.3,670.3,2.685,,6.962,6.471,2.69,1.959,1.641,25.84,,95.3893
1989-07-19,,0.747,,0.5653,1.619,,1.1892,3.7314,7.39,7.804,16.49,141.95,670.4,2.682,,6.977,6.4925,2.7,1.961,1.6468,25.8075,,95.6888
1989-07-20,,0.7503,,0.5743,1.6265,,1.1876,3.7314,7.39,7.808,16.49,141.45,670.3,2.681,,6.969,6.4865,2.72,1.96,1.6415,25.81,,95.4826
1989-07-21,,0.7493,,0.574,1.62,,1.188,3.7314,7.411,7.8075,16.52,141.92,670.2,2.681,,6.983,6.5,2.71,1.9575,1.6457,,,95.697
1989-07-24,,0.7465,,0.5773,1.6173,,1.1888,3.7314,7.418,7.807,16.57,143.18,670.1,2.682,,7.004,6.51,2.71,1.963,1.645,25.855,,96.0245
1989-07-25,,0.7487,,0.578,1.6258,,1.188,3.7314,7.37,7.807,16.55,142.55,670.3,2.68,,6.965,6.481,2.69,1.959,1.6315,25.785,,95.5987
1989-07-26,,0.7546,,0.584,1.6495,,1.187,3.7314,7.2965,7.807,16.47,140.65,667.2,2.6705,,6.8945,6.424,2.67,1.959,1.613,25.75,,94.7096
1989-07-27,,0.7567,,0.5849,1.6598,,1.1832,3.7314,7.275,7.806,16.41,138.95,670.1,2.6635,,6.87,6.399,2.66,1.9565,1.608,25.785,,94.1429
1989-07-28,,0.748,,0.581,1.6445,,1.185,3.7314,7.342,7.806,16.45,139.58,670.0,2.663,,6.921,6.438,2.67,1.9575,1.6242,25.77,,94.7057
1989-07-31,,0.7563,,0.5855,1.666,,1.1809,3.7314,7.265,7.807,16.44,136.95,670.1,2.661,,6.855,6.384,2.65,1.951,1.6065,25.655,,93.6028
1989-08-01,,0.7611,,0.589,1.6545,,1.1747,3.7314,7.254,7.807,16.46,136.82,670.0,2.664,,6.855,6.384,2.65,1.951,1.6075,25.7,,93.4965
