date,Buybacks,Dividends
2017-04-01,1.27134388959147,4.098156440241225
2017-07-01,2.3250770149896445,3.610103188533558
2017-10-01,1.4315453423172069,4.034188999918551
2018-01-01,2.221564909219067,-0.6615079784576895
2018-04-01,4.468937042245747,1.2321562815097795
2018-07-01,1.2896364345323008,3.213628909072814
2018-10-01,4.16654336696949,1.6355157053058993
2019-01-01,2.8961139847287747,3.03962750336308
2019-04-01,0.14401387647725683,2.858177269230334
2019-07-01,1.784504989162723,3.040409821334464
2019-10-01,1.511004974783225,3.4539985630014964
2020-01-01,1.366461188152961,3.2426505996481807
2020-04-01,0.13963069997337407,4.0336096853423475
2020-07-01,-0.3969277482388268,4.070709142190678
2020-10-01,0.18179538530630188,4.25576562569173
2021-01-01,-0.9045587343274928,4.643088719572978
2021-04-01,0.17491652674043462,4.953318007240489
