,2005Q1,2005Q2,2005Q3,2005Q4,2006Q1,2006Q2,2006Q3,2006Q4,2007Q1,2007Q2,2007Q3,2007Q4,2008Q1,2008Q2,2008Q3,2008Q4,2009Q1,2009Q2,2009Q3,2009Q4,2010Q1,2010Q2,2010Q3,2010Q4,2011Q1,2011Q2,2011Q3,2011Q4,2012Q1,2012Q2,2012Q3,2012Q4,2013Q1,2013Q2,2013Q3,2013Q4,2014Q1,2014Q2,2014Q3,2014Q4,2015Q1,2015Q2,2015Q3,2015Q4,2016Q1,2016Q2,2016Q3,2016Q4,2017Q1,2017Q2,2017Q3,2017Q4,2018Q1,2018Q2,2018Q3,2018Q4,2019Q1,2019Q2,2019Q3,2019Q4,2020Q1,2020Q2,2020Q3,2020Q4,2021Q1,2021Q2,2021Q3,2021Q4,2022Q1,2022Q2,2022Q3,2022Q4,2023Q1
  Construction,794305,787879,782435,776930,792196,778045,764338,744000,748872,759688,750870,726452,691857,683905,676657,641108,587939,576785,583177,559781,544603,554387,549209,545147,533177,541496,542284,542828,555558,552739,550236,561235,565408,565147,573033,569465,570269,578982,578949,588116,593533,605181,609054,612595,625575,622595,627767,636674,648034,644920,647257,660209,666902,661907,665808,664227,673838,674121,676519,672740,665925,611491,649970,666019,675597,682357,661019,638050,635481,602423,573533,568360,570142
  Manufacturing,1865614,1870296,1887031,1929284,1990206,1988388,1986666,2021877,2007889,2046563,2083128,2121086,2050529,2091466,2037992,1908602,1800841,1805407,1827791,1893531,1913980,1925917,1947392,1957588,1942130,1955730,1932515,1954666,1965849,1949346,1917095,1906339,1971479,1978076,2005935,2011062,1982854,2023018,2044377,2044473,2059912,2050316,2049059,2025707,2035148,2037470,2049310,2039076,2060763,2097638,2111084,2157090,2171349,2187232,2199614,2223159,2199633,2224281,2254384,2245156,2194313,1943233,2188490,2191817,2239758,2274118,2248638,2324496,2306446,2255971,2258621,2283424,2252275
    Durable goods,865602,870395,887417,918085,947453,951927,950776,965743,965657,989784,1018588,1022667,1015648,1026715,1020601,955058,866113,841922,846545,878331,906900,956241,993576,1018673,1020675,1029378,1033895,1058554,1063199,1066810,1061707,1069132,1088103,1082394,1093302,1097509,1081116,1099341,1125194,1121455,1125215,1123223,1126739,1120837,1124960,1118920,1128944,1131191,1144166,1157353,1178018,1205895,1218805,1222043,1228008,1239736,1238064,1239044,1237968,1231524,1210709,1054816,1220893,1235539,1276358,1302520,1276806,1324485,1328383,1314418,1312757,1336841,1316261
      Wood products,26022,26318,26564,26664,26252,25090,26091,26303,26982,27245,27122,27022,26859,25641,25128,23646,21157,21752,21438,21727,22197,21676,23455,24428,24385,25484,26143,25738,25866,25659,25622,26125,25989,25906,27094,26910,24704,24598,23824,23847,25209,25908,27438,27500,28226,27899,28087,28767,29570,28973,28532,28598,28501,26727,27460,28152,28032,28008,28831,29028,29766,27376,31145,30045,31332,29213,29033,28339,26753,26262,28176,29468,29124
      Nonmetallic mineral products,53332,52974,52831,53349,52233,49835,48354,48606,46824,48803,52846,50556,47486,48018,48137,43750,38550,37086,37851,37876,38122,39051,39128,38597,39272,40211,40721,41998,41970,42647,42885,43350,44610,44802,45824,45667,45055,45801,46170,46314,46382,45668,46862,46620,46100,45886,45844,46401,47814,48935,49501,50427,48719,48972,49155,49325,49116,49311,50026,49265,47566,45848,49630,50260,50219,49779,48662,50720,49312,49402,47321,46816,44955
      Primary metals,53576,55462,60069,58904,57371,54020,48153,48086,50790,45294,49734,58268,62177,52287,47971,51686,52264,52521,47956,46907,47492,46476,54369,55155,51446,53686,57093,63871,61574,62870,67119,71484,68429,69906,70332,69730,68237,69643,68480,66268,69514,73903,75577,79907,83993,80126,76325,76652,71566,68959,68111,72194,75470,70826,67377,68110,69447,72519,81372,85514,90471,76648,88248,85968,82500,77821,75814,68357,73569,74483,80742,90394,93587
      Fabricated metal products,148912,146834,144976,148932,151522,153285,154276,155102,156010,162879,161670,157699,153075,158527,156187,137182,115012,109616,113777,118452,119083,127127,126967,129377,132496,134522,133751,133719,139916,137944,136698,137378,137972,135998,136262,138075,136579,138067,141639,141599,139055,135849,133712,130297,129480,129920,131809,132908,135325,137635,139364,140684,141574,141722,141454,141685,142021,141937,141497,139127,136203,114702,126193,132029,139625,136400,135402,146164,143328,138728,137526,140581,139787
      Machinery,130111,127178,129124,131852,134855,138159,139443,140645,138773,145100,147476,144467,144929,149907,151712,140218,123635,115150,114009,119420,121527,131810,135485,140283,147034,151011,152043,155312,156771,154754,151431,148986,152283,150906,151496,153542,148015,151946,153447,147930,143261,135854,132601,127987,125055,123390,123971,123860,128335,132525,137368,138943,142551,142374,142414,141796,142608,141715,140593,137904,133853,119769,131048,135378,143263,149145,143117,154646,153401,148423,148102,151244,143003
      Computer and electronic products,115464,117719,123946,129715,143824,143882,146355,151154,153979,161564,173664,183633,188171,195708,200979,199071,195162,195790,200629,209908,216369,223120,229489,239376,230614,231960,232290,235892,238689,240069,242322,243972,250303,246699,248359,248414,252296,256069,266241,270248,277865,281916,282587,286833,289074,288162,291335,295607,295892,297796,307909,321828,326241,336480,340227,344116,343107,343344,337684,346760,348208,335585,357060,360929,371374,380617,363743,367074,366228,360203,358085,354382,354097
"      Electrical equipment, appliances, and components",51880,51027,52587,55275,59400,62096,61483,60796,57328,58045,56155,56924,58651,62770,64651,59407,53004,50616,50124,50702,51524,53448,52621,53535,52231,51421,51001,49479,50388,52046,52161,54013,57410,57004,57617,57370,52758,52364,53968,55305,59807,62406,62502,61045,57608,56842,56614,55760,57945,59439,59685,61347,62572,62316,61127,60447,58536,58223,58614,58098,58113,52258,54477,56389,62362,63561,62720,62579,60451,58320,54741,54143,53611
"      Motor vehicles, bodies and trailers, and parts",118954,118865,119378,127454,130575,134418,133797,137303,132612,130253,128130,120534,112959,110758,99355,75249,47303,39389,40049,46297,64344,83396,96665,104165,110607,107557,106920,116685,115010,118506,113635,115912,118074,120607,122369,121559,119465,125062,129416,127405,122492,123514,124117,123246,127091,127095,131680,129818,131509,133894,134541,136415,137745,138590,139968,141558,140835,141456,140703,138994,129800,75621,151982,153830,160699,168098,165153,187771,200023,210922,205199,209376,206232
      Other transportation equipment,97236,102053,102531,107656,104778,104535,106705,111739,115643,125640,131953,127545,125183,126305,126009,120210,119539,121393,119580,123857,120604,122403,127644,127101,128027,128962,129542,131744,129583,127126,125720,125172,128797,129354,130971,132604,130061,130663,135745,137222,139572,138867,140901,137614,138406,136558,137475,135741,137387,138992,142240,143584,143151,142292,145633,151819,153871,152313,150843,145024,144846,121889,133312,129136,128863,146561,148190,149246,152345,151676,157251,168469,164676
      Furniture and related products,38852,38813,38774,39923,40642,40533,39610,38578,37460,36607,36174,34629,32458,32066,31292,28087,23544,22193,22080,22178,22269,23162,22582,22478,22859,23175,23107,22602,22543,22330,22395,22428,23374,23633,24175,24696,24683,25053,25747,26389,26911,27159,27728,27448,27800,27610,27669,27736,27584,27189,27225,28138,28577,28986,29297,28850,28500,28039,27318,26697,26450,24024,26446,27911,27107,28188,28497,28410,28051,26911,24449,22851,21738
      Miscellaneous manufacturing,67858,67830,68381,69615,71560,73546,74110,73896,73026,74266,74697,76052,75296,78404,81954,81775,79861,80025,81351,82805,83984,85156,84760,83410,82499,82222,81819,81666,81041,82732,81506,80493,80992,78001,79105,79066,80058,80777,81571,80332,77636,76179,76997,79154,80352,82495,83600,84048,84877,85501,86541,88739,89869,90041,90864,90907,88872,89516,88608,87109,81147,79416,87525,89584,94149,91032,92857,102202,101125,99610,99580,97832,97588
    Nondurable goods,1030029,1028516,1023682,1030776,1062911,1054417,1054017,1075388,1058608,1071371,1075414,1114670,1041488,1074275,1021508,957612,947144,982861,1002380,1036567,1023760,977575,957534,940415,922452,927590,899368,896533,902924,882379,855182,837306,883248,895690,912827,913705,901880,923921,919113,923026,934885,927060,922191,904671,909992,918643,920139,907132,915905,939945,932389,950535,951961,964550,970924,982687,960647,984339,1015952,1013283,983035,889247,966455,954943,962742,971706,971636,1000198,979514,944866,948735,950674,939728
      Food and beverage and tobacco products,222702,223008,227997,236159,244279,251970,256358,260398,247571,256844,263133,255697,235435,242322,243121,248458,252507,250894,240665,244193,241581,231278,234105,229148,227911,234370,223816,222326,219828,220783,225565,214049,221633,229319,225255,222517,225809,224955,223959,226866,230274,236594,238742,233214,229002,227086,228976,227477,235102,237204,239033,239257,242098,238143,242593,245632,245806,251719,262046,258001,259707,226027,267288,263815,274039,259947,277461,288138,289610,278720,281482,290944,283262
      Textile mills and textile product mills,25376,24766,25194,25355,24635,24463,23971,23184,23493,23318,22666,22640,22111,22126,21926,19815,16707,16454,16460,17010,16618,17054,16686,16178,15138,14562,14579,14682,15495,15950,15981,16442,16671,16689,17005,17312,17334,17873,17927,17610,17550,17211,17139,17213,17441,17575,17697,17711,17655,17210,17019,17010,16409,16075,16096,16016,15942,15956,15994,15780,15696,13209,15501,16252,16219,16264,16032,15938,16161,15582,15315,14874,14623
      Apparel and leather and allied products,13735,13549,13591,13645,13303,13005,12861,12703,12431,11966,11801,11754,11958,12193,11806,11338,9642,9489,9504,9836,10137,10528,10909,10822,10733,10528,10284,10329,10115,10122,9858,9933,10171,10029,9926,9956,9926,9598,9455,9341,9069,8902,9031,8888,8803,8756,8667,8726,8615,8498,8411,8437,8304,8237,8255,8166,8127,8072,8069,7923,7581,5122,5942,6308,7004,7766,8113,8314,8057,7976,8043,8158,8199
      Paper products,62351,62318,64674,69860,70527,69518,67959,67766,62547,62799,67487,66183,57861,59410,59319,54629,55827,59808,62840,63564,61683,56583,52910,52188,53363,54038,53685,53948,53141,53540,53337,52602,53962,53882,53337,52729,53515,53418,54241,54184,54386,54372,54888,54687,54704,54257,52965,51582,49685,48820,47760,49602,51874,51741,51056,52051,51580,52320,54634,54339,55457,54466,57851,59901,57322,56684,57225,55031,55319,51242,46424,44687,45417
      Printing and related support activities,41368,41035,41707,41464,42075,42615,42140,42432,43224,43149,43347,44217,43627,43285,43508,41271,37774,36764,36549,36683,36776,37432,37792,38239,38604,38657,38652,38433,37804,38203,38710,39046,39556,39397,38936,38505,38547,39229,38980,38145,37260,37448,37613,38047,38180,38118,38198,38256,37743,37273,37809,38099,38866,38876,38647,38564,37537,37458,37744,37433,35932,29310,31172,32322,33293,33840,33619,34266,32775,31589,31142,30553,29140
      Petroleum and coal products,312501,312991,266731,263267,282056,240101,223471,254328,243866,236056,233836,300270,282172,288823,251933,265008,201707,249040,262407,298866,255943,223006,194847,178354,176416,175881,175491,175201,193036,171435,140037,132045,154367,168880,197501,185539,171727,201411,200106,211136,226980,209430,186986,170555,161896,178696,173826,168414,171513,222527,205600,221899,215486,236328,232203,232749,205067,219752,233540,243515,197898,132164,134039,120689,138404,165782,142732,140590,133768,133098,143523,132874,125052
      Chemical products,310383,310978,327084,325449,338575,354751,366462,363192,370018,377898,374604,372317,349179,369408,347273,287562,312735,318114,334299,340582,354089,343845,345062,347145,333823,332924,317803,315778,307806,304439,303427,304220,315446,309322,309154,322973,318804,316556,311615,304814,302802,297007,302997,303866,315766,316528,317822,310466,311792,308624,311167,314473,314012,314653,316483,322134,322356,327773,337404,338203,336001,333945,339060,334067,324790,333415,332427,348599,339103,323964,321628,332979,338471
      Plastics and rubber products,80765,78822,79373,76596,73763,73738,74426,72515,74401,76945,75215,72364,66842,66491,65842,59905,58637,62246,66257,68030,68660,68413,66756,67088,66143,67321,65754,66394,67398,67319,67491,68640,69581,67366,66750,65859,65678,65285,68063,69719,71149,73778,75797,75341,75170,75122,75129,75716,76390,75729,74877,76569,77715,77897,80497,79969,76930,78108,78623,78274,76520,66767,75393,77097,79253,75179,74909,77490,74564,72509,67973,65954,66904
  Wholesale trade,938709,945691,953394,973709,979111,977540,981612,988794,988554,1017312,1018182,1033386,1033006,1033296,1023884,977020,908951,874981,874701,910971,905570,938399,967568,968298,964727,954544,950533,996826,981422,1006179,1010850,1002698,1014161,1009410,1024154,1036337,1025274,1046960,1082681,1087582,1100186,1111549,1112459,1099205,1082761,1088812,1100806,1095214,1095124,1090913,1095154,1102456,1110599,1100556,1111229,1106798,1113369,1091423,1099986,1104287,1121182,1024374,1129194,1133795,1157032,1172616,1152481,1171096,1171726,1151340,1168415,1177668,1172626
  Retail trade,957190,982397,1004838,979166,991570,999487,976864,988066,973661,948381,950974,955725,939690,932592,919743,893699,882988,878638,870075,892197,888075,902935,905438,908022,906730,902953,895082,908241,914201,895764,916485,913573,941765,934813,934176,940136,943867,956844,963769,955943,971686,989049,999541,1002699,1018633,1019780,1031665,1040191,1042348,1050984,1073934,1075727,1092162,1086793,1104756,1090051,1106804,1109843,1125677,1124940,1105020,1006021,1115158,1112910,1156954,1119617,1078767,1097276,1054315,1057946,1075536,1096785,1123839
    Motor vehicle and parts dealers,177621,177048,184009,179529,177306,172431,174195,175009,176661,177561,178296,172978,166442,163781,157869,148236,137252,134510,123331,137323,140032,145630,147592,150393,147155,147299,147500,152737,159749,158945,162238,163899,172534,175288,177503,180450,179874,187633,190859,192608,195574,198969,206751,210539,219477,224763,228738,231996,234022,239365,242234,246363,246687,243419,247054,250092,256372,258123,260538,258286,244935,221482,229966,226858,244000,217081,186327,182349,180585,179192,173937,184004,202882
    Food and beverage stores,156623,158002,157032,152720,155116,156928,155255,155085,151492,147500,148691,147929,146221,144013,143229,143183,138440,137527,142157,149528,146471,151770,150045,145410,139589,141415,137067,137648,132068,130619,132975,132435,131847,134880,131085,134111,134771,128393,130532,129591,129621,128260,128842,124748,123978,123427,124224,125576,125792,127135,128161,129475,126554,124273,125660,125156,125478,125381,129472,128717,131023,131979,136092,134847,137330,141214,140433,142178,137611,132325,132283,127378,126346
    General merchandise stores,140688,154466,156535,149798,151863,151359,151142,159929,157116,147294,145768,153737,152633,149100,152679,147672,161712,161419,159406,160992,151878,149763,142829,139260,147064,145881,147952,151212,142915,131691,129580,129586,135861,135266,136571,135190,135128,143629,146083,135459,138674,142418,153586,151956,146719,142589,149364,150368,149484,148969,156007,153123,155357,156932,161092,161982,153319,154039,157826,158642,158628,153079,177693,172926,175870,173106,175849,169629,167725,163911,155173,155169,152388
    Other retail,483234,494254,508029,497565,507734,519242,497236,499774,489991,476956,478991,482340,475709,476671,467545,456134,448526,448082,447946,447531,451649,457652,466274,473780,473795,469247,463519,467657,479595,474414,491683,487633,501562,489571,489324,490721,494361,498131,497439,499208,508803,520673,512969,518653,532176,533312,534361,537483,538450,541374,553660,553153,570142,568827,577890,560997,579432,580461,585778,587257,576261,503210,576106,581728,603255,591046,582747,609563,573825,588451,622361,638210,647949
  Transportation and warehousing,429303,437160,461355,468109,468247,479838,478730,475990,463987,478371,467702,479199,473136,473647,468038,456892,431059,438508,438556,446943,444548,453219,468019,478054,468597,472909,467059,471323,475621,473193,472497,471929,478683,474504,478290,488069,486748,489588,500768,500351,494965,505245,513812,514475,504483,514442,514446,525333,529999,534841,537927,542831,555615,552302,557489,561688,560466,562052,567547,560126,547200,431693,495424,505633,524978,516354,538126,548539,533246,536375,550380,557291,561882
    Air transportation,66533,68777,74786,74553,72556,77827,80993,80141,81082,89668,83135,82736,85099,82943,81605,71540,67151,81433,84543,85221,86473,89449,93336,99885,94638,95876,90850,88728,88957,85222,89137,88900,91071,90582,91060,97056,96236,95549,96593,96006,93988,99462,104377,108917,102840,112569,111084,115345,115076,117235,120315,119687,124493,119228,120785,120836,122505,123205,123940,119046,102512,25714,48465,56244,71724,77761,106093,115189,108209,106083,117018,120741,124218
    Rail transportation,42794,41718,42262,41163,43439,44388,42735,42808,42668,42191,42010,42406,42610,44891,44517,41076,39204,38211,38466,38272,38295,37461,38241,39369,38514,37938,37995,40022,39576,39874,40283,39239,38982,37887,39332,40137,39246,40333,41418,41548,40885,41941,41547,39700,37932,37075,37664,38062,38532,38166,37682,38191,38960,39605,39541,38793,37808,37517,36521,34449,33941,29163,32775,33560,34528,35590,34623,35772,36185,36180,35618,34801,32969
    Water transportation,3978,4150,4746,5989,7159,7263,7787,8241,8959,9572,9401,11053,12566,11765,10761,11939,14306,14966,15046,14800,12451,11955,12058,12069,12117,11727,13134,14575,14088,12375,11979,14217,16088,16537,16792,17015,15700,15126,15076,14489,12844,12666,12442,12045,11756,10728,10684,9885,9421,9074,9200,9427,9633,9782,9373,9147,9376,8774,9476,8686,12046,10612,9134,9870,8522,7444,7284,8874,9762,10009,9290,8233,9535
    Truck transportation,123331,126162,134297,134306,133620,137144,137904,134532,130841,137964,139208,137194,125115,125996,128863,123096,112843,113075,115877,116965,117269,121283,123891,123959,124644,128001,128225,128505,130043,129513,127243,126783,127802,126328,128138,129426,130916,130842,133500,134383,129942,131059,133166,130529,128373,128378,129332,130774,135238,136904,136020,138266,139851,137278,134504,134881,131841,135342,137888,136553,136043,125141,134450,132574,130552,129607,130902,131019,118448,112418,115890,119620,124159
    Transit and ground passenger transportation,31709,32400,31540,32871,33159,34665,32100,34194,33021,34576,32783,36224,34371,35995,33954,35037,31952,33153,30832,34233,32512,32695,33683,34115,33106,34654,34744,36122,36702,36661,36740,35733,36622,36096,36429,36989,37312,38535,40490,39633,39581,39326,38253,38208,37718,37991,38001,38613,39136,39734,41188,40689,40277,41946,44828,46570,51137,48425,49770,49191,47558,31232,35649,37165,34481,37032,41001,43880,46143,47614,49478,51946,55327
    Pipeline transportation,17322,15796,15502,14358,15946,14527,15273,14662,16113,17204,15120,18694,22506,19001,18193,19959,19849,17173,16103,17631,20443,20637,22260,23878,22419,22428,20955,22612,23554,26707,24698,26377,25864,25498,24504,24126,24310,26120,29750,30035,31928,33583,34372,34846,33985,35150,33298,33889,33959,33502,35213,36984,36842,36698,38017,36853,33633,32427,32172,31766,31623,29106,31176,30011,33614,30392,30190,29704,28777,30057,29964,30205,28658
    Other transportation and support activities,119360,121725,129327,132794,129478,130195,126813,126383,116951,112371,111610,115148,115167,115183,112372,114466,106015,101118,98619,100409,98615,100566,103313,102872,100843,99359,97650,97959,96904,95958,94768,92137,93447,92161,92872,92299,91150,91486,92238,91974,92929,93945,94432,93673,93473,94106,94644,97043,97187,96304,96767,98101,101180,102017,103323,105908,106228,106136,105494,105857,106373,100618,116315,115521,119832,109177,105686,105858,109965,116904,117908,123347,125310
    Warehousing and storage,35552,36679,38308,40044,40076,40602,40517,40343,38520,38127,37428,38600,38701,40535,40358,41567,40174,39346,39013,39585,39235,40025,42031,42899,42908,43555,43629,42862,45741,46894,47662,48571,48889,49612,49351,51383,52421,51885,51822,52477,53545,53759,55818,57374,59776,59401,61019,63246,63034,66086,63127,62798,65893,67336,69531,71761,72124,74512,76121,77843,79041,78259,86850,91585,94596,95103,96374,94169,91079,93253,93994,86630,79591
  Information,595225,606177,602997,604957,604103,616955,639264,635282,654053,675805,697077,717068,718128,743251,746783,710912,700502,700524,704193,733214,732688,741543,766079,766987,761137,767063,763623,765172,762044,772394,761160,755241,812871,818927,832725,856826,835501,848139,855522,865079,901528,923822,950464,981201,1007385,1014264,1030350,1036131,1054406,1069568,1096683,1122340,1136122,1171832,1188513,1194378,1208679,1235213,1254662,1268887,1265043,1247981,1322063,1328538,1381554,1459038,1492414,1549716,1540678,1546520,1609459,1634460,1652514
"    Publishing industries, except internet (includes software)",178901,181781,179943,179386,166421,170362,169567,162671,189048,195519,201101,204184,196897,195008,192979,182976,179593,174264,174439,186509,177878,189464,196063,194176,195341,195841,196482,197960,197131,208392,202491,200962,212747,209005,204867,206497,210912,216512,216365,212941,220070,223730,223965,226167,233410,235309,240272,244197,251007,255699,264511,274045,276316,288546,297825,297697,308131,311545,316455,328477,344541,352190,373348,385515,410240,427760,431759,441547,438129,446217,465230,485056,491758
    Motion picture and sound recording industries,57541,54036,54189,56635,58801,61737,64104,65929,65180,70882,75060,76689,72829,76918,77661,76484,82007,83240,84032,86226,93253,91491,92775,92387,85773,88107,87165,86896,84042,81999,81090,84029,82928,84738,86521,84049,84113,84402,85165,85246,89344,90132,92563,93730,98130,93012,94574,93222,97201,93762,94433,96915,93859,93530,90152,86934,86466,89300,89075,88637,87266,67575,79660,79608,81156,88664,98813,111684,103835,108582,108515,103535,105758
    Broadcasting and telecommunications,291725,303830,300579,297779,301097,304671,326394,327083,336462,348027,357429,366246,374073,389253,388594,363904,352436,359827,362601,373313,370446,363796,373458,371317,367694,368093,364090,365632,371675,379148,375726,362832,396559,400208,406660,414938,395494,397735,397664,407435,429157,439695,457411,475600,482019,483069,487601,487467,491763,498469,510262,510921,520032,526164,529355,530551,536419,539573,553171,553368,535648,538124,549928,538221,545519,564892,575884,592866,596679,587210,599029,603076,603783
"    Data processing, internet publishing, and other information services",69185,68517,70255,73099,78430,80925,79018,78915,63861,61696,63851,70395,74423,81832,87265,87288,86366,82876,82859,87038,91158,96932,103859,109123,112322,115050,115916,114705,109190,102850,101848,107428,120574,124998,134891,151719,145187,149679,156640,159973,163559,170905,177463,186925,194852,203960,208875,212156,214949,222328,228173,240416,246353,263614,271172,279453,277744,294513,295987,297994,296222,289476,316907,321745,340076,371954,379862,396781,395969,397365,428815,435037,442992
"  Finance, insurance, real estate, rental, and leasing",2801913,2836779,2860495,2883815,2899077,2879770,2902235,2949436,2981999,2962034,2971770,2958942,2992887,2960553,2887170,2776586,2995650,3065349,3088110,3078703,3102123,3112188,3086334,3117319,3117385,3135870,3157908,3213036,3244218,3284084,3323851,3304839,3240995,3251191,3280696,3316450,3310332,3344211,3353586,3366216,3386116,3404701,3362730,3367861,3368486,3408713,3434205,3449961,3432955,3404141,3427495,3442823,3457296,3480912,3515746,3487721,3537619,3560874,3582879,3622811,3549987,3507391,3596727,3640211,3677544,3718133,3752966,3827139,3816482,3834704,3844736,3808653,3802700
