GeoName,LineCode,2005:Q1,2005:Q2,2005:Q3,2005:Q4,2006:Q1,2006:Q2,2006:Q3,2006:Q4,2007:Q1,2007:Q2,2007:Q3,2007:Q4,2008:Q1,2008:Q2,2008:Q3,2008:Q4,2009:Q1,2009:Q2,2009:Q3,2009:Q4,2010:Q1,2010:Q2,2010:Q3,2010:Q4,2011:Q1,2011:Q2,2011:Q3,2011:Q4,2012:Q1,2012:Q2,2012:Q3,2012:Q4,2013:Q1,2013:Q2,2013:Q3,2013:Q4,2014:Q1,2014:Q2,2014:Q3,2014:Q4,2015:Q1,2015:Q2,2015:Q3,2015:Q4,2016:Q1,2016:Q2,2016:Q3,2016:Q4,2017:Q1,2017:Q2,2017:Q3,2017:Q4,2018:Q1,2018:Q2,2018:Q3,2018:Q4,2019:Q1,2019:Q2,2019:Q3,2019:Q4,2020:Q1,2020:Q2,2020:Q3,2020:Q4,2021:Q1,2021:Q2,2021:Q3,2021:Q4,2022:Q1,2022:Q2,2022:Q3,2022:Q4,2023:Q1,,,,,,
United States,35,957190,982397,1004838,979166,991570,999487,976864,988066,973661,948381,950974,955725,939690,932592,919743,893699,882988,878638,870075,892197,888075,902935,905438,908022,906730,902953,895082,908241,914201,895764,916485,913573,941765,934813,934176,940136,943867,956844,963769,955943,971686,989049,999541,1002699,1018633,1019780,1031665,1040191,1042348,1050984,1073934,1075727,1092162,1086793,1104756,1090051,1106804,1109843,1125677,1124940,1105020,1006021,1115158,1112910,1156954,1119617,1078767,1097276,1054315,1057946,1075536,1096785,1123839,,,,,,
United States,36,429303,437160,461355,468109,468247,479838,478730,475990,463987,478371,467702,479199,473136,473647,468038,456892,431059,438508,438556,446943,444548,453219,468019,478054,468597,472909,467059,471323,475621,473193,472497,471929,478683,474504,478290,488069,486748,489588,500768,500351,494965,505245,513812,514475,504483,514442,514446,525333,529999,534841,537927,542831,555615,552302,557489,561688,560466,562052,567547,560126,547200,431693,495424,505633,524978,516354,538126,548539,533246,536375,550380,557291,561882,,,,,,
United States,45,595225,606177,602997,604957,604103,616955,639264,635282,654053,675805,697077,717068,718128,743251,746783,710912,700502,700524,704193,733214,732688,741543,766079,766987,761137,767063,763623,765172,762044,772394,761160,755241,812871,818927,832725,856826,835501,848139,855522,865079,901528,923822,950464,981201,1007385,1014264,1030350,1036131,1054406,1069568,1096683,1122340,1136122,1171832,1188513,1194378,1208679,1235213,1254662,1268887,1265043,1247981,1322063,1328538,1381554,1459038,1492414,1549716,1540678,1546520,1609459,1634460,1652514,,,,,,
United States,51,1009698,1023931,1044027,1057827,1082917,1059316,1067288,1070278,1082565,1046091,1025842,973669,997305,950888,882839,772090,1026276,1132910,1153932,1131914,1115640,1080748,1040967,1046595,1072365,1051847,1079236,1098171,1146546,1171144,1191509,1180570,1094782,1101688,1100703,1132887,1137201,1168576,1168764,1186010,1207818,1233799,1188660,1192681,1187276,1214864,1240283,1254844,1224009,1183806,1201088,1203491,1195390,1203257,1224408,1186385,1222133,1233541,1236554,1277613,1220597,1255818,1289631,1338405,1341793,1362111,1368935,1399266,1378924,1386217,1376685,1356249,1337220,,,,,,
United States,56,1782581,1802987,1806035,1815264,1804426,1809718,1823880,1868290,1887850,1906520,1938949,1983190,1994431,2009545,2002750,1998326,1971548,1938907,1938928,1948665,1987636,2031348,2044493,2069831,2044768,2083103,2078108,2114284,2097604,2112887,2132319,2124402,2147031,2150291,2181027,2183884,2173216,2174571,2184075,2178592,2175502,2166611,2172052,2173110,2179651,2191293,2189812,2190066,2206365,2220907,2225903,2239218,2263773,2279627,2291693,2306807,2317645,2328907,2348656,2343132,2332505,2246478,2301473,2291312,2326642,2345883,2374735,2417876,2430111,2440907,2462202,2447511,2462646,,,,,,
United States,60,969939,966256,973348,980391,1003691,1007051,1011449,1021711,1024237,1030029,1057440,1087462,1104397,1130652,1147647,1141783,1094076,1062637,1057524,1050278,1069382,1083159,1106232,1119747,1122762,1143512,1147444,1155572,1179408,1193734,1192792,1201230,1190969,1182185,1193710,1208524,1211491,1229750,1266933,1272964,1283583,1293594,1307514,1314105,1334031,1334758,1334556,1349215,1354077,1373730,1390379,1411522,1437336,1461338,1475294,1485019,1503933,1517305,1541153,1547934,1550925,1451125,1540068,1561926,1605998,1671940,1730397,1773516,1775411,1789891,1823798,1859885,1868347,,,,,,
United States,64,284011,277920,277171,276983,282249,280467,274488,274472,275469,269533,269375,270904,269276,272811,276110,273602,246328,248785,255335,256807,263236,266602,270611,278270,281624,282497,278542,280228,293975,295066,301565,317938,305783,312916,321787,327606,339837,334471,338356,340734,346275,346683,347632,348553,347898,349018,352025,358034,363122,370410,377851,397357,392683,396550,410437,416168,429305,432834,433242,436438,434423,426042,433964,466214,470613,488729,484801,508187,509350,519390,525273,539467,535838,,,,,,
United States,65,411786,417950,421171,423712,428148,426533,426708,431567,439589,449976,457723,463256,454925,455576,455077,445868,422724,413134,410356,418511,435547,441973,447834,455120,455571,460083,462524,462581,474640,473358,475106,476692,475500,479119,484619,488081,491453,499623,503460,506267,507573,506258,508794,507236,504876,503726,507986,517718,529231,536958,544121,551857,554322,557619,565707,575614,575120,577001,580293,580150,575752,493235,546301,566823,593966,604620,626952,652760,671573,678431,680730,679747,682967,,,,,,
United States,69,171781,171036,172619,172235,174994,176648,176628,176892,176720,177708,179736,182174,184386,187953,193380,196799,205216,205242,205733,207348,209676,212043,212799,214035,214407,214889,213054,212375,214936,215761,214176,211888,209751,209734,210318,212822,210809,212540,214322,214060,214112,213371,214035,217155,220021,221392,219966,220822,218040,216793,216890,216984,220002,221596,223163,225969,227544,229448,229555,226732,221951,196467,205570,199219,204972,210376,216153,218957,221711,219413,222442,225125,225207,,,,,,
United States,70,979997,987310,1004938,1011092,1032867,1041005,1038053,1042881,1034827,1038639,1047745,1061214,1083992,1102241,1121601,1138595,1136300,1140280,1138882,1145921,1137173,1147104,1155888,1159772,1160931,1171734,1176849,1180661,1194297,1189565,1191811,1204623,1212080,1213442,1216299,1221605,1222130,1229839,1246821,1258616,1278896,1287262,1298639,1305128,1320509,1328420,1327225,1340706,1348354,1357257,1362528,1370606,1389035,1392249,1401069,1409912,1423369,1433862,1445060,1455194,1451895,1259572,1461360,1488166,1468686,1476347,1482836,1503021,1513561,1527902,1548278,1566348,1599081,,,,,,
United States,76,143640,144861,146406,146375,149353,150702,149035,150478,151004,150726,152940,152042,151932,153096,153481,155517,151442,150721,151226,151775,155302,158318,159349,163686,161534,164028,166433,163142,170379,171105,171281,174345,173577,173797,173862,178437,180881,182530,184126,183217,179660,178346,179090,180581,182496,183470,185911,190923,187015,189910,196260,195711,195539,202388,201022,200093,199090,199151,203748,204580,179564,83776,118157,134945,153050,163181,183997,197868,197463,206306,218633,221548,229358,,,,,,
United States,79,451733,452075,456233,459498,467647,466222,467552,466434,467092,462795,457983,459408,451624,450695,446975,434533,418186,411422,410236,411507,417401,425564,432337,433645,438682,445126,446601,444495,451638,449004,448301,454885,461771,458145,459128,463295,466470,472612,480824,483480,493482,498519,502244,502912,502975,501383,505442,509902,515331,516517,515980,515277,512634,519606,520147,528215,527665,531119,538619,529744,482997,286601,420157,414700,434181,513067,536661,540143,524071,534073,535985,532747,543750,,,,,,
United States,82,395295,395292,397296,397342,399670,400148,397718,395982,393856,390663,387961,384890,379634,375458,373826,370783,359357,354156,349248,347135,342423,345560,348756,347934,343935,343834,342712,342782,347317,348251,349436,349324,346093,344221,344904,347599,348038,354382,360110,360294,359632,359426,356408,355397,355798,354334,355090,354016,353438,354410,358290,360876,364021,366764,366980,368266,365154,364924,369856,370780,359381,291679,335106,338867,333562,347470,356551,359350,361173,362295,364547,364610,364383,,,,,,
United States,83,2090342,2092156,2097598,2105610,2100816,2105156,2112455,2115479,2119474,2124225,2129494,2142969,2158344,2171539,2182164,2168580,2162944,2170934,2173223,2178860,2186483,2188253,2179702,2176484,2181581,2181710,2170070,2169833,2167846,2157632,2156682,2155796,2154652,2150030,2141608,2130876,2136534,2143163,2139579,2139255,2133489,2141976,2145215,2148065,2153702,2157437,2169336,2172964,2177809,2179540,2185998,2192799,2196296,2204107,2206350,2203814,2190075,2208790,2217869,2246091,2255395,2169705,2202312,2204152,2198277,2211535,2235319,2234173,2244216,2242873,2246498,2257968,2272994,,,,,,
United States,84,364215.6,363370,361941.3,364143.2,363132.2,364218.1,364778.6,365023.8,364719.7,365087.5,367444,367611.5,368811.8,369640.4,370957.8,370543.6,373519.3,379045,379849.1,381240,387046.4,394720,391418.5,389013.1,390947.5,390278.5,387949.2,388909.8,388275,387580.2,387237.2,384779.6,384273.5,380569.1,373467.5,373795.5,381884.3,383114.6,384728.3,386388.2,390196.1,393366.1,394845.5,397063.6,400843.4,401762,404244.1,406341.6,409020.8,410416.2,412816.8,413981,414810.8,416286.8,416825.6,415236.8,410029.7,418258.3,420795.4,422303.9,425129.9,429938.6,441741.9,437293.3,439140.3,438943.8,438156.3,435507.6,431590.8,430663.1,429426.2,433597.7,438954.6,,,,,,
United States,85,196537.1,197627,198654.9,201230.7,198807.5,199203.7,201478.7,201343.2,201276.4,201499.9,204292.1,206357.5,209253.8,212257.9,215280.2,216756.7,217041.5,217645.8,218596.6,218866.7,221788.5,220131.7,217912.3,216638.9,216539.9,216097.1,215355.1,215843.1,215393.2,214362.8,213521.8,211470.1,209824.9,208509.6,207361.9,202224.5,202473.5,200390.7,197573.7,194989.7,195406.5,194526.2,193309.5,192375.9,193956.8,194437.4,194253,193846.5,193365.7,192252,191405.5,189999.7,182619,181163.3,180551.3,179661,177831.7,181571,182796.7,183140.9,182135.5,185884.2,186290.9,187356.8,194390.9,195498,194531.4,193620.1,194917.1,193777.6,192325,191532.7,191911.5,,,,,,
United States,86,1434978,1437927,1443088,1446543,1444606,1447771,1452209,1455043,1458382,1463716,1464049,1474385,1484649,1492903,1497081,1480283,1471609,1471985,1470352,1472708,1473127,1468212,1462603,1461606,1462777,1463297,1453785,1453467,1450952,1442784,1443290,1445386,1447930,1448133,1446947,1444345,1440630,1448899,1447338,1448407,1439878,1447786,1450952,1452947,1456431,1457905,1467446,1470424,1473945,1476160,1480685,1485715,1488358,1494178,1494927,1494968,1488039,1494117,1499172,1523137,1527601,1437900,1460767,1464892,1457215,1468821,1491945,1492912,1502006,1501453,1507536,1513321,1523234,,,,,,
Alabama,1,182600.4,184625.7,184134.9,186116.9,186539,187489.6,187442.8,187611.6,187376.1,188746.2,189934.1,189953.7,188933.9,189288.6,187535.2,182028.9,180072.9,180406.4,180990.1,181359.2,181276.7,183649.6,187004.4,186878.9,185740.7,186746.9,187669.2,190266.5,190077.6,190536.7,188418.1,187949.6,191903.7,191053.3,192256.9,190265.3,187517.5,189967.8,191075.8,190984.2,189878.6,191535.8,192148.5,191778,193112.6,194227.5,194380.5,195414.6,196339.2,196230.9,196784.7,198544.8,199763.1,200149.4,200286.4,201291.6,202118.2,202918.2,204228.6,204465.8,204004.9,186912.4,204205.1,204400.7,207001.8,209857.1,210029.1,213029.2,212789.5,212311.6,212946.3,215011.6,215084.4,,,,,,
Alabama,2,151822.8,153771.4,153305.7,155048,155938.9,156315.4,156717.9,156065.7,155455.4,156724.4,157961.2,157467.3,156908.2,156989.8,155061.5,149647.5,147611.6,147303.7,147837.4,148575.6,148536.3,150887.8,154417.5,154700.5,153191.8,154138.3,155078.1,157601.5,157602.2,158580.4,156815.1,156174,160387.4,159708.2,161098.2,159355.3,156438.8,158780.4,159800.1,159765.6,158924,160431.1,160891,160685.3,161957.9,162962,162857,163670.4,164566,164307.1,165237.9,166650.6,167979.9,168365.9,168867,169649.4,170779.5,171102.3,171958.4,171885.5,171274.1,155002.8,171807.1,172098,174887.8,177464.2,177483,180676.8,180412.4,179984.1,180605.6,182380.4,182215.3,,,,,,
Alabama,3,3665.8,3765.6,3793.4,4000.8,3067,3404.9,3194.3,2959.4,2553.8,2420.3,2301.2,1958,2428.2,2204.7,1978.1,2203.1,2825.4,2726,2914.9,2601.2,1976.2,2379.7,2623,2664.1,1858.1,1628.8,1553.3,1394.9,2438.8,1972.3,1502.3,1241.7,2467.7,2631.5,3974.9,2871.2,2473.6,2542,2676.5,2670.9,3271.7,3202.4,3229.4,3037.9,2925.3,2855.1,2756.6,2589.3,3163.7,3089.3,2941.7,3005.7,3214.9,3355.8,3077.7,3091.9,2574.6,2625.4,2663.9,2802.9,3218.4,1351,1966.2,2225.7,3093.4,2485.5,2927.2,2977.8,3340.3,3584.1,3563.4,4030.3,3539.2,,,,,,
Alabama,6,3899.2,3985.5,3538.9,3439.5,3665.6,3502.5,3586.5,3807.5,4050.2,4139.7,4115.1,3757.7,3489.4,3330.3,3332.4,3979.1,4030.1,3571.1,3320,3139.3,3239.5,3141,3312.5,3109.8,2930.3,2769.2,2595.6,2904.3,2809,3042.3,2937.9,2836.3,2962,2829.7,2721.2,2584.7,2531.1,2464.6,2325.8,2313.7,2223.1,2189.7,2413,2410.9,2391.2,2091.1,2155.5,2282,2529,2983.8,3074.7,3094.7,2881.1,2745.7,2641.4,2690.7,2694.8,2508.9,2512.4,2286.3,2437,2448.8,2437.5,2170.8,2233.4,2084.1,2126.4,2343.4,2433.2,2377.5,2470.3,2502.2,2487.7,,,,,,
Alabama,10,4072.1,4284.1,4435.8,4187,4408.7,4513.9,4694.2,4451,4515.3,4802.7,4797.3,4753.5,4733.3,5045.8,5307.5,4551.6,4482,4438.7,4669.2,4953.7,4764.3,5155.8,5616.6,5807.6,5210.1,5514.5,5642.8,6071.4,5561.9,6115.5,5728.9,5441,5719.3,5726.2,5389.6,5263.4,4431.8,5314.4,5343.5,5928.9,4803.5,5512,5475.3,5560.5,5475.7,5853.9,6030.7,5725.8,5489,5324.7,5750,5657.6,5469,5437.9,5429.9,5422.1,5479.6,5714.3,5441.6,5690.7,5624.1,5541.8,5664,5843.8,5207.9,5525.9,5275,5275.2,5151.8,5255.1,5066.2,5041.1,4937,,,,,,
Alabama,11,9391.6,9310.2,9135.5,9405.3,9472.4,9493.5,9420.9,9018.3,9465.5,9609.7,9604.7,9579.1,9011.3,8806.3,8797.5,8108,7696.6,7706.8,7636.1,7206.6,7299,7199.9,7161.4,6781.1,6842.5,6855.1,6714.5,6826,6965.4,6916.7,6791.3,6916.8,6773.1,6741.3,6647.9,6434.7,6390.7,6349.5,6320.5,6391.9,6220.7,6359,6392.6,6367.8,6825,6620.5,6487.1,6642.6,7017,6667.8,6772.4,6854.1,6940.6,6955.6,7154.8,7263.7,7344.6,7546.7,7578.9,7553.8,7430.4,7293.8,7527.9,7830,7792,7924.3,7748.1,7456.7,7466.8,7108.7,6800.9,6740,6757,,,,,,
Alabama,12,30929.2,30815.2,30786,32215.7,32799.7,32812.8,32347.3,32002.5,31289,31688.3,32173.3,32763.9,32507.2,33132.8,32324.2,29609.6,26878.3,26721,27159.7,27934.7,28233.8,28561.9,30064.2,30404.5,31837.1,32116.5,32207.3,32963.3,32560.4,32263.5,31478.5,31932.3,33472.7,33870.3,34171.2,33742.2,33071.6,32915.2,32712.8,32379.6,31957.1,32221.3,32275.6,32384,33230.9,33752.3,33434.4,33461.1,33840.9,33992,34308.4,34989.2,35304.5,35190.5,35258.5,35465.8,35357.2,35351.9,35555.4,35392.4,35550.9,29898.7,35267.5,35098.4,35658.8,36408.9,35706.7,36475.3,36728.4,36171.6,35939.8,36443.5,36015.9,,,,,,
Alabama,13,15746.4,15964.5,16137.9,17340.2,17591.1,17671.8,17484.8,17205.5,16618,16926.8,17265.7,17685.5,18552.2,19040.2,18707.6,16844.9,14681.7,13451.6,13471.7,13836.4,15141.5,15984,17125.3,17150.7,17696.8,17578.8,17937,18693.5,18929.7,19359.1,19180.6,19842.6,20418.7,20605.2,20536.8,20328.3,19486.5,19629.3,20059.2,20079,19977.5,20314.8,20690,20719.4,21198.9,21178.3,20829,21173.7,21526.4,21496.5,21871.7,22343.4,22524.8,22436.4,22501.2,22988.6,23243.3,23200.2,23167.9,23121,23216.1,19460.7,23438.5,23358.9,24156.9,24570.4,23969.6,24254,25168.1,25064.7,24933.6,25558,25324.7,,,,,,
Alabama,25,15766,15298.5,15008.3,15057.5,15425,15328.3,15021.7,14987.5,14935.9,14991.3,15114.6,15257.6,13768.9,13872.8,13381.7,12643.9,12247.1,13563.1,14033.7,14463.1,13242.3,12606.9,12919.2,13256.2,14169.2,14585.1,14305.4,14295.5,13640.1,12897.2,12291.3,12094,13049.1,13261,13637.6,13418.1,13600.5,13294.5,12645.8,12286.7,11959.5,11880.5,11554.2,11632.6,11998.9,12552.2,12588.9,12257.9,12281.6,12467.6,12402.9,12610.9,12744.9,12719.4,12721.8,12436.8,12067.6,12105.7,12345,12228,12292.1,10404.6,11773,11684.6,11440.7,11777.6,11675.5,12149.1,11532.6,11105.9,11008.3,10913.6,10725.7,,,,,,
Alabama,34,11037.3,11192.5,11266.4,11711.3,11502.6,11430.9,11584.3,11554.4,11456.4,11759.2,11712.5,11840.1,12024.2,12083.6,12022,11441.5,10713.5,10319.8,10184,10507.3,10336.7,10743.4,10933.3,10874.9,10591.6,10432.3,10618.3,10928.9,10429.6,10767.5,10690.8,10397.4,10827.8,10679.2,10894,11080.2,10789.9,10925.3,11262.4,11091.2,11144.8,11147.7,11215,11214.2,11163.4,11505.8,11653.1,11832.4,11716.4,11681.1,11791,11727.7,11960,11775.3,11884.2,11820.4,11837.2,11560,11636.1,11768.6,12152.1,11354.3,12425.8,12366.6,12498.4,12769.6,12657.8,13190.7,12840.4,12552.8,12704.7,12851.5,12845.9,,,,,,
Alabama,35,13416.5,13854.4,13969.4,13862.2,14047.8,14197.9,13790.2,13875.6,13778.8,13569.9,13573.7,13666.1,13368.7,13269.6,13227.1,12860.8,12608.8,12511.1,12328.9,12665.8,12548.4,12745.4,12777.2,12567.8,12800.7,12501.8,12477.3,12525.6,12748.8,12449.3,12590.1,12498.3,12791.3,12723.5,12672.8,12609,12579.6,12679,12838.4,12665.3,12642.7,12910.4,13130.2,13174.5,13444.5,13670,13540,13855.2,13834.3,13895.6,14059.5,14018,14205.3,14128.9,14317.1,14210.3,14617.2,14581.2,14793.9,14822.8,14442.3,13950.2,14966.6,14782.4,15229.4,14604.3,14141.6,14221.1,14063.5,14037.3,14262.5,14640.6,15056.2,,,,,,
Alabama,36,4539.6,4681.9,4888.3,4989.1,4968.8,5052.4,5049.7,5006.5,4850.3,5024.8,4960.8,5206,5019.8,5073.8,5003,4905.5,4576.5,4627.8,4703.5,4799.4,4726.3,4806.1,4943.1,5000.1,4947.8,4913,4905.2,4953.2,4763.7,4830.9,4757.8,4790.1,4736.3,4650,4666.5,4742,4625.6,4658.8,4783.1,4810.1,4548.8,4653.5,4730.9,4694.3,4671,4816.1,4755.3,4761.1,5079.7,5023.4,5008.1,5036.5,5291.2,5206.6,5244.5,5352.1,4918.2,4982.5,5097.1,5082,5050.6,4151.8,5030,4915.4,5211,4913.9,5038.8,5114.3,4891.5,4910.2,5015.7,5044.5,5043.2,,,,,,
Alabama,45,4697,4875.7,4831.8,4796.4,4950.8,5014.3,5089.3,4921.4,4754.4,4664.7,4903.8,4619.4,4915,5042.4,5008.4,4816.4,4568.5,4516.6,4552.5,4601.4,4500.1,4521.6,4584.9,4625.7,4436.8,4566.5,4562.8,4399.9,4299.7,4358.6,4251.3,4159.5,4406.3,4389.5,4458.9,4309.2,4307.2,4273.5,4230.4,4411.1,4549.8,4611.2,4649.1,4694.7,4675.9,4627.4,4664.8,4649.5,4669.4,4770.3,4878.5,4967.1,4830.9,5081.9,5213.7,5219.5,5579.7,5515,5482.6,5340.9,5384,5455.8,5753.2,5642,5603.1,6247.8,6431.4,6729.9,7349.3,7367.9,7689.2,7834.8,7906.2,,,,,,
Alabama,51,10741.3,11102,10333,10127.3,9762.3,9609.6,9924.1,10013.7,9299.9,9253.6,9675.1,8731.2,9194.2,8535.7,7360,6242.2,9285.3,10304.9,10349.7,9906.4,9901.5,9848.2,9810.4,9679.1,8563.6,8845.8,9425.5,10085.9,10292.5,11071,11569.5,11335,11206.7,10705.1,10592.9,10447.6,11083,11682.7,11463.6,11386.9,11680.9,11745.6,11165,10960.6,10347.4,10362.7,10591.7,10876.3,10005.8,9625.3,9495.1,9546.6,9695.7,9811.1,9802.3,9480.9,9710.7,9744.1,9462.9,9507.9,9007.3,9260.6,9821.6,10024.1,10407.7,10807.2,10998,11342.6,11194,11286.8,11239.4,11078.7,10948.3,,,,,,
Alabama,56,18152.4,18269.8,18160,17974.3,17992.2,18005.8,18392.1,19050.5,19854.7,20105.5,20397.1,20536.3,20103.1,19951,19660.2,19628.4,19832.5,19605.8,19772.3,19689.1,20149.5,20490.7,20604.1,21117,21120.4,21764.8,21782.1,22172.8,21930.9,22001.3,22098.7,22103.9,22176,22187.9,22400.9,22368.9,21892.2,21852.2,22040.9,21854.3,22136.6,21998.1,22026.3,21971.1,22109.3,22073.3,21937.2,21745.8,21812.6,21749.7,21570.1,21665.7,21621.3,21722.5,21803.1,22058,22445.6,22595.8,22737.7,22611.7,22399.6,21848.1,22416.1,22309.7,22628.9,22865,23089.9,23530.8,23591.4,23655.4,23836.4,23672.7,23760.8,,,,,,
