Real Value Added by Industry,,,,,,,,,
Real Value Added by Industry,,,,,,,,,
"Last Revised on: March 27, 2025",,,,,,,,,
Line,,1997,1998,1999,2000,2001,2002,2003,2004
72,            Administrative and support services,281.3,293,308.8,333.4,338.4,335.2,359.7,381.4
73,            Waste management and remediation services,35.8,37.1,39.6,39.7,40.7,41.8,43.3,42.5
74,"    Educational services, health care, and social assistance",978.9,983.6,1016.5,1051.7,1079.6,1121.2,1166.9,1222.5
75,        Educational services,161.1,159.2,166.6,172.6,177.3,178.2,186.9,198.3
76,        Health care and social assistance,819.2,825.2,851.3,880.5,903.7,943.3,980.6,1025.3
77,            Ambulatory health care services,351.4,351.6,361.5,379.4,392.7,415.2,428.3,451
78,            Hospitals,282.9,286.4,295.6,302.1,308.8,320.4,336,353.4
79,            Nursing and residential care facilities,115.4,115.3,117.8,118.6,119.2,122.5,125.4,127.7
80,            Social assistance,74.9,77.8,82.8,85.6,87.5,88.8,95.1,96.9
81,"    Arts, entertainment, recreation, accommodation, and food services",560.6,576.4,607.9,643.7,623.2,638.5,657.2,687
82,"        Arts, entertainment, and recreation",141,141.1,146.4,153.6,145.2,151.5,157.3,162.5
83,"            Performing arts, spectator sports, museums, and related activities",71,75.5,77.3,80.7,81.6,87.3,91.8,92.8
84,"            Amusements, gambling, and recreation industries",68.8,65.1,68.5,72.1,63.4,64.3,65.7,69.7
85,        Accommodation and food services,420.1,436,462.4,491.2,479.4,488.3,501,525.8
86,            Accommodation,123,125.5,132.7,142.9,130.9,133,134.9,144.9
87,            Food services and drinking places,295.8,309.5,328.7,347,348.7,355.5,366.5,381
88,"    Other services, except government",452.3,471.4,475,485.5,438.3,449.9,437.7,443.4
89,Government,2130.5,2154.8,2181.3,2226.1,2249.4,2289.5,2317.6,2338.9
90,    Federal,668.4,666.6,662.2,669.9,661.2,674.4,687.9,700.4
91,        General government,581.3,575.1,570.4,573.4,575,585.2,601,609.7
92,            National defense,370.2,360.2,352.1,348,347.2,352.3,362.1,369.8
93,            Nondefense,211.1,214.9,218.2,225.2,227.7,232.6,238.6,239.5
94,        Government enterprises,89,93,93.3,97.8,87.8,90.8,88.7,92.5
95,    State and local,1461.8,1489.2,1521.4,1559.1,1592.5,1619.4,1633.4,1641.5
96,        General government,1322.7,1350.9,1373.2,1402.2,1435.6,1463.8,1473.2,1478.6
97,        Government enterprises,144.8,143.5,154.6,164.8,164.1,161.9,167.6,170.9
98,    Not allocated by industry1,-804.6,-727.4,-656.5,-583.2,-608,-528.9,-467.1,-413.2
,    Addenda:,,,,,,,,
99,            Private goods-producing industries2,2345.3,2448.1,2573.5,2722.9,2668.7,2674.9,2788.5,2954.6
100,            Private services-producing industries3,7962.7,8377.9,8829.5,9176.5,9351.3,9551.4,9806.9,10179.9
101,            Information-communications-technology-producing industries 4,181.1,221.4,260.9,310.3,327.2,348.9,392.9,451.8
,,,,,,,,,
Legend/Footnotes,,,,,,,,,
"1. Chained (2017) dollar series are calculated as the product of the chain-type quantity index and the 2017 current-dollar value of the corresponding series, divided by 100. Because the formula for the chain-type quantity indexes uses weights of more than one period, the corresponding chained-dollar estimates are usually not additive. The value of the Not allocated by industry line reflects the difference between the first line and the sum of the most detailed lines, as well as the differences in source data used to estimate GDP by industry and the expenditures measure of real GDP.",,,,,,,,,
"2. Consists of agriculture, forestry, fishing, and hunting; mining; construction; and manufacturing.",,,,,,,,,
"3. Consists of utilities; wholesale trade; retail trade; transportation and warehousing; information; finance, insurance, real estate, rental, and leasing; professional and business services; educational services, health care, and social assistance; arts, entertainment, recreation, accommodation, and food services; and other services, except government.",,,,,,,,,
"4. Consists of computer and electronic product manufacturing (excluding navigational, measuring, electromedical, and control instruments manufacturing); software publishers; broadcasting and telecommunications; data processing, hosting and related services; internet publishing and broadcasting and web search portals; and computer systems design and related services.",,,,,,,,,
