,2005Q1,2005Q2,2005Q3,2005Q4,2006Q1,2006Q2,2006Q3,2006Q4,2007Q1,2007Q2,2007Q3,2007Q4,2008Q1,2008Q2,2008Q3,2008Q4,2009Q1,2009Q2,2009Q3,2009Q4,2010Q1,2010Q2,2010Q3,2010Q4,2011Q1,2011Q2,2011Q3,2011Q4,2012Q1,2012Q2,2012Q3,2012Q4,2013Q1,2013Q2,2013Q3,2013Q4,2014Q1,2014Q2,2014Q3,2014Q4,2015Q1,2015Q2,2015Q3,2015Q4,2016Q1,2016Q2,2016Q3,2016Q4,2017Q1,2017Q2,2017Q3,2017Q4,2018Q1,2018Q2,2018Q3,2018Q4,2019Q1,2019Q2,2019Q3,2019Q4,2020Q1,2020Q2,2020Q3,2020Q4,2021Q1,2021Q2,2021Q3,2021Q4,2022Q1,2022Q2,2022Q3,2022Q4,2023Q1
  Construction,"627,506","643,639","664,215","670,894","698,515","698,450","691,536","699,721","715,782","723,123","720,181","703,890","668,495","652,328","640,791","635,503","596,894","569,080","557,742","537,944","519,263","528,035","528,535","527,135","512,214","523,465","530,349","536,435","549,621","553,284","553,767","563,106","572,714","580,131","595,494","606,400","616,391","630,728","644,844","658,641","673,694","690,020","703,357","714,210","730,939","739,136","750,033","770,729","787,277","791,550","804,380","819,325","833,156","842,268","851,676","862,064","886,774","899,794","912,702","916,731","918,090","849,817","895,946","913,630","932,761","937,902","941,235","969,311","986,297","987,909","1,008,856","1,044,993","1,062,023"
  Manufacturing,"1,669,927","1,667,324","1,702,922","1,729,864","1,779,246","1,797,245","1,793,241","1,804,300","1,800,104","1,856,551","1,862,826","1,863,542","1,802,765","1,818,473","1,831,267","1,755,798","1,689,749","1,673,606","1,697,790","1,742,243","1,753,090","1,784,366","1,818,165","1,843,551","1,842,453","1,870,910","1,875,477","1,905,521","1,921,451","1,937,744","1,946,511","1,932,923","1,984,022","1,969,871","1,995,116","2,040,195","1,997,795","2,039,993","2,089,290","2,086,886","2,118,671","2,134,235","2,154,274","2,116,813","2,097,590","2,103,644","2,103,537","2,106,623","2,144,372","2,170,016","2,211,211","2,273,057","2,296,128","2,326,099","2,346,294","2,371,548","2,343,830","2,368,369","2,379,602","2,383,827","2,321,514","2,052,715","2,294,985","2,297,812","2,381,856","2,463,719","2,496,924","2,644,709","2,703,231","2,767,993","2,808,918","2,894,465","2,904,536"
    Durable goods,"944,071","946,404","960,345","974,560","1,004,289","1,003,880","993,981","1,014,766","1,011,455","1,030,721","1,047,718","1,034,298","1,012,042","1,010,825","1,005,244","972,814","897,199","866,775","865,404","892,148","910,525","955,920","990,085","1,005,614","1,005,756","1,006,677","1,013,840","1,045,279","1,053,650","1,069,173","1,067,707","1,070,314","1,092,789","1,093,593","1,109,870","1,121,722","1,103,055","1,123,014","1,156,318","1,159,995","1,177,740","1,182,227","1,191,576","1,186,056","1,185,351","1,183,783","1,187,871","1,194,090","1,207,966","1,221,976","1,242,627","1,269,978","1,280,906","1,292,876","1,307,066","1,316,496","1,327,871","1,330,330","1,326,999","1,327,190","1,304,756","1,144,213","1,322,170","1,324,511","1,357,291","1,391,731","1,378,777","1,452,138","1,486,465","1,503,006","1,543,634","1,595,024","1,592,862"
      Wood products,"34,806","34,513","34,538","34,996","34,352","32,043","30,543","29,770","29,792","29,367","29,052","28,116","26,746","25,965","25,387","24,396","20,916","20,897","21,300","21,709","22,151","23,826","23,548","23,762","23,327","23,363","23,776","24,263","24,734","25,290","26,100","27,148","29,075","30,042","31,056","31,997","30,440","31,592","31,032","30,872","31,575","31,662","32,937","33,825","34,556","34,967","35,678","36,127","37,347","37,564","37,977","38,838","39,081","39,617","39,539","38,760","38,610","38,797","39,153","39,648","41,241","38,321","48,218","49,885","57,516","63,506","64,800","61,421","64,244","65,688","64,520","63,711","60,772"
      Nonmetallic mineral products,"47,844","48,429","49,090","49,906","51,541","50,605","49,746","50,088","47,987","49,924","53,100","50,064","46,021","45,107","44,588","43,345","39,864","38,509","38,815","38,165","37,883","38,807","38,853","38,043","37,733","38,271","39,014","40,710","41,260","42,382","43,251","43,961","45,887","46,691","48,161","48,179","47,465","48,837","50,533","51,563","53,119","53,565","55,634","56,466","56,873","57,366","57,519","58,260","60,067","61,479","62,227","63,426","62,382","62,978","62,850","63,004","63,482","64,598","66,060","65,638","64,936","63,406","67,805","68,322","68,982","69,159","69,523","73,237","74,053","73,702","74,915","77,337","77,998"
      Primary metals,"57,763","55,127","54,487","57,523","60,338","62,679","63,993","63,683","63,105","63,854","64,727","66,573","69,835","73,217","72,745","59,661","44,530","38,534","39,386","41,959","45,182","50,263","53,097","55,194","58,153","61,633","63,455","67,355","66,566","66,866","65,252","64,366","62,655","61,319","62,691","63,173","61,592","63,890","66,089","65,029","63,105","60,850","59,466","56,939","56,047","56,593","56,938","57,866","58,725","58,469","58,597","60,572","63,665","66,885","68,695","69,223","67,980","66,686","66,116","64,045","63,114","51,202","55,510","56,029","60,139","73,952","84,098","90,154","89,532","88,206","87,201","85,171","82,559"
      Fabricated metal products,"120,561","121,787","122,694","124,241","126,259","126,141","126,184","128,513","132,338","134,884","136,402","135,763","132,674","133,487","133,327","133,213","121,729","115,721","115,027","116,679","115,075","119,717","122,278","122,972","124,868","126,297","127,795","130,815","136,055","137,865","138,426","139,591","141,154","141,260","142,179","142,965","140,546","142,922","145,990","146,863","148,120","148,028","147,323","146,216","146,437","145,533","145,509","146,695","147,369","149,438","150,714","152,171","153,337","154,480","155,834","158,253","162,209","163,270","164,381","162,923","160,614","138,026","150,494","153,137","157,313","154,517","157,538","179,197","186,447","186,417","195,705","208,372","208,552"
      Machinery,"112,395","112,225","115,422","117,387","120,188","121,514","121,380","124,408","124,955","129,885","132,664","130,817","130,577","130,698","132,708","132,812","123,871","117,160","114,776","118,308","118,398","125,859","130,552","134,578","139,972","142,631","145,361","151,472","153,365","154,043","153,114","151,418","156,051","156,979","158,995","162,112","156,850","162,204","164,782","160,619","158,377","152,833","151,061","147,886","145,344","143,569","142,898","143,269","147,611","151,647","156,827","158,690","161,601","160,663","162,391","163,321","167,506","168,621","169,244","168,278","165,078","148,927","162,889","166,013","170,669","174,777","167,142","185,852","193,037","197,483","207,611","221,572","218,454"
      Computer and electronic products,"209,355","207,990","213,580","213,645","227,963","221,938","220,842","225,445","223,406","227,368","231,283","231,602","229,762","232,479","234,939","231,723","223,138","219,303","222,311","229,365","233,098","237,942","241,469","248,116","238,249","238,056","236,398","238,451","239,929","241,271","241,988","241,856","246,687","243,022","244,738","244,047","244,896","247,096","255,741","258,411","265,241","268,120","267,284","269,240","267,298","266,531","267,648","270,762","272,224","273,747","281,017","292,745","296,632","305,560","307,522","309,439","309,644","309,698","304,110","311,868","315,017","303,186","322,638","325,347","332,890","341,023","328,126","334,093","338,743","336,529","337,946","337,567","340,819"
"      Electrical equipment, appliances, and components","41,948","41,802","43,366","45,731","49,612","51,957","52,059","52,072","49,334","50,076","50,162","51,612","52,979","55,387","57,447","56,239","52,157","50,673","49,842","49,889","49,916","51,414","50,767","51,013","49,278","48,079","48,033","47,848","49,396","52,347","52,839","54,028","57,509","57,739","58,579","58,591","53,683","52,959","54,506","56,575","61,664","64,252","64,968","63,804","60,078","58,793","57,980","56,996","58,897","60,529","60,938","62,760","64,387","65,000","65,531","65,399","64,728","64,545","64,749","64,433","64,396","58,496","60,806","62,018","65,447","67,244","67,676","70,247","71,641","73,253","73,758","75,878","77,464"
"      Motor vehicles, bodies and trailers, and parts","136,699","135,813","136,304","134,900","136,031","136,973","128,587","134,568","130,580","126,857","125,029","117,512","106,628","97,638","85,277","71,833","50,138","44,258","44,959","51,738","67,510","84,781","99,693","103,234","105,713","100,225","100,666","111,461","111,085","117,716","115,912","118,353","118,952","121,806","123,975","127,652","126,554","130,637","136,529","137,283","139,735","146,233","150,457","148,944","153,977","154,543","156,036","157,363","157,458","158,896","157,900","159,630","157,446","156,430","159,519","157,892","157,522","158,361","158,850","158,113","145,846","87,127","174,522","168,099","167,216","161,385","149,627","156,520","159,290","168,382","176,640","182,076","182,981"
      Other transportation equipment,"84,167","89,449","90,318","94,891","93,994","94,181","95,558","101,278","105,454","113,548","120,580","117,463","115,206","114,462","114,644","114,049","117,167","117,858","114,958","119,486","116,412","118,220","124,291","124,151","125,343","125,764","127,241","130,442","128,369","126,664","126,547","126,026","130,188","131,774","134,334","137,323","135,073","135,910","142,235","144,188","148,399","148,201","151,412","148,704","149,240","147,959","149,106","147,484","148,703","150,569","155,257","157,075","156,764","155,252","158,561","164,583","168,652","167,268","166,321","164,948","162,869","137,729","150,310","144,795","145,573","159,129","160,788","161,797","166,656","169,481","178,286","194,550","192,129"
      Furniture and related products,"32,763","33,476","34,059","34,463","35,138","34,937","34,176","33,872","33,493","32,926","32,322","31,313","29,197","28,282","27,499","26,446","23,605","22,879","22,464","22,297","21,679","21,900","21,982","21,837","21,847","21,990","22,084","22,016","22,424","22,335","22,300","22,635","23,277","23,738","24,364","24,782","24,667","25,239","26,173","26,958","27,956","28,848","29,808","30,003","30,445","30,285","30,152","30,260","29,972","29,618","29,880","30,304","30,788","31,068","31,209","31,358","31,542","31,680","31,684","31,697","31,789","29,246","31,667","32,432","30,209","30,652","32,218","32,974","33,626","33,942","34,163","34,869","34,384"
      Miscellaneous manufacturing,"65,770","65,792","66,488","66,877","68,872","70,913","70,913","71,068","71,012","72,032","72,399","73,463","72,416","74,104","76,682","79,096","80,084","80,984","81,567","82,554","83,219","83,193","83,555","82,713","81,274","80,368","80,018","80,447","80,468","82,395","81,977","80,933","81,354","79,223","80,799","80,900","81,290","81,728","82,710","81,637","80,448","79,635","81,225","84,030","85,057","87,644","88,406","89,007","89,593","90,021","91,294","93,767","94,822","94,943","95,415","95,265","95,996","96,805","96,331","95,600","89,857","88,546","97,310","98,434","101,338","96,388","97,241","106,644","109,196","109,923","112,890","113,921","116,749"
    Nondurable goods,"725,856","720,919","742,577","755,304","774,957","793,365","799,260","789,534","788,648","825,830","815,108","829,244","790,723","807,648","826,023","782,984","792,550","806,832","832,386","850,095","842,565","828,446","828,079","837,937","836,696","864,233","861,637","860,241","867,801","868,572","878,804","862,608","891,234","876,278","885,246","918,473","894,739","916,980","932,972","926,891","940,931","952,008","962,698","930,757","912,239","919,861","915,667","912,533","936,406","948,040","968,584","1,003,078","1,015,222","1,033,222","1,039,228","1,055,052","1,015,958","1,038,039","1,052,603","1,056,637","1,016,758","908,502","972,816","973,301","1,024,565","1,071,988","1,118,147","1,192,571","1,216,766","1,264,987","1,265,283","1,299,440","1,311,674"
      Food and beverage and tobacco products,"174,411","176,994","180,003","182,979","187,454","193,651","195,786","198,401","190,816","195,631","197,105","193,165","184,718","192,046","201,583","218,753","229,425","244,414","239,256","237,516","233,083","224,991","220,218","215,788","209,427","208,247","206,343","215,163","215,569","219,720","228,509","216,428","221,754","228,372","231,726","231,961","230,189","234,444","243,633","247,218","257,935","259,522","265,083","265,122","262,374","264,706","266,511","265,018","263,879","269,199","270,156","266,826","264,602","264,357","264,823","267,128","273,150","283,225","294,949","295,065","295,560","296,490","311,814","310,098","318,030","311,762","325,281","335,228","324,476","315,987","327,063","339,180","352,677"
      Textile mills and textile product mills,"21,129","20,552","20,429","20,561","20,554","20,281","19,945","19,517","19,694","19,435","19,063","18,975","18,362","17,982","17,851","17,166","15,056","14,941","15,016","15,450","15,284","15,725","15,765","15,444","15,078","15,000","15,017","15,179","15,655","15,946","16,016","16,249","16,435","16,452","16,847","17,332","17,398","17,999","18,009","17,940","17,906","17,697","17,888","18,271","18,569","18,690","18,614","18,444","18,262","17,784","17,482","17,197","16,753","16,695","16,742","16,731","16,997","16,986","17,009","16,936","17,019","14,435","16,756","17,427","17,502","17,675","17,552","18,028","18,246","18,041","18,318","18,100","17,930"
      Apparel and leather and allied products,"14,132","13,841","13,875","13,493","13,206","12,966","12,669","12,593","12,331","11,856","11,649","11,554","11,712","11,878","11,456","11,251","9,828","9,780","9,797","10,076","10,102","10,344","10,641","10,469","10,299","10,128","10,015","10,084","10,003","10,104","9,908","10,011","10,273","10,227","10,172","10,210","10,212","9,922","9,796","9,731","9,657","9,611","9,796","9,711","9,675","9,650","9,535","9,595","9,489","9,373","9,359","9,434","9,358","9,322","9,312","9,221","9,324","9,404","9,435","9,311","8,964","6,248","6,890","6,943","7,640","8,333","8,462","8,805","8,914","9,077","9,328","9,727","10,043"
      Paper products,"51,524","51,254","50,879","53,033","56,115","58,106","58,660","59,022","53,924","53,461","57,526","58,064","50,216","49,433","51,393","54,562","57,275","59,336","60,132","60,161","57,937","56,660","55,973","54,963","54,198","53,805","53,541","53,812","52,896","53,270","53,071","53,379","55,343","56,037","57,358","57,061","55,751","56,349","57,273","57,857","58,929","59,345","60,024","60,512","60,224","59,358","57,456","56,547","55,268","54,820","55,434","56,460","57,672","59,288","59,812","60,350","60,100","60,668","61,280","60,907","61,401","60,219","62,556","62,840","60,946","60,038","63,396","64,657","66,540","66,770","63,815","65,353","66,283"
      Printing and related support activities,"43,895","44,095","44,928","44,933","45,881","46,714","46,957","47,729","47,788","47,530","47,669","47,847","46,361","45,596","44,716","44,140","40,705","39,615","39,230","38,999","38,745","39,644","39,732","39,708","39,360","38,957","38,531","38,292","37,997","38,616","38,433","38,719","39,285","39,165","38,890","38,690","38,481","39,005","39,459","39,342","39,708","39,900","40,409","40,901","41,448","41,271","41,136","41,030","40,647","39,920","40,400","40,586","41,121","41,098","41,003","41,269","41,039","41,236","41,597","41,287","40,125","33,205","34,767","36,031","36,851","36,589","36,428","37,915","38,719","39,274","40,099","40,736","40,828"
      Petroleum and coal products,"134,091","131,937","148,682","149,434","143,856","145,510","141,740","128,782","136,799","162,648","147,838","171,573","168,656","164,430","169,464","116,794","97,290","97,836","116,652","130,747","123,651","118,063","119,942","133,594","145,480","165,059","170,642","155,059","167,598","158,513","156,476","153,967","159,760","135,666","143,074","166,735","154,845","160,391","163,457","154,027","150,798","159,561","152,648","119,245","87,430","85,635","82,314","87,448","109,890","119,089","133,660","163,453","173,900","185,562","188,427","193,732","146,749","149,336","139,698","144,123","108,746","30,755","54,840","56,359","98,216","122,226","137,856","159,057","195,356","254,465","242,993","241,862","228,668"
      Chemical products,"222,769","219,685","221,730","227,701","243,893","252,268","259,408","259,488","262,730","270,339","270,950","267,693","254,601","271,799","273,966","262,264","285,683","281,223","290,586","294,359","301,582","301,160","304,234","306,211","301,148","310,321","304,633","307,741","301,971","304,898","307,915","305,102","318,663","321,077","317,731","328,409","322,456","333,164","333,509","330,945","331,262","328,638","336,536","336,584","352,097","360,251","360,708","355,141","360,361","360,259","364,139","370,032","370,743","375,316","376,792","383,865","385,596","393,365","404,502","404,769","402,181","392,869","404,266","402,698","404,712","435,579","443,588","474,489","468,703","466,437","468,255","488,276","497,492"
      Plastics and rubber products,"63,905","62,559","62,052","63,170","63,998","63,869","64,095","64,003","64,567","64,930","63,307","60,373","56,097","54,484","55,594","58,053","57,289","59,687","61,717","62,787","62,181","61,859","61,575","61,759","61,707","62,717","62,914","64,911","66,114","67,505","68,476","68,753","69,719","69,282","69,447","68,076","65,407","65,706","67,835","69,832","74,736","77,735","80,315","80,410","80,423","80,300","79,394","79,311","78,610","77,595","77,953","79,090","81,073","81,585","82,318","82,753","83,003","83,820","84,133","84,238","82,762","74,281","80,925","80,905","80,666","79,786","85,584","94,392","95,812","94,936","95,413","96,206","97,752"
  Wholesale trade,"741,903","745,143","759,651","772,155","793,453","807,397","817,882","826,937","846,876","857,872","859,849","868,179","872,212","887,552","896,308","883,256","837,130","820,566","825,584","852,038","862,283","882,169","907,453","908,020","914,088","934,956","935,924","963,373","982,263","994,885","1,006,487","1,017,528","1,030,413","1,028,169","1,047,296","1,063,114","1,050,593","1,076,031","1,110,413","1,121,371","1,135,050","1,151,513","1,145,444","1,142,261","1,137,149","1,133,166","1,135,116","1,137,952","1,145,406","1,157,362","1,169,944","1,190,205","1,194,270","1,208,863","1,221,869","1,244,484","1,266,097","1,267,335","1,287,833","1,288,530","1,289,834","1,151,064","1,304,536","1,314,349","1,369,461","1,433,379","1,462,100","1,513,047","1,575,003","1,602,401","1,626,884","1,648,961","1,668,108"
  Retail trade,"823,944","834,270","846,086","857,917","866,904","868,177","872,832","871,330","869,585","870,340","867,583","869,981","844,691","850,563","855,659","844,485","825,275","822,736","819,919","841,083","838,084","855,920","854,770","859,423","863,196","867,585","874,340","887,309","902,722","905,634","912,456","919,207","944,376","943,869","955,023","959,036","952,023","969,707","983,519","995,317","1,001,484","1,012,356","1,031,130","1,036,341","1,045,413","1,048,527","1,055,369","1,062,639","1,070,037","1,073,391","1,087,094","1,096,974","1,108,274","1,120,374","1,125,526","1,125,574","1,142,453","1,159,516","1,182,272","1,181,929","1,185,428","1,104,369","1,267,691","1,263,048","1,337,967","1,403,920","1,385,708","1,436,918","1,438,630","1,452,829","1,478,185","1,516,465","1,542,233"
    Motor vehicle and parts dealers,"155,739","155,209","160,678","160,583","161,120","158,957","160,825","160,898","161,473","163,896","164,890","160,963","152,038","147,631","142,791","135,306","126,184","124,920","117,878","132,053","136,402","140,893","142,894","144,994","146,006","146,963","148,944","153,876","160,277","159,969","161,608","162,980","168,746","170,926","173,658","176,344","173,874","182,513","183,424","185,251","187,904","191,064","194,664","196,510","199,893","200,021","202,459","204,515","205,485","206,141","208,517","210,546","211,182","213,183","214,531","215,488","220,237","224,231","227,701","225,548","216,972","197,089","241,648","242,141","261,419","286,713","276,163","298,739","298,882","301,804","297,108","303,852","311,499"
    Food and beverage stores,"120,459","122,063","123,053","124,446","125,875","125,940","126,088","125,644","124,157","123,704","124,063","124,518","125,477","126,615","128,497","131,740","129,439","130,092","130,886","131,813","129,855","131,544","131,759","131,604","129,521","130,729","130,065","130,578","131,704","131,680","132,215","132,495","135,161","135,234","136,186","137,462","136,544","137,469","139,358","141,950","143,829","144,264","147,123","146,695","147,448","148,668","148,264","149,070","150,889","152,536","153,824","153,958","154,501","154,436","155,092","155,399","156,671","158,455","162,131","163,703","174,554","178,360","182,077","177,233","180,749","182,665","183,172","191,945","193,751","194,157","201,516","208,014","212,204"
    General merchandise stores,"119,314","122,048","120,061","122,984","123,798","123,685","123,691","124,359","124,325","124,342","123,110","126,519","125,243","128,055","129,656","130,331","131,559","133,428","131,588","135,625","129,863","135,054","133,709","130,090","134,899","133,146","135,029","133,604","135,545","131,566","133,792","132,867","136,150","135,166","135,041","135,112","136,458","136,877","139,952","141,631","140,077","141,869","143,664","144,875","143,004","141,329","144,949","146,393","146,226","145,561","147,257","147,755","149,560","151,124","150,635","150,834","151,052","152,937","155,289","156,998","158,029","151,486","167,105","160,014","169,110","175,775","177,038","177,187","187,099","188,755","191,979","193,356","197,567"
    Other retail,"428,432","434,951","442,294","449,904","456,111","459,596","462,228","460,429","459,630","458,398","455,519","457,982","441,933","448,263","454,715","447,108","438,093","434,296","439,566","441,591","441,964","448,428","446,407","452,735","452,770","456,747","460,301","469,251","475,197","482,418","484,840","490,864","504,318","502,543","510,139","510,117","505,147","512,848","520,786","526,484","529,673","535,160","545,679","548,261","555,069","558,509","559,698","562,661","567,437","569,153","577,496","584,714","593,031","601,632","605,269","603,854","614,493","623,893","637,152","635,680","635,873","577,434","676,860","683,659","726,688","758,767","749,336","769,047","758,898","768,113","787,582","811,243","820,964"
  Transportation and warehousing,"357,742","368,580","382,428","393,851","401,334","409,302","412,368","418,186","408,061","415,798","411,770","420,482","417,180","422,604","428,158","440,031","410,618","397,947","398,813","410,098","414,262","429,302","442,509","448,017","447,468","452,087","450,428","460,020","466,585","475,870","475,786","475,010","484,553","485,387","492,701","505,781","499,202","516,419","532,496","541,930","553,635","561,719","573,275","575,792","575,095","581,962","580,953","591,481","597,366","606,320","611,995","620,651","633,962","642,770","651,508","666,467","675,745","681,791","689,003","684,310","663,515","513,074","576,493","600,277","628,116","659,548","711,177","754,115","779,113","811,189","829,891","839,649","854,098"
