Value Added by Industry
Value Added by Industry
"Last Revised on: November 16, 2021"
Line,,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997
32,"            Chemical products",100.9,110.7,118.8,123.9,130.7,134.4,149.2,158.7,163.5,173.4
33,"            Plastics and rubber products",34.9,39.0,38.8,41.0,43.5,47.1,50.6,51.4,54.6,57.6
34,"    Wholesale trade",314.9,336.4,347.8,362.5,380.4,403.5,444.6,462.2,495.1,527.5
35,"    Retail trade",367.2,391.2,399.9,407.2,426.2,461.9,498.8,522.3,550.2,579.9
36,"        Motor vehicle and parts dealers",---,---,---,---,---,---,---,---,---,---
37,"        Food and beverage stores",---,---,---,---,---,---,---,---,---,---
38,"        General merchandise stores",---,---,---,---,---,---,---,---,---,---
39,"        Other retail",---,---,---,---,---,---,---,---,---,---
40,"    Transportation and warehousing",162.8,168.6,174.9,183.9,194.7,207.4,223.8,229.3,237.5,257.3
41,"        Air transportation",30.6,31.0,31.9,33.0,35.9,40.4,45.2,47.2,47.3,54.7
42,"        Rail transportation",21.1,18.6,18.6,20.2,20.1,20.3,21.3,21.2,21.0,20.0
43,"        Water transportation",4.5,4.7,5.1,5.8,5.8,5.9,6.2,6.1,6.3,6.6
44,"        Truck transportation",45.4,49.1,50.6,52.2,55.9,59.6,65.9,67.4,70.7,77.1
45,"        Transit and ground passenger transportation",8.0,8.3,9.0,9.6,9.9,10.6,11.3,12.0,13.1,15.1
46,"        Pipeline transportation",5.7,6.0,6.0,6.1,6.4,6.6,6.7,6.5,6.8,7.0
47,"        Other transportation and support activities",35.7,38.3,40.5,43.5,45.9,48.1,50.2,50.7,53.3,55.9
48,"        Warehousing and storage",11.9,12.6,13.2,13.6,14.8,15.8,17.0,18.2,18.9,21.0
49,"    Information",233.1,254.0,269.3,281.0,299.3,321.4,340.9,356.3,386.8,394.1
50,"        Publishing industries, except internet (includes software)",48.2,53.0,54.8,57.1,61.0,65.3,72.0,73.9,87.1,97.2
51,"        Motion picture and sound recording industries",27.9,33.6,33.7,35.2,35.7,38.1,37.3,39.4,41.5,40.3
52,"        Broadcasting and telecommunications",141.5,150.5,162.3,169.6,181.6,195.7,207.1,216.4,229.2,226.3
53,"        Data processing, internet publishing, and other information services",15.4,16.9,18.5,19.1,21.0,22.4,24.5,26.6,29.0,30.3
54,"    Finance, insurance, real estate, rental, and leasing",907.0,972.8,1037.9,1097.3,1181.2,1248.5,1314.2,1406.5,1493.2,1612.4
55,"        Finance and insurance",295.7,317.3,340.7,375.7,411.3,433.4,447.6,485.0,524.1,577.2
56,"            Federal Reserve banks, credit intermediation, and related activities",146.1,154.0,165.6,183.5,195.5,202.4,204.6,208.6,218.1,233.1
57,"            Securities, commodity contracts, and investments",43.4,45.7,43.2,46.8,53.6,64.8,61.0,75.5,97.6,121.3
58,"            Insurance carriers and related activities",99.4,110.9,124.4,137.5,153.2,155.8,172.3,189.7,197.5,215.6
59,"            Funds, trusts, and other financial vehicles",6.8,6.7,7.6,7.8,9.0,10.4,9.8,11.2,10.9,7.2
60,"        Real estate and rental and leasing",611.4,655.5,697.3,721.7,770.0,815.1,866.6,921.5,969.1,1035.2
61,"            Real estate",551.7,591.0,627.1,653.1,697.2,736.7,782.2,832.0,870.5,929.2
62,"                Housing",---,---,---,---,---,---,---,---,---,---
63,"                Other real estate",---,---,---,---,---,---,---,---,---,---
64,"            Rental and leasing services and lessors of intangible assets",59.6,64.5,70.2,68.6,72.8,78.4,84.4,89.5,98.7,106.0
65,"    Professional and business services",429.7,477.0,523.5,531.6,575.8,608.0,643.5,690.0,756.6,840.6
66,"        Professional, scientific, and technical services",257.9,288.8,319.8,326.3,353.6,370.3,388.6,412.7,451.6,499.7
67,"            Legal services",70.1,76.2,83.4,85.9,92.9,94.3,94.7,95.5,100.4,104.0
68,"            Computer systems design and related services",24.5,27.8,31.0,33.3,37.1,41.1,45.8,51.0,60.4,75.5
69,"            Miscellaneous professional, scientific, and technical services",163.2,184.8,205.4,207.1,223.5,234.9,248.1,266.1,290.7,320.2
70,"        Management of companies and enterprises",73.8,78.3,81.0,82.0,85.6,93.1,97.1,103.8,112.5,125.5
71,"        Administrative and waste management services",98.0,109.9,122.6,123.3,136.7,144.6,157.8,173.6,192.5,215.4
72,"            Administrative and support services",85.5,96.0,107.6,108.2,120.0,126.6,138.2,153.2,171.5,193.5
73,"            Waste management and remediation services",12.5,13.9,15.0,15.2,16.7,18.0,19.6,20.4,21.0,21.9
74,"    Educational services, health care, and social assistance",302.9,339.2,377.9,414.2,449.4,484.6,516.0,538.5,561.9,590.6
75,"        Educational services",35.9,39.0,41.4,45.6,49.0,53.7,59.7,65.2,70.6,77.1
76,"        Health care and social assistance",267.1,300.2,336.4,368.6,400.4,430.9,456.3,473.3,491.3,513.5
77,"            Ambulatory health care services",132.7,148.7,167.0,182.7,199.3,213.2,227.0,235.4,242.2,250.9
78,"            Hospitals and nursing and residential care facilities",117.0,131.6,147.3,162.2,174.0,188.7,197.9,204.5,214.6,223.1
79,"            Hospitals",---,---,---,---,---,---,---,---,---,---
80,"            Nursing and residential care facilities",---,---,---,---,---,---,---,---,---,---
81,"            Social assistance",17.4,19.9,22.1,23.7,27.1,29.0,31.3,33.4,34.5,39.5
82,"    Arts, entertainment, recreation, accommodation, and food services",170.0,185.1,200.5,206.6,219.1,232.3,244.2,257.3,274.9,301.8
83,"        Arts, entertainment, and recreation",36.3,42.0,48.8,50.4,57.6,59.1,61.8,66.7,71.7,80.1
84,"            Performing arts, spectator sports, museums, and related activities",17.3,19.3,23.2,24.0,26.7,28.5,29.9,31.7,34.4,37.2
85,"            Amusements, gambling, and recreation industries",19.0,22.8,25.7,26.4,30.9,30.6,31.9,34.9,37.4,43.0
86,"        Accommodation and food services",133.7,143.1,151.7,156.1,161.5,173.1,182.4,190.7,203.1,221.6
87,"            Accommodation",38.7,41.9,44.3,46.1,48.9,52.1,55.4,59.5,64.6,70.7
88,"            Food services and drinking places",95.0,101.2,107.4,110.1,112.6,121.1,127.0,131.1,138.6,150.9
89,"    Other services, except government",133.3,145.0,154.0,155.8,166.0,179.4,193.3,204.8,216.4,230.3
90,Government,749.2,806.8,866.1,924.1,975.6,1006.4,1042.9,1076.8,1104.1,1145.6
91,"    Federal",312.9,329.3,343.7,365.5,375.9,376.7,381.3,384.4,383.4,390.7
92,"        General government",278.5,292.8,306.7,323.5,329.6,331.5,332.6,333.0,331.8,333.5
93,"            National defense",---,---,---,---,---,---,---,---,---,---
94,"            Nondefense",---,---,---,---,---,---,---,---,---,---
95,"        Government enterprises",34.3,36.5,37.0,41.9,46.4,45.2,48.7,51.4,51.7,57.2
96,"    State and local",436.3,477.5,522.5,558.6,599.6,629.7,661.6,692.4,720.6,754.8
97,"        General government",398.8,436.1,478.2,512.2,550.2,576.9,606.2,633.9,658.6,689.3
98,"        Government enterprises",37.5,41.5,44.3,46.4,49.4,52.8,55.4,58.5,62.1,65.5
,"    Addenda:",,,,,,,,,,
99,"            Private goods-producing industries1",1340.9,1427.0,1465.7,1440.3,1492.6,1540.6,1652.6,1719.7,1821.5,1926.1
100,"            Private services-producing industries2",3146.3,3407.7,3631.3,3793.8,4052.2,4311.6,4591.7,4843.2,5147.6,5505.9
101,"            Information-communications-technology-producing industries3",---,---,---,---,---,---,---,---,---,---

Legend/Footnotes
"1. Consists of agriculture, forestry, fishing, and hunting; mining; construction; and manufacturing."
"2. Consists of utilities; wholesale trade; retail trade; transportation and warehousing; information; finance, insurance, real estate, rental, and leasing; professional and business services; educational services, health care, and social assistance; arts, entertainment, recreation, accommodation, and food services; and other services, except government."
"3. Consists of computer and electronic product manufacturing (excluding navigational, measuring, electromedical, and control instruments manufacturing); software publishers; broadcasting and telecommunications; data processing, hosting and related services; internet publishing and broadcasting and web search portals; and computer systems design and related services."
