Date,Number,Average amount
Jan 2010,52718853,"$1,065.91"
Feb 2010,52883039,"$1,066.59"
Mar 2010,53049939,"$1,066.93"
Apr 2010,53201335,"$1,067.41"
May 2010,53349146,"$1,067.80"
Jun 2010,53397574,"$1,069.18"
Jul 2010,53390106,"$1,071.20"
Aug 2010,53547502,"$1,071.77"
Sep 2010,53655661,"$1,072.23"
Oct 2010,53802107,"$1,072.46"
Nov 2010,53934142,"$1,073.83"
Dec 2010,54032097,"$1,074.33"
Jan 2011,54194091,"$1,075.83"
Feb 2011,54359237,"$1,076.35"
Mar 2011,54505762,"$1,076.73"
Apr 2011,54661172,"$1,077.22"
May 2011,54789913,"$1,077.60"
Jun 2011,54815203,"$1,079.01"
Jul 2011,54816820,"$1,080.95"
Aug 2011,54920167,"$1,081.56"
Sep 2011,55068928,"$1,081.98"
Oct 2011,55190139,"$1,082.22"
Nov 2011,55312855,"$1,083.55"
Dec 2011,55404480,"$1,122.89"
Jan 2012,55558422,"$1,124.36"
Feb 2012,55751699,"$1,124.76"
Mar 2012,55889002,"$1,125.10"
Apr 2012,56033369,"$1,125.67"
May 2012,56157949,"$1,126.16"
Jun 2012,56174638,"$1,127.73"
Jul 2012,56188736,"$1,129.65"
Aug 2012,56291797,"$1,130.33"
Sep 2012,56447043,"$1,130.94"
Oct 2012,56577277,"$1,131.32"
Nov 2012,56658978,"$1,132.86"
Dec 2012,56758185,"$1,152.79"
Jan 2013,56904814,"$1,154.75"
Feb 2013,57063624,"$1,155.36"
Mar 2013,57201752,"$1,155.96"
Apr 2013,57332476,"$1,156.63"
May 2013,57456656,"$1,157.25"
Jun 2013,57469232,"$1,158.99"
Jul 2013,57472584,"$1,160.94"
Aug 2013,57554355,"$1,161.73"
Sep 2013,57694711,"$1,162.20"
Oct 2013,57804285,"$1,162.63"
Nov 2013,57916591,"$1,164.18"
Dec 2013,57978610,"$1,182.24"
Jan 2014,58079222,"$1,184.01"
Feb 2014,58201293,"$1,184.76"
Mar 2014,58340954,"$1,185.36"
Apr 2014,58471828,"$1,186.01"
May 2014,58585874,"$1,186.60"
Jun 2014,58575120,"$1,188.31"
Jul 2014,58565448,"$1,190.28"
Aug 2014,58640200,"$1,191.17"
Sep 2014,58766911,"$1,191.70"
Oct 2014,58862189,"$1,192.21"
Nov 2014,58965947,"$1,193.92"
Dec 2014,59007158,"$1,214.99"
Jan 2015,59092944,"$1,216.87"
Feb 2015,59215138,"$1,217.54"
Mar 2015,59323399,"$1,218.26"
Apr 2015,59447360,"$1,219.04"
May 2015,59529978,"$1,219.77"
Jun 2015,59545343,"$1,221.42"
Jul 2015,59496533,"$1,223.45"
Aug 2015,59631983,"$1,224.21"
Sep 2015,59737817,"$1,224.81"
Oct 2015,59832580,"$1,225.34"
Nov 2015,59915763,"$1,227.10"
Dec 2015,59963425,"$1,228.12"
Jan 2016,60084225,"$1,229.85"
Feb 2016,60199914,"$1,230.70"
Mar 2016,60324376,"$1,231.42"
Apr 2016,60430387,"$1,232.39"
May 2016,60535470,"$1,233.18"
Jun 2016,60541218,"$1,234.98"
Jul 2016,60505305,"$1,237.15"
Aug 2016,60616867,"$1,238.12"
Sep 2016,60661228,"$1,239.04"
Oct 2016,60773376,"$1,240.95"
Nov 2016,60863171,"$1,241.66"
Dec 2016,60907307,"$1,246.45"
Jan 2017,61017443,"$1,248.67"
Feb 2017,61151725,"$1,249.55"
Mar 2017,61262278,"$1,250.96"
Apr 2017,61376770,"$1,251.85"
May 2017,61468563,"$1,252.84"
Jun 2017,61480790,"$1,254.78"
Jul 2017,61468438,"$1,256.94"
Aug 2017,61591079,"$1,258.02"
Sep 2017,61642036,"$1,259.06"
Oct 2017,61759434,"$1,260.91"
Nov 2017,61859250,"$1,261.64"
Dec 2017,61903360,"$1,288.02"
Jan 2018,61984292,"$1,290.46"
Feb 2018,62115123,"$1,291.46"
Mar 2018,62233678,"$1,293.06"
Apr 2018,62355032,"$1,294.05"
May 2018,62453838,"$1,295.08"
Jun 2018,62464682,"$1,297.15"
Jul 2018,62466067,"$1,299.34"
Aug 2018,62594351,"$1,300.49"
Sep 2018,62662065,"$1,301.59"
Oct 2018,62786058,"$1,303.49"
Nov 2018,62885316,"$1,304.25"
Dec 2018,62906222,"$1,342.00"
Jan 2019,63043672,"$1,344.38"
Feb 2019,63189535,"$1,345.45"
Mar 2019,63325494,"$1,347.06"
Apr 2019,63448793,"$1,348.12"
May 2019,63559743,"$1,349.25"
Jun 2019,63572007,"$1,351.51"
Jul 2019,63581180,"$1,353.68"
Aug 2019,63713515,"$1,354.91"
Sep 2019,63793296,"$1,356.05"
Oct 2019,63920525,"$1,358.03"
Nov 2019,64008382,"$1,358.82"
Dec 2019,64064496,"$1,381.79"
Jan 2020,64216647,"$1,384.19"
Feb 2020,64357644,"$1,385.47"
Mar 2020,64508104,"$1,387.26"
Apr 2020,64624780,"$1,388.56"
May 2020,64696742,"$1,390.12"
Jun 2020,64687657,"$1,392.53"
Jul 2020,64668170,"$1,394.89"
Aug 2020,64746587,"$1,396.53"
Sep 2020,64750224,"$1,398.15"
Oct 2020,64833451,"$1,400.66"
Nov 2020,64872431,"$1,401.86"
Dec 2020,64850867,"$1,421.68"
Jan 2021,64841375,"$1,424.17"
Feb 2021,64857046,"$1,425.49"
Mar 2021,64914883,"$1,427.64"
Apr 2021,64998300,"$1,429.13"
May 2021,65068148,"$1,430.73"
Jun 2021,65032991,"$1,433.23"
Jul 2021,65036228,"$1,435.68"
Aug 2021,65060591,"$1,437.55"
Sep 2021,65126026,"$1,439.07"
Oct 2021,65180371,"$1,441.81"
Nov 2021,65232043,"$1,443.08"
Dec 2021,65228238,"$1,530.09"
Jan 2022,65305869,"$1,532.94"
Feb 2022,65383511,"$1,534.81"
Mar 2022,65448701,"$1,536.94"
Apr 2022,65544093,"$1,538.14"
May 2022,65650250,"$1,539.68"
Jun 2022,65614991,"$1,542.22"
Jul 2022,65640264,"$1,544.70"
Aug 2022,65673450,"$1,546.59"
Sep 2022,65792914,"$1,547.87"
Oct 2022,65883153,"$1,550.48"
Nov 2022,65948102,"$1,551.66"
Dec 2022,65994457,"$1,688.35"
Jan 2023,66132804,"$1,691.53"
Feb 2023,66242941,"$1,693.88"
Mar 2023,66397672,"$1,696.35"
Apr 2023,66557570,"$1,698.05"
May 2023,66665196,"$1,699.35"
Jun 2023,66632979,"$1,701.62"
Jul 2023,66676706,"$1,703.98"
Aug 2023,66710350,"$1,705.79"
