Date,Category,Assets,Nonfinancial assets,Real estate,Consumer durables,Financial assets,Deposits,Money market fund shares,Debt securities,U.S. government and municipal securities,Corporate and foreign bonds,Loans (Assets),Other loans and advances (Assets),Mortgages,Corporate equities and mutual fund shares,Life insurance reserves,Annuities,DC pension entitlements,DB pension entitlements,Miscellaneous other equity,Miscellaneous assets,Liabilities,Loans (Liabilities),Home mortgages,Consumer credit,Depository institutions loans n.e.c.,Other loans and advances (Liabilities),Deferred and unpaid life insurance premiums,Net worth,Household count
1998:Q1,Black,1548948,566818,430460,136358,982130,98807,6911,16186,9451,6736,3364,1982,1382,110519,65665,35274,133675,418480,71585,21664,318796,316986,224895,88716,1571,1804,1810,1230152,11919865
1998:Q1,Hispanic,1025476,411789,316746,95043,613687,103636,15773,5723,4470,1253,66,0,66,72379,29531,29690,59274,201306,82157,14153,228498,227669,147633,71561,2882,5592,830,796978,7049702
1998:Q1,Other,1423529,534336,424786,109550,889193,108993,14813,27132,13804,13328,12328,7250,5077,196767,22772,23627,114819,144498,209430,14015,279246,278597,198792,57424,1353,21028,649,1144283,4419021
1998:Q2,White,37352204,10955345,8531799,2423546,26396859,2656192,767917,1673412,1081586,591826,586876,506078,80799,7643162,584567,632414,2121355,5513343,3924498,293124,4763087,4747114,3293110,1143147,25348,285509,15973,32589117,78686294
1998:Q2,Black,1564862,574936,437458,137478,989926,100854,6676,15684,9889,5795,3267,1869,1398,115821,67825,35487,132571,415799,74280,21662,327234,325360,231348,91085,1188,1738,1874,1237628,11890929
1998:Q2,Hispanic,1071067,426562,329179,97383,644506,109922,17144,5492,4457,1035,34,0,34,78003,28840,32459,57313,213082,87972,14244,235981,235181,151530,74613,2824,6214,801,835086,7214998
1998:Q2,Other,1440653,548911,439609,109302,891742,105625,14184,18801,12738,6063,11905,6593,5312,197636,21285,22805,119712,148024,217851,13915,287441,286839,203714,58899,1170,23056,602,1153212,4459928
1998:Q3,White,36845107,11183701,8725059,2458642,25661406,2651467,837121,1753674,1180749,572925,621205,542805,78400,6775070,588142,622019,1956925,5591194,3968685,295904,4854255,4838635,3356503,1171878,28056,282199,15620,31990852,78811126
1998:Q3,Black,1543398,573543,443068,130476,969854,103118,6173,17152,10638,6513,5342,3919,1422,114451,69544,32329,112155,411618,75950,22022,333411,331553,237241,92034,1143,1135,1858,1209987,11887716
1998:Q3,Hispanic,1113819,451617,350556,101061,662202,116134,18484,5123,4396,727,0,0,0,78124,27795,34067,51168,224051,92868,14388,241917,241170,154366,77085,3295,6424,747,871902,7361459
1998:Q3,Other,1417221,557124,450574,106550,860097,102126,13884,18021,12202,5819,11604,6078,5527,167601,19393,20599,118283,149850,224871,13865,294555,294030,208046,59721,1266,24997,525,1122666,4488517
1998:Q4,White,38837297,11409364,8926508,2482856,27427933,2757351,894257,1665584,1169256,496329,618377,538299,80077,8004658,615238,655795,2235044,5688475,3996317,296836,4963957,4949253,3431856,1198588,32621,286189,14704,33873340,78942165
1998:Q4,Black,1605572,589979,448296,141684,1015593,104175,6471,18064,10554,7510,3364,2058,1306,117013,70631,37031,139934,425056,72424,21430,349809,348098,245021,99968,1499,1609,1711,1255764,11913398
1998:Q4,Hispanic,1142740,463693,361734,101959,679047,115460,17460,5293,4378,916,2,0,2,84062,28392,35449,59784,228158,90551,14436,253059,252345,162710,80118,3568,5949,713,889681,7484960
