Date,Category,Net worth,Assets,Real estate,Consumer durables,Corporate equities and mutual fund shares,DB pension entitlements,DC pension entitlements,Private businesses,Other assets,Liabilities,Home mortgages,Consumer credit,Other liabilities
2002:Q1,ageunder40,3552081,6049493,2527335,767511,659911,324821,399925,453981,916009,2497412,1703070,777325,17017
2002:Q2,age70plus,9027168,9377691,2752817,473006,1669911,1184566,91057,840727,2365607,350523,196846,81513,72164
2002:Q2,age55to69,15727514,17116854,4160739,891025,2737003,3424159,1178189,1969879,2755860,1389340,968015,286876,134449
2002:Q2,age40to54,15492461,19097934,5880055,1303014,2447907,3019695,1740024,2074682,2632556,3605473,2715298,763996,126179
2002:Q2,ageunder40,3451813,5996058,2589018,775944,577900,314058,369472,475444,894222,2544245,1744881,785259,14105
2002:Q3,age70plus,8761652,9119384,2770990,489496,1271458,1233981,79166,852200,2422093,357732,200936,88348,68448
2002:Q3,age55to69,15452372,16891441,4288558,915400,2261604,3514315,1107568,1995331,2808664,1439069,1010191,298958,129920
2002:Q3,age40to54,15085590,18778760,6038727,1313045,2084543,2973242,1602215,2112367,2654621,3693170,2802474,769433,121263
2002:Q3,ageunder40,3297319,5910842,2650734,772842,450790,303282,336539,501708,894946,2613523,1805558,794869,13096
2002:Q4,age70plus,8965744,9336257,2799075,503585,1351626,1289404,90850,795641,2506076,370513,206917,96360,67236
2002:Q4,age55to69,15922555,17419684,4427927,936598,2410539,3621351,1182812,1933007,2907450,1497128,1053236,313672,130220
2002:Q4,age40to54,15300293,19085442,6179824,1317445,2203077,2934058,1652354,2101176,2697508,3785149,2890633,779059,115457
2002:Q4,ageunder40,3265648,5951232,2708973,768556,464223,294329,344254,485240,885656,2685584,1865527,807917,12140
2003:Q1,age70plus,9033258,9417183,2877975,519986,1239541,1336045,95584,811714,2536338,383924,211555,99496,72873
2003:Q1,age55to69,16129850,17679993,4597715,948644,2305548,3710196,1213667,1966938,2937285,1550143,1092287,316668,141188
2003:Q1,age40to54,15204952,19053199,6252080,1307535,2124181,2878256,1644007,2140571,2706568,3848247,2966403,768145,113699
2003:Q1,ageunder40,3268481,6003328,2763501,773419,421745,282520,340077,514717,907349,2734847,1916996,804814,13037
2003:Q2,age70plus,9511390,9941539,2935543,536939,1526604,1387049,117980,834042,2603381,430148,221561,106029,102558
2003:Q2,age55to69,16932947,18604974,4759812,967732,2736048,3811978,1352570,2010436,2966398,1672027,1150057,329116,192854
2003:Q2,age40to54,15634202,19602691,6366699,1305714,2449812,2828321,1768964,2183770,2699412,3968489,3079242,772359,116888
2003:Q2,ageunder40,3377231,6207495,2833887,775673,491352,272070,365170,548327,921016,2830264,1997519,814426,18319
2003:Q3,age70plus,9698702,10147676,2959920,552118,1622819,1435149,126600,848927,2602143,448974,241089,114449,93436
2003:Q3,age55to69,17443679,19165335,4914144,994017,2914434,3909342,1410341,2045210,2977847,1721656,1198883,341882,180891
2003:Q3,age40to54,15793227,19872511,6532018,1312764,2579328,2773042,1787720,2221460,2666180,4079284,3191154,779285,108845
2003:Q3,ageunder40,3410862,6310816,2905798,771944,505364,260730,367122,577470,922389,2899954,2059807,824059,16088
2003:Q4,age70plus,10143967,10601118,3003116,569431,1868772,1485287,148165,854243,2672104,457151,244038,121482,91631
2003:Q4,age55to69,18308269,20090891,5086918,1018799,3287581,4014181,1548295,2068090,3067027,1782622,1249941,357299,175382
2003:Q4,age40to54,16223602,20401956,6676335,1316541,2842169,2721104,1900361,2252588,2692858,4178354,3275591,786995,115768
2003:Q4,ageunder40,3484721,6466533,2976337,772829,557827,250089,389383,600831,919237,2981811,2126043,837156,18612
2004:Q1,age70plus,10783504,11256917,3109412,591746,1977374,1549946,156260,884687,2987492,473413,253040,125035,95338
2004:Q1,age55to69,19431088,21266491,5357888,1044668,3486809,4157299,1608157,2125748,3485922,1835403,1290491,360646,184266
2004:Q1,age40to54,16728763,20969388,6882417,1320025,2977212,2692812,1914451,2301239,2881232,4240625,3352406,776910,111309
2004:Q1,ageunder40,3611011,6636442,3084276,781328,571974,244020,390036,640273,924535,3025431,2172752,833882,18797
2004:Q2,age70plus,10862827,11364499,3151892,607264,1935840,1577044,162711,961810,2967938,501672,269308,130655,101709
2004:Q2,age55to69,19888563,21806688,5565481,1077428,3498278,4320368,1655615,2248086,3441432,1918125,1350844,369740,197541
2004:Q2,age40to54,16899988,21255947,7133893,1333617,2984352,2676208,1915406,2381580,2830891,4355959,3472105,776099,107755
2004:Q2,ageunder40,3682541,6789140,3194332,776805,546255,236150,388312,709379,937907,3106599,2249016,838044,19539
2004:Q3,age70plus,11105352,11618074,3268585,623967,1890505,1603811,166800,1038445,3025960,512722,277670,138436,96616
2004:Q3,age55to69,20557339,22547159,5856241,1094726,3506786,4487390,1692425,2371536,3538055,1989820,1408410,386834,194576
2004:Q3,age40to54,17062043,21519016,7332155,1327471,2992329,2660495,1901780,2461574,2843212,4456973,3573390,787098,96485
2004:Q3,ageunder40,3743332,6932895,3316095,781695,519305,228299,382823,778464,926213,3189562,2320023,852507,17032
2004:Q4,age70plus,11506527,12043139,3378360,621230,2091402,1600447,175761,1065435,3110503,536612,286817,138271,111524
2004:Q4,age55to69,21540379,23661890,6112913,1127831,3834154,4577394,1836397,2454716,3718485,2121511,1497820,407645,216046
2004:Q4,age40to54,17709516,22262298,7544361,1348443,3173814,2746256,2032828,2490046,2926549,4552782,3652351,803802,96629
2004:Q4,ageunder40,3876585,7168888,3431896,800715,565829,238621,404409,780364,947054,3292303,2403590,870401,18312
2005:Q1,age70plus,11588681,12097678,3491234,617579,2074462,1582604,165205,1098265,3068328,508997,270283,128470,110244
2005:Q1,age55to69,21959714,24181139,6370572,1154093,3884398,4632714,1858104,2547398,3733860,2221426,1597607,413344,210475
2005:Q1,age40to54,17999021,22582317,7724577,1361300,3173921,2812219,2026767,2523521,2960012,4583296,3698457,793473,91366
2005:Q1,ageunder40,3927645,7315547,3547654,822167,556802,244777,396408,786210,961530,3387902,2502212,869688,16002
2005:Q2,age70plus,11866458,12383410,3648799,619006,2133161,1566715,163006,1166317,3086405,516952,276491,125185,115276
2005:Q2,age55to69,22670400,25009169,6637224,1176817,4034204,4694095,1935482,2691323,3840024,2338769,1697748,427800,213221
2005:Q2,age40to54,18377125,23052819,7876739,1368886,3237456,2883730,2081844,2581240,3022924,4675694,3783009,800232,92453
2005:Q2,ageunder40,4026248,7516969,3671534,853650,566860,251762,401033,814312,957818,3490721,2595511,879172,16038
2005:Q3,age70plus,12073980,12600078,3758564,607376,2266081,1549212,163428,1245817,3009599,526098,283041,123579,119478
2005:Q3,age55to69,23389603,25852435,6911706,1202599,4282479,4751794,2027335,2853837,3822686,2462832,1800190,446769,215873
2005:Q3,age40to54,18886077,23660876,8128804,1383687,3360156,2954838,2155138,2647393,3030860,4774799,3869576,813995,91228
2005:Q3,ageunder40,4170920,7769567,3812960,864253,595403,258417,409809,849648,979077,3598647,2689074,894041,15532
2005:Q4,age70plus,12223511,12752901,3846771,597723,2281392,1531730,162350,1280882,3052052,529389,290291,122014,117084
2005:Q4,age55to69,24047264,26613929,7164883,1230546,4379698,4809419,2113255,2954367,3961761,2566665,1896109,464695,205861
2005:Q4,age40to54,19337910,24201844,8348166,1400938,3389728,3027744,2219785,2685269,3130214,4863933,3946530,826745,90658
2005:Q4,ageunder40,4238165,7929517,3931844,877063,594113,265191,416086,857289,987931,3691351,2769936,907101,14314
2006:Q1,age70plus,12652508,13204000,3883712,596298,2683006,1516073,160634,1288903,3075374,551492,304293,118620,128579
2006:Q1,age55to69,24927864,27624286,7230664,1250764,4979662,4871211,2196574,3015874,4079538,2696422,1998955,476285,221182
