Date,Category,Assets,Nonfinancial assets,Real estate,Consumer durables,Financial assets,Deposits,Money market fund shares,Debt securities,U.S. government and municipal securities,Corporate and foreign bonds,Loans (Assets),Other loans and advances (Assets),Mortgages,Corporate equities and mutual fund shares,Life insurance reserves,Annuities,DC pension entitlements,DB pension entitlements,Miscellaneous other equity,Miscellaneous assets,Liabilities,Loans (Liabilities),Home mortgages,Consumer credit,Depository institutions loans n.e.c.,Other loans and advances (Liabilities),Deferred and unpaid life insurance premiums,Net worth,Household count,Minimum Income Cutoff,Maximum Income Cutoff
2023:Q4,pct00to20,5290156,2826606,2280460,546146,2463551,464731,52980,192826,192826,0,19642,18326,1316,722572,56931,13295,81216,213345,536048,109966,793617,792508,405276,340637,31784,14810,1109,4496539,26435704,,
2024:Q1,pct99to100,37615743,6816584,5994364,822220,30799159,2775728,790233,1533453,1533453,0,388381,377835,10546,16836128,442721,80950,1304631,598197,5935886,112851,1459526,1452293,990043,169224,105218,187808,7233,36156217,1326538,,
2024:Q1,pct80to99,81382808,23300809,20489403,2811406,58081999,6234545,2298581,2347701,2347701,0,503986,460916,43070,21563275,1045803,1652104,7139760,8486496,6260285,549462,8120670,8099408,5980286,1574588,97752,446782,21262,73262138,25196766,,
2024:Q1,pct60to80,25421466,10484941,8743871,1741070,14936525,2022117,418911,597131,597131,0,111586,106664,4922,3001510,301153,617643,1828661,4451205,1232584,354025,4521839,4515672,3118232,1294511,52901,50028,6168,20899626,26523402,,
2024:Q1,pct40to60,15388690,7070775,5835517,1235258,8317915,1312778,234530,298797,298797,0,44342,33044,11297,1643078,190145,188781,712487,2355477,1037254,300247,2817162,2813403,1792232,928933,35489,56748,3759,12571528,26529192,,
2024:Q1,pct20to40,8253510,4295594,3507009,788585,3957916,893836,124130,127336,127336,0,7828,7082,746,463833,66133,76327,214649,1416787,357352,209706,1445076,1443680,765142,643785,27349,7404,1396,6808434,26517807,,
2024:Q1,pct00to20,5451619,2954539,2399912,554627,2497080,466199,53356,183109,183109,0,19500,18225,1275,760020,58930,13649,81123,215359,534275,111560,801817,800670,409674,345348,32983,12665,1147,4649802,26522916,,
2024:Q2,pct99to100,38288657,7060229,6233656,826574,31228427,2711811,813159,1582801,1582801,0,383240,372779,10461,17167591,446568,81606,1325342,600990,6001192,114127,1470232,1462999,998792,171390,104387,188429,7233,36818425,1329318,,
2024:Q2,pct80to99,82897193,24230636,21401735,2828901,58666557,6107954,2346249,2406340,2406340,0,498710,455979,42731,21925055,1054105,1677365,7243972,8521130,6330055,555622,8191186,8169892,6024567,1582572,95821,466933,21294,74706007,25249558,,
2024:Q2,pct60to80,25891959,10805543,9053607,1751936,15086415,1996657,425507,623356,623356,0,109979,105114,4865,3058762,303376,629484,1866384,4469314,1245499,358097,4555504,4549326,3142737,1303938,52177,50473,6178,21336455,26578973,,
