Date,Category,Net worth,Assets,Real estate,Consumer durables,Corporate equities and mutual fund shares,DB pension entitlements,DC pension entitlements,Private businesses,Other assets,Liabilities,Home mortgages,Consumer credit,Other liabilities
1995:Q4,pct20to40,2193193,2579593,904981,250665,177997,490065,71235,143219,541430,386400,217800,144430,24170
1995:Q4,pct00to20,1118182,1277607,489802,125067,58746,180615,25857,177651,219869,159424,80433,73876,5115
1996:Q1,pct99to100,5413251,5697014,754394,271647,1626581,150712,242100,1120122,1531458,283763,197593,15744,70426
1996:Q1,pct80to99,12151653,14221078,3385720,928225,2235180,2442473,1191015,1554160,2484305,2069425,1560668,379749,129008
1996:Q1,pct60to80,4954746,6197651,1861915,591042,559013,1387718,419678,395625,982659,1242904,894323,311765,36816
1996:Q1,pct40to60,3199758,3878932,1185273,387870,276318,880024,192286,237730,719431,679175,426643,236246,16286
1996:Q1,pct20to40,2238509,2621041,911524,255465,183847,497429,71586,147825,553365,382533,219941,140814,21778
1996:Q1,pct00to20,1121264,1282761,491836,128194,59653,182797,25236,171354,223691,161497,79692,77890,3915
1996:Q2,pct99to100,5508056,5800139,768910,266181,1695043,157247,243101,1127989,1541667,292082,200912,16823,74347
1996:Q2,pct80to99,12356585,14458907,3428112,940142,2331307,2458232,1216755,1585555,2498804,2102321,1584304,387549,130468
1996:Q2,pct60to80,5038518,6311875,1883405,593319,577238,1427725,439435,395995,994758,1273356,909094,324755,39507
1996:Q2,pct40to60,3216922,3913227,1195292,394361,283633,882304,195772,240263,721602,696305,435663,243831,16811
1996:Q2,pct20to40,2280543,2668594,928473,257037,190048,504832,71239,152387,564579,388052,222254,144881,20917
1996:Q2,pct00to20,1131067,1294372,496615,127777,60794,184974,24621,165081,234510,163304,79981,78740,4583
1996:Q3,pct99to100,5541349,5841446,787001,263356,1686913,163726,245353,1134259,1560838,300097,204582,17841,77674
1996:Q3,pct80to99,12487364,14622008,3471480,954132,2345151,2472866,1248774,1615359,2514246,2134644,1609461,395012,130171
1996:Q3,pct60to80,5105113,6408675,1902650,597331,580892,1467434,461978,396125,1002265,1303561,924670,337322,41569
1996:Q3,pct40to60,3234163,3947289,1211631,401209,285591,884356,200250,242394,721859,713126,445361,251248,16517
1996:Q3,pct20to40,2312490,2705851,936330,260157,193703,512260,71021,156979,575402,393362,224785,148773,19804
1996:Q3,pct00to20,1136828,1302037,499002,128990,60256,187128,23917,158824,243920,165209,80504,79651,5054
1996:Q4,pct99to100,5727121,6033332,798780,268024,1774773,169332,263006,1159498,1599919,306211,206990,19296,79925
1996:Q4,pct80to99,12799450,14971463,3517599,961171,2462221,2477416,1337495,1664314,2551248,2172013,1631867,406026,134120
1996:Q4,pct60to80,5214356,6549887,1921391,598990,603047,1502297,508100,399389,1016674,1335531,939589,353638,42304
1996:Q4,pct40to60,3267552,3996086,1230143,402731,294452,884489,212944,249267,722060,728534,453198,260334,15002
1996:Q4,pct20to40,2329477,2728388,925062,264828,200636,519502,72691,161338,584331,398911,226805,154206,17900
1996:Q4,pct00to20,1144157,1309424,496131,132184,61873,188984,22460,152706,255085,165267,80182,80378,4707
1997:Q1,pct99to100,5744474,6055578,809358,269275,1784271,175983,259881,1189082,1567728,311104,209361,17553,84190
1997:Q1,pct80to99,12913999,15100352,3555422,973285,2494729,2492855,1348921,1717651,2517489,2186353,1647882,396710,141761
1997:Q1,pct60to80,5278594,6620600,1940537,602779,610132,1542999,522166,403438,998549,1342006,948705,347836,45465
1997:Q1,pct40to60,3279965,4013822,1239741,407618,297730,886647,214160,257213,710713,733857,459178,258965,15714
1997:Q1,pct20to40,2357025,2751819,923868,269222,204872,527050,71451,165663,589694,394795,228388,149450,16957
1997:Q1,pct00to20,1137520,1306249,494663,134864,61762,191185,21828,146704,255242,168728,79935,83661,5132
1997:Q2,pct99to100,6125231,6443487,824987,263184,2114063,183459,278320,1208270,1571204,318256,212380,18011,87865
1997:Q2,pct80to99,13521078,15745354,3596325,983117,2873406,2516867,1477141,1760507,2537992,2224277,1670807,401334,152136
1997:Q2,pct60to80,5477778,6845881,1973515,603610,679202,1588310,588304,405813,1007127,1368102,963104,357068,47930
1997:Q2,pct40to60,3349189,4097312,1257867,413205,324112,890394,236249,262555,712930,748123,467609,264756,15758
1997:Q2,pct20to40,2412579,2810525,941509,270122,220302,534837,74691,170129,598934,397946,230634,151710,15602
1997:Q2,pct00to20,1151190,1321510,500967,133728,68775,193658,20539,140680,263164,170320,80053,85160,5107
1997:Q3,pct99to100,6372084,6697423,840353,258036,2302588,190665,292285,1233374,1580121,325338,217654,18563,89121
1997:Q3,pct80to99,13959081,16235861,3632413,997515,3099618,2537431,1580254,1809346,2579284,2276780,1707419,407330,162031
1997:Q3,pct60to80,5632741,7034198,2003354,607255,720979,1632136,643537,409225,1017712,1401458,986485,367655,47318
1997:Q3,pct40to60,3408658,4175007,1278478,420814,340326,893464,253734,269365,718826,766348,481694,271090,13564
1997:Q3,pct20to40,2459656,2861448,953018,272413,230826,542585,76812,174542,611251,401792,234457,154418,12917
1997:Q3,pct00to20,1160719,1333018,505703,133960,72644,196034,19259,134769,270649,172300,81571,86749,3980
1997:Q4,pct99to100,6517886,6853602,850572,265053,2346455,196992,287465,1279265,1627799,335716,221515,20239,93962
