Date,Category,Net worth,Assets,Real estate,Consumer durables,Corporate equities and mutual fund shares,DB pension entitlements,DC pension entitlements,Private businesses,Other assets,Liabilities,Home mortgages,Consumer credit,Other liabilities
2000:Q1,HS,7231162,8549878,2439898,735959,1192081,1565365,641456,691956,1283163,1318716,893105,378966,46645
2000:Q1,NoHS,2016873,2313686,792123,226201,186528,493321,95914,168231,351368,296814,187275,101514,8025
2000:Q2,College,25162667,28511852,6153630,1431863,7567691,3499900,2364069,3072469,4422231,3349185,2394422,643363,311400
2000:Q2,SomeCollege,7629130,9282188,2567718,695239,1449770,1544860,773897,823352,1427352,1653058,1095633,458307,99118
2000:Q2,HS,7207055,8560357,2506100,749051,1105011,1576657,627995,711636,1283908,1353303,913895,396444,42964
2000:Q2,NoHS,2053015,2357423,812130,228556,186676,508757,97833,174211,349260,304408,194147,103657,6604
2000:Q3,College,25611473,29071971,6445875,1468939,7529960,3548280,2400501,3212012,4466403,3460499,2473749,672205,314545
2000:Q3,SomeCollege,7677466,9349305,2611704,695695,1417040,1567536,776227,844922,1436181,1671838,1102496,466987,102355
2000:Q3,HS,7227640,8620506,2550412,761054,1066687,1590669,630855,735734,1285095,1392865,933450,420386,39029
2000:Q3,NoHS,2088977,2403272,833352,222487,191955,524918,100948,180890,348721,314295,200752,107495,6048
2000:Q4,College,25282446,28809973,6729750,1500839,6657640,3586659,2316000,3285958,4733128,3527528,2540055,705168,282305
2000:Q4,SomeCollege,7556386,9237062,2637850,700958,1243067,1584877,733692,845028,1491590,1680676,1104485,477327,98864
2000:Q4,HS,7093025,8530198,2614057,770305,904676,1596442,597378,741521,1305820,1437173,952987,446843,37343
2000:Q4,NoHS,2113695,2437400,852439,229654,179812,539231,101263,184560,350441,323706,207700,111928,4078
2001:Q1,College,25120470,28694115,7187911,1532299,5961275,3637419,2161016,3332638,4881557,3573646,2602570,717455,253621
2001:Q1,SomeCollege,7505672,9178535,2721898,704146,1101979,1608563,669975,836567,1535407,1672863,1104162,473546,95155
2001:Q1,HS,7079302,8528796,2731581,778063,774860,1607918,548283,739284,1348808,1449495,969070,449059,31366
2001:Q1,NoHS,2175885,2501646,896345,232240,169461,554712,100677,186810,361401,325761,213823,109663,2275
2001:Q2,College,26082752,29778732,7486780,1561360,6474629,3698878,2253201,3429445,4874438,3695980,2698852,741450,255678
2001:Q2,SomeCollege,7640798,9335695,2747332,704536,1168414,1637349,691785,844044,1542234,1694897,1121311,475613,97973
2001:Q2,HS,7193058,8683517,2778738,783070,820426,1634387,563557,749108,1354231,1490460,1004943,457928,27589
2001:Q2,NoHS,2215206,2551129,912514,229828,184438,566424,104102,190879,362944,335923,224912,109258,1753
2001:Q3,College,25431476,29309703,7780001,1594401,5432189,3751249,2088643,3503062,5160158,3878227,2807861,760043,310323
2001:Q3,SomeCollege,7457333,9184295,2776251,704682,973907,1661266,627892,844193,1596105,1726961,1137542,476637,112782
2001:Q3,HS,7020984,8538740,2823969,788605,649561,1651775,513434,751581,1359815,1517756,1021698,468571,27487
