Date,Category,Assets,Nonfinancial assets,Real estate,Consumer durables,Financial assets,Deposits,Money market fund shares,Debt securities,U.S. government and municipal securities,Corporate and foreign bonds,Loans (Assets),Other loans and advances (Assets),Mortgages,Corporate equities and mutual fund shares,Life insurance reserves,Annuities,DC pension entitlements,DB pension entitlements,Miscellaneous other equity,Miscellaneous assets,Liabilities,Loans (Liabilities),Home mortgages,Consumer credit,Depository institutions loans n.e.c.,Other loans and advances (Liabilities),Deferred and unpaid life insurance premiums,Net worth,Household count
1999:Q2,GenX,6.6,9.6,8.5,13.8,5.3,5.1,2.4,2.4,2.5,2.2,5.6,6.5,0.3,6.1,12.4,2.8,12.2,1.7,5.1,11.4,17.7,17.8,15.3,28.8,9.4,2,12.3,4.8,22564237
1999:Q2,Millennial,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1999:Q3,Silent,53.7,46.2,47.5,41.2,57.2,65.4,64.9,72.4,71.2,74.9,79.5,79,82.6,58.5,33.2,46.6,32,62.1,53.7,40,25.1,25,23.5,20.6,32.8,63.1,32.6,58.4,37817540
1999:Q3,BabyBoom,39.6,43.8,43.6,44.8,37.7,29.4,32.7,25,26.1,22.9,15.4,15.1,17.3,35.7,53.7,51.1,56.8,36.2,40.9,48.1,56.6,56.6,60.6,50.2,57.6,34.7,54.4,36.8,42859863
1999:Q3,GenX,6.6,10,9,14,5.1,5.3,2.4,2.6,2.7,2.2,5.1,5.9,0.1,5.8,13.1,2.2,11.2,1.7,5.4,11.9,18.4,18.4,16,29.2,9.6,2.2,13.1,4.7,22994598
1999:Q3,Millennial,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1999:Q4,Silent,52.2,45.6,47,40.4,55.1,64.5,62.6,70.2,69.4,73.1,74.6,73.5,81.6,55.9,33,40.7,30.2,60.3,53.6,40.5,24.5,24.5,23,19.9,33.8,58.6,32.3,56.6,37505821
1999:Q4,BabyBoom,40.5,43.9,43.6,45.1,39,29.9,34.1,27.3,28,24.9,21.2,21.6,18.4,37,52.8,55.8,56.3,38,41.1,46.6,56.5,56.6,60.2,50.6,56,39.6,53.2,37.9,43015141
1999:Q4,GenX,7.3,10.5,9.4,14.5,5.9,5.7,3.3,2.5,2.7,1.9,4.2,4.9,0,7.1,14.2,3.4,13.5,1.7,5.3,12.9,18.9,19,16.8,29.5,10.2,1.8,14.5,5.5,23421587
1999:Q4,Millennial,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
